"ma_id","review_id","analysis_id","effect_type","k","theta","se_std","se_hksj","se_ratio","ci_std_lo","ci_std_hi","ci_hksj_lo","ci_hksj_hi","ci_width_ratio","p_std","p_hksj","sig_std","sig_hksj","conclusion_changed","tau2","I2","R","R_cat","k_cat"
"CD000028_pub4_1","CD000028_pub4",1,"logRR",36,-0.0886019198309967,0.034076150252241,0.0349666444966169,1.02613247792911,-0.155389947057165,-0.0218138926048289,-0.15958798204789,-0.0176158576141036,1.06285610108694,0.00931924412873601,0.0159111254923112,TRUE,TRUE,FALSE,0.0138077098344447,40.8078969522809,0.759524714679224,"High","21+"
"CD000028_pub4_2","CD000028_pub4",2,"logRR",42,-0.337208788988785,0.0326575666897331,0.0279063769812216,0.85451488919396,-0.401216443523377,-0.273201134454193,-0.393566860638944,-0.280850717338626,0.880489561130559,5.39833784602904e-25,4.29096469651142e-15,TRUE,TRUE,FALSE,0.00495047779684164,12.6005175383653,0.771452531060197,"High","21+"
"CD000028_pub4_3","CD000028_pub4",3,"logRR",36,-0.357024176809187,0.0410712875955592,0.0382387874802082,0.931034543079257,-0.43752242129517,-0.276525932323204,-0.434653042439437,-0.279395311178936,0.964354764826807,3.53638200351206e-18,4.94952423746354e-11,TRUE,TRUE,FALSE,0.0187344772715496,40.3562243839785,0.73465934805129,"High","21+"
"CD000028_pub4_4","CD000028_pub4",4,"logRR",32,-0.320238228151663,0.0400541989943664,0.0292773817883887,0.730944133784988,-0.398743015610222,-0.241733440693105,-0.379949841984363,-0.260526614318963,0.760611113866411,1.29445085115765e-15,3.60913658031458e-12,TRUE,TRUE,FALSE,0,0,0.749250488047524,"High","21+"
"CD000028_pub4_5","CD000028_pub4",5,"logRR",13,-0.133542068333404,0.116187929259229,0.100182379030894,0.862244293960818,-0.361266225119781,0.0941820884529733,-0.3518207210725,0.0847365844056926,0.958522169186727,0.250406467129414,0.207290462356002,FALSE,FALSE,FALSE,0.0948172543666847,71.452323236289,0.84716291365481,"High","11-20"
"CD000028_pub4_6","CD000028_pub4",6,"logRR",4,0.734545634518442,0.426854213197387,0.418765412597777,0.98105020320868,-0.102073249997617,1.5711645190345,-0.598152805583962,2.06724407462085,1.59295763551082,0.0852807843614421,0.177693753215437,FALSE,FALSE,FALSE,0.620664657161369,96.4462426584599,0.725727387979079,"High","4-5"
"CD001703_pub4_10","CD001703_pub4",10,"GIV",2,0,0.693722201831105,0,0,-1.35967053086479,1.35967053086479,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD001703_pub4_13","CD001703_pub4",13,"GIV",6,0,0.00998132889465703,0,0,-0.0195630451513768,0.0195630451513768,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD001703_pub4_14","CD001703_pub4",14,"GIV",2,0,0.147611369852374,0,0,-0.289312968619274,0.289312968619274,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD001703_pub4_16","CD001703_pub4",16,"GIV",3,0,2.76421899275141,0,0,-5.41776967117435,5.41776967117435,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD001703_pub4_4","CD001703_pub4",4,"GIV",6,0,0.204966015709001,0,0,-0.401726008844312,0.401726008844312,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD001920_pub4_8","CD001920_pub4",8,"GIV",15,0,0.0804426477855944,0,0,-0.157664692480806,0.157664692480806,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
"CD002042_pub6_10","CD002042_pub6",10,"logRR",47,0.0222933554310657,0.0558402484504165,0.0500159546873013,0.895697209007102,-0.0871515204195193,0.131738231281651,-0.0783835396347567,0.122970250496888,0.919886785775766,0.689720401402885,0.657886851721955,FALSE,FALSE,FALSE,0.0175953057836595,17.0590841144598,0.824770208547872,"High","21+"
"CD002042_pub6_11","CD002042_pub6",11,"logRR",33,0.0470509628843892,0.0638272759082534,0.0632114834201271,0.990352204768829,-0.0780481991270885,0.172150124895867,-0.0817066153836431,0.175808541152421,1.02924413079777,0.461024596253821,0.462101025335689,FALSE,FALSE,FALSE,0.0266774469760397,29.8217574270848,0.836247131878108,"High","21+"
"CD002042_pub6_12","CD002042_pub6",12,"logRR",31,0.0383566987131339,0.0574598570305926,0.0493641359904707,0.859106488277344,-0.0742625516236483,0.150975949049916,-0.0624583165493131,0.139171713975581,0.895184570674772,0.504427871225397,0.443233737766127,FALSE,FALSE,FALSE,0.0111106508715102,13.9293413821564,0.778031112061231,"High","21+"
"CD002042_pub6_13","CD002042_pub6",13,"logRR",19,-0.105534954957125,0.0553359770563478,0.0527893865020473,0.953979477913486,-0.213991477036902,0.00292156712265132,-0.216441340550079,0.00537143063582886,1.02258843881584,0.0564989522256661,0.0609186066218756,FALSE,FALSE,FALSE,0,0,0.741595550130333,"High","11-20"
"CD002042_pub6_14","CD002042_pub6",14,"logRR",11,0.101257588896499,0.0779330727768058,0.0579537828223741,0.743635285475644,-0.0514884269505788,0.254003604743578,-0.0278714862296071,0.230386664022606,0.845384243968656,0.19384474724772,0.11118100425887,FALSE,FALSE,FALSE,0.012369138513562,24.0176735768693,0.666618281768571,"Moderate","11-20"
"CD002042_pub6_15","CD002042_pub6",15,"logRR",26,0.0235309280143862,0.0281341003295945,0.0254540719081571,0.904740923290934,-0.0316108953690554,0.0786727513978278,-0.0288927144050179,0.0759545704337904,0.950705638710278,0.402938578062606,0.364091548282702,FALSE,FALSE,FALSE,0,0,0.38010472570931,"Low","21+"
"CD002042_pub6_16","CD002042_pub6",16,"logRR",7,0.0832801969113933,0.0502100274674757,0.0534033101574301,1.06359850513969,-0.015129648587626,0.181690042410413,-0.047392995603193,0.21395338942598,1.32784673984565,0.097189011184401,0.169904335310789,FALSE,FALSE,FALSE,0.00478519531826101,30.2529545643413,0.753861071425068,"High","6-10"
"CD002042_pub6_17","CD002042_pub6",17,"logRR",36,0.0982233635540614,0.070339065807918,0.0530930545885965,0.754816032581142,-0.0396386721356506,0.236085399243773,-0.00956126750127659,0.206007994609399,0.781829678606592,0.162585979534033,0.0727676592732493,FALSE,FALSE,FALSE,0.000682176792444164,0.299092007963119,0.70759542050256,"High","21+"
"CD002042_pub6_18","CD002042_pub6",18,"logRR",22,-0.0556880876657939,0.136739126337605,0.11783477775723,0.861748797972423,-0.323691850564972,0.212315675233384,-0.300738922880139,0.189362747548551,0.914355949944377,0.683818589695693,0.641376998548855,FALSE,FALSE,FALSE,0.0883631391643566,30.4362961069615,0.845640169136466,"High","21+"
"CD002042_pub6_19","CD002042_pub6",19,"logRR",29,0.101247561636584,0.07026246164195,0.0579524625696438,0.824799775233657,-0.0364643326467652,0.238959455919933,-0.0174626765756962,0.219957799848864,0.862018773542014,0.149587278605831,0.0915853899661846,FALSE,FALSE,FALSE,0,0,0.757132572862863,"High","21+"
"CD002042_pub6_20","CD002042_pub6",20,"logRR",39,0.0194964620816494,0.0368799310956532,0.0416278302368108,1.12873937125433,-0.0527868746181498,0.0917797987814485,-0.0647746745060687,0.103767598669367,1.16584458376217,0.597050403443266,0.642208651282898,FALSE,FALSE,FALSE,0.00999541133004508,26.9903304392798,0.804018191762827,"High","21+"
"CD002042_pub6_21","CD002042_pub6",21,"logRR",21,-0.0156726683224986,0.0504437168816876,0.0438344569393946,0.868977538713203,-0.114540536656941,0.0831952000119442,-0.107109743228825,0.075764406583828,0.924841168791261,0.756031628950587,0.72443131951069,FALSE,FALSE,FALSE,0,0,0.809791218011791,"High","21+"
"CD002042_pub6_22","CD002042_pub6",22,"logRR",19,0.0620715653854562,0.0499871529165132,0.0485718724195375,0.971687115300615,-0.035901454020606,0.160044584791518,-0.0399741519165259,0.164117282687438,1.04156958640868,0.214328681031134,0.217508602885744,FALSE,FALSE,FALSE,0,0,0.703821684894456,"High","11-20"
"CD002042_pub6_23","CD002042_pub6",23,"logRR",13,0.117514575744912,0.0838967700770052,0.0876139681133004,1.04430680743589,-0.0469200720252556,0.28194922351508,-0.0733798620384021,0.308409013528227,1.1609137147916,0.161302483723129,0.20466477478552,FALSE,FALSE,FALSE,0.0141663763213102,17.6258785660882,0.721518427480958,"High","11-20"
"CD002042_pub6_24","CD002042_pub6",24,"logRR",12,-0.023194019571576,0.0897654836990503,0.0549980354251936,0.612685780311519,-0.199131134676532,0.15274309553338,-0.144243879376621,0.0978558402334694,0.688029127525666,0.79611009223885,0.681349886916694,FALSE,FALSE,FALSE,0,0,0.396382890949357,"Low","11-20"
"CD002042_pub6_25","CD002042_pub6",25,"logRR",3,-0.0565480394184114,0.238591891826524,0.163584343307107,0.685624067334385,-0.524179554401674,0.411083475564852,-0.760394660693007,0.647298581856185,1.50513085350928,0.812651064142056,0.762556893599733,FALSE,FALSE,FALSE,0,0,0.320183018184379,"Low","2-3"
"CD002042_pub6_26","CD002042_pub6",26,"logRR",15,-0.0683688547143186,0.09779509113252,0.092106531834184,0.941831852371531,-0.26004371119887,0.123306001770233,-0.265917718062554,0.129180008633917,1.03064568285803,0.4844875800094,0.470188962404639,FALSE,FALSE,FALSE,0,0,0.589174928697496,"Moderate","11-20"
"CD002042_pub6_27","CD002042_pub6",27,"logRR",21,-0.11343563768584,0.131926967358485,0.0830538445755326,0.629544104882288,-0.372007742298063,0.145136466926383,-0.286682921625301,0.0598116462536212,0.670015368437667,0.389879109909766,0.187163133678795,FALSE,FALSE,FALSE,0,0,0.756198119216012,"High","21+"
"CD002042_pub6_28","CD002042_pub6",28,"logRR",12,-0.0772103011272773,0.0824035276053166,0.0892307031595174,1.08285052536708,-0.23871824743275,0.0842976451781955,-0.273605754605917,0.119185152351363,1.21601108782092,0.348769820662752,0.405356573084429,FALSE,FALSE,FALSE,0.0156921321141115,24.4341050170326,0.33509611039608,"Low","11-20"
"CD002042_pub6_29","CD002042_pub6",29,"logRR",4,-0.0967644787591377,0.148718322681009,0.103855120854795,0.69833440145474,-0.388247035055121,0.194718077536846,-0.427277824408274,0.233748866889999,1.13390437441313,0.515268529701313,0.420207548383558,FALSE,FALSE,FALSE,0.0192651932354007,20.2353418820427,0.625288290281692,"Moderate","4-5"
"CD002042_pub6_30","CD002042_pub6",30,"logRR",15,-0.00363775250682025,0.0325655984277744,0.0279032514269638,0.856832141096654,-0.0674651525602523,0.0601896475466118,-0.0634842747169957,0.0562087697033552,0.937630581224927,0.911057014394961,0.898128275630547,FALSE,FALSE,FALSE,0,0,0.416528030220243,"Low","11-20"
"CD002042_pub6_31","CD002042_pub6",31,"logRR",9,0.0542207982589846,0.12841801363776,0.0767123961955832,0.597364762329782,-0.197473883437198,0.305915479955167,-0.122678304589451,0.23111990110742,0.702832104581247,0.672863623119724,0.499752870395952,FALSE,FALSE,FALSE,0.0218317957741722,15.563662418618,0.320219358848892,"Low","6-10"
"CD002042_pub6_32","CD002042_pub6",32,"logRR",10,0.162229827931474,0.0678626215221097,0.0627808153940754,0.925116271460592,0.0292215338516666,0.295238122011282,0.0202097567014548,0.304249899161494,1.06775349772402,0.0168225925216755,0.0294991677337679,TRUE,TRUE,FALSE,2.90164085316154e-07,0.000309760613514763,0.773199776336937,"High","6-10"
"CD002042_pub6_33","CD002042_pub6",33,"logRR",18,-0.549331383550352,0.221041492028593,0.188836767351092,0.854304617735141,-0.982564747015392,-0.116098020085312,-0.947742136975373,-0.150920630125332,0.919621587401522,0.0129480202948254,0.00977372587111135,TRUE,TRUE,FALSE,0.303301464413863,42.7912967714831,0.702779645090085,"High","11-20"
"CD002042_pub6_34","CD002042_pub6",34,"logRR",10,-0.66947923438723,0.290209356135315,0.242064443664661,0.83410282455468,-1.238279120389,-0.100679348385455,-1.217067049482,-0.121891419292455,0.96270732215489,0.0210613042390615,0.0219067606198507,TRUE,TRUE,FALSE,0.212720643140547,30.1119238897585,0.719903631654828,"High","6-10"
"CD002042_pub6_6","CD002042_pub6",6,"logRR",51,0.0213147003530509,0.0554796083974951,0.0483219816542729,0.870986350661671,-0.0874233339824254,0.130052734688527,-0.0757428562134047,0.118372256919507,0.892581488709053,0.700837768394406,0.661044017657815,FALSE,FALSE,FALSE,0.0172208004164656,15.6299916593507,0.411773612571925,"Low","21+"
"CD002042_pub6_7","CD002042_pub6",7,"logRR",43,0.00966903683815717,0.0611943542039816,0.0555988515638098,0.908561782978867,-0.110269693458834,0.129607767135148,-0.102533988200486,0.1218720618768,0.9355028585079,0.874452563874542,0.862773975042342,FALSE,FALSE,FALSE,0.0195556128415321,17.0614812852637,0.361956091173764,"Low","21+"
"CD002042_pub6_8","CD002042_pub6",8,"logRR",51,0.0134921124522736,0.0549069231332996,0.0462560256818625,0.842444322905602,-0.0941234793909028,0.12110770429545,-0.0794158494205982,0.106400074325145,0.863331793112866,0.805893584706227,0.771735507303012,FALSE,FALSE,FALSE,0.0161029386778507,14.7223169208262,0.409020830480854,"Low","21+"
"CD002042_pub6_9","CD002042_pub6",9,"logRR",48,0.0073438763867098,0.0558910371308663,0.0493387203411127,0.882766233619683,-0.102200543448379,0.116888296221799,-0.0919128262190895,0.106600578992509,0.906086341551884,0.895461802658468,0.882311894874612,FALSE,FALSE,FALSE,0.0174436518412269,16.5347444178868,0.4104077749964,"Low","21+"
"CD002112_pub2_6","CD002112_pub2",6,"GIV",3,0,0.352902386198191,0,0,-0.6916759670067,0.6916759670067,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD002122_pub3_7","CD002122_pub3",7,"logRR",90,0.0295317353224289,0.116474468553337,0.122261285446021,1.04968313626633,-0.198754028160555,0.257817498805413,-0.213398834633072,0.27246230527793,1.06415120351387,0.799845657741999,0.809687551211372,FALSE,FALSE,FALSE,0.652384328726358,86.7585652447753,0.665879756503033,"Moderate","21+"
"CD002203_pub5_26","CD002203_pub5",26,"GIV",4,0.544704558491552,0.147941468369531,0.140525393276922,0.949871559513761,0.254744608667301,0.834664508315803,0.0974900398588725,0.991919077124231,1.54233203207457,0.000231509181003769,0.0304006955212668,TRUE,TRUE,FALSE,4.7773882968944e-06,0.00484921418152708,0.703733441047502,"High","4-5"
"CD002971_pub6_10","CD002971_pub6",10,"GIV",6,0,0.814335130753743,0,0,-1.59606752762305,1.59606752762305,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD002971_pub6_14","CD002971_pub6",14,"GIV",6,0,0.0833451888773671,0,0,-0.163353568484328,0.163353568484328,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD002971_pub6_2","CD002971_pub6",2,"GIV",7,0,0.0794437869729484,0,0,-0.155706961262451,0.155706961262451,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD002971_pub6_6","CD002971_pub6",6,"GIV",2,0,0.126636109851404,0,0,-0.248202214451009,0.248202214451009,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD002971_pub6_7","CD002971_pub6",7,"GIV",2,0,0.150312063060246,0,0,-0.294606230039996,0.294606230039996,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD002971_pub6_8","CD002971_pub6",8,"GIV",2,0,1.97615615230712,0,0,-3.8731948863492,3.8731948863492,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD002971_pub6_9","CD002971_pub6",9,"GIV",2,0,1.59321034267484,0,0,-3.12263489143941,3.12263489143941,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD003129_pub2_5","CD003129_pub2",5,"GIV",2,0,0.197238322402508,0,0,-0.386580008280016,0.386580008280016,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD003218_pub3_1","CD003218_pub3",1,"GIV",3,3.56844397429204,1.79016895872633,1.6937580795182,0.946144257089159,0.059777288946854,7.07711065963723,-3.71920885008216,10.8560967986662,2.07704335519042,0.0462224820336296,0.169712157012887,TRUE,FALSE,TRUE,6.34313931659194,68.8210650716922,0.65189483627032,"Moderate","2-3"
"CD003218_pub3_2","CD003218_pub3",2,"GIV",5,-2.60941904927295,0.850710517603367,0.82697540546958,0.972099660645252,-4.27678102504498,-0.942057073500923,-4.90547086590793,-0.313367232637973,1.37705660198461,0.00215972494975348,0.0343361407936323,TRUE,TRUE,FALSE,2.61432406684903,85.6276580572349,0.746277925051019,"High","4-5"
"CD003218_pub3_3","CD003218_pub3",3,"GIV",2,-1.82202349869452,1.91415080926155,1.91415080926155,1,-5.57369014582535,1.92964314843631,-26.1436155770862,22.4995685796972,6.48287664283611,0.341162712322405,0.515694713375534,FALSE,FALSE,FALSE,7.09045,96.6732338484822,0.693636242657529,"Moderate","2-3"
"CD003218_pub3_4","CD003218_pub3",4,"GIV",2,1.26685244221098,2.49914083246222,1.20187838230181,0.480916628102823,-3.63137358170841,6.16507846613038,-14.0044603512983,16.5381652357203,3.11772317547929,0.612214329232862,0.483248791577642,FALSE,FALSE,FALSE,0,0,0.999999999999716,"Excellent","2-3"
"CD003429_pub5_1","CD003429_pub5",1,"GIV",3,0,0.533373530465918,0,0,-1.04539291002018,1.04539291002018,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD003429_pub5_7","CD003429_pub5",7,"GIV",5,0,0.215748737184164,0,0,-0.422859754590959,0.422859754590959,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","4-5"
"CD003429_pub5_8","CD003429_pub5",8,"GIV",5,0,0.215748737184164,0,0,-0.422859754590959,0.422859754590959,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","4-5"
"CD003429_pub5_9","CD003429_pub5",9,"GIV",2,0,5.17826767163616,0,0,-10.149218138715,10.149218138715,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","2-3"
"CD003477_pub5_2","CD003477_pub5",2,"GIV",28,0,0.0587270919910287,0,0,-0.115102985219187,0.115102985219187,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","21+"
"CD003477_pub5_3","CD003477_pub5",3,"GIV",24,0,0.0727823912727802,0,0,-0.142650865603351,0.142650865603351,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","21+"
"CD003477_pub5_4","CD003477_pub5",4,"GIV",23,0,0.064548141109595,0,0,-0.126512031843816,0.126512031843816,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","21+"
"CD003477_pub5_5","CD003477_pub5",5,"GIV",28,0,0.0636360508024528,0,0,-0.124724367691169,0.124724367691169,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","21+"
"CD003477_pub5_7","CD003477_pub5",7,"GIV",13,0,0.0868616058932461,0,0,-0.170245619190075,0.170245619190075,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","11-20"
"CD003511_pub6_1","CD003511_pub6",1,"GIV",8,0,0.0867837306523421,0,0,-0.170092986522615,0.170092986522615,0,0,0,1,NA,FALSE,NA,NA,0,0,0.5,"Low","6-10"
"CD003519_pub5_1","CD003519_pub5",1,"logRR",58,0.257860583537767,0.0252426269957658,0.0373310311710341,1.47888851573555,0.208385943750887,0.307335223324646,0.183106483058055,0.332614684017479,1.51095795344298,1.69383796150782e-24,4.5382089788155e-09,TRUE,TRUE,FALSE,0.0142220528572154,54.0615068252318,0.46761506800405,"Low","21+"
"CD003519_pub5_10","CD003519_pub5",10,"MD",3,-0.904694592662333,0.453283076802419,0.399509337216459,0.881368305286634,-1.79311309799658,-0.0162760873280889,-2.62364453299713,0.814255347672462,1.93484256576588,0.0459479552659303,0.151815253433183,TRUE,FALSE,TRUE,0,0,0.582198253187569,"Moderate","2-3"
