"ma_id","k","outcome_type","effect_measure","tau2_reml","tau2_dl","tau2_pm","i2","median_se","mean_year","mean_total_n","prop_high_risk"
"CD000028_pub4_data",163,"binary","OR",0.101486620092602,0.130838592654062,0.0779077121822324,72.7779147137417,0.248285314533311,1988.26797385621,1897.98159509202,NA
"CD000143_pub2_data",80,"binary","OR",0.441978033327289,0.411156738224859,0.626928919612034,62.150106529096,0.540054228737363,1994.725,75.125,NA
"CD000219_pub5_data",71,"binary","OR",0.154156799965567,0.143164314412892,0.181723249818897,61.1247179693993,0.366311865789688,1998.04225352113,272.647887323944,NA
"CD000478_pub5_data",42,"binary","OR",0.0368625978559594,0.0925796715524154,0.108854623041424,5.48347976009034,1.07239358968826,2005.28571428571,43.7619047619048,0.206896551724138
"CD000547_pub3_data",282,"binary","OR",0.853278759839699,0.782923149500021,0.595411241427978,59.3714879400003,1.48542409858877,2002.73758865248,114.003546099291,NA
"CD001072_pub2_data",3,"binary","OR",3.708024182749,2.2188937080813,4.43498798120589,81.2192286462575,0.760440056267764,1982,32,NA
"CD001155_pub3_data",977,"binary","OR",0.0724859866551296,0,0,30.747825562646,1.52303464034209,2004.87938596491,556.539406345957,NA
"CD001321_pub7_data",155,"binary","OR",0.146551393480197,0.149663388401237,0.174065379330769,52.9812804462169,0.462100662710739,2011.96774193548,223.851612903226,NA
"CD001396_pub4_data",387,"binary","OR",0.0686983841822526,0,0,13.479328719611,0.882618700854875,2003.13436692506,122.875968992248,NA
"CD001431_pub6_data",1479,"binary","OR",0.535042140489346,0.368968131262209,0.216127595014883,77.3329738463663,2.00243755348295,2013.123056119,272.724137931034,NA
"CD001533_pub7_data",217,"binary","OR",0.326747871801266,0.272619562217287,0.261394801606963,51.9658444705466,0.616451660895953,2005.3732718894,93.0322580645161,NA
"CD001552_pub3_data",78,"binary","OR",0.819716669271097,0.507833297292092,0.359518947844091,43.9924277867908,2.00824745767041,2009.14102564103,89.2564102564103,1
"CD001703_pub4_data",119,"binary","OR",0,0,0,0,2.00679244622861,2009.3025210084,129.563025210084,NA
"CD001797_pub4_data",43,"binary","OR",0.386362141377128,0.0855718927486854,0.0264728611764185,31.65088436184,1.73272357931985,2001.48837209302,51.8837209302326,NA
"CD001837_pub4_data",144,"binary","OR",0.0437530947524702,0.0545159371614278,0.0783496061904601,39.4637014522099,0.346747707331492,2008.16666666667,394.951388888889,NA
"CD001909_pub4_data",133,"binary","OR",0.259036380385066,0.244313532160515,0.170684044361473,49.8917294375578,0.689740999852454,1995.66165413534,132.300751879699,NA
"CD001920_pub4_data",1426,"binary","OR",0,0,0,0,2.01403525991205,2010.84375,88.5224403927069,0.405117270788913
"CD002042_pub6_data",889,"binary","OR",1.37484897102808,0.859784333365157,1.50057699600167,93.8426088473263,0.698518319564027,2011.75562218891,557.223847019123,NA
"CD002052_pub4_data",37,"binary","OR",0.139256324144414,0.00299933676659377,0.00202086671572575,13.8755328190932,1.47344000837058,2005.16216216216,54.4324324324324,NA
"CD002112_pub2_data",233,"binary","OR",0.382288604680028,0.277045009091637,0.264704357925251,47.7766059709091,0.885015716264647,2003.94618834081,83.0343347639485,NA
"CD002115_pub6_data",56,"binary","OR",0.238413798190961,0,0,13.9789553678188,2.0123390499686,2016.62962962963,75.5535714285714,NA
"CD002122_pub3_data",271,"binary","OR",0.845906615446529,0.796665398115384,1.0287005137313,70.6697114282491,0.727184687685048,2011.08365019011,118.343173431734,NA
"CD002203_pub5_data",167,"binary","OR",0.236729804148364,0.140459799330343,0.0804991874668082,44.3352357101325,0.858489817868863,2008.13173652695,145.904191616766,NA
"CD002243_pub5_data",1084,"binary","OR",0.0662108103760724,0.0503943602252969,0.0681243607056396,43.5427170843392,0.571287431407055,2011.56088560886,351.535055350553,NA
"CD002290_pub6_data",229,"binary","OR",0.904667788297776,0.791304291814314,1.10132318077543,64.2907754924339,0.881289032080683,2005.19213973799,63.3275109170306,NA
"CD002303_pub4_data",15,"binary","OR",0.731123536914455,0.637162910133083,0.738819184899682,86.0982102805223,0.402797487367484,2008.66666666667,224.6,NA
"CD002971_pub6_data",73,"binary","OR",0,0,0,0,1.57427530931829,2004.21917808219,231.095890410959,NA
"CD003129_pub2_data",19,"binary","OR",0,0,0,0,1.52618440150776,2002.78947368421,124.473684210526,NA
"CD003214_pub4_data",8,"binary","OR",0,0,0,0,0.453314397460286,1998,173,NA
"CD003216_pub3_data",62,"binary","OR",0.0669753742375481,0,0,14.157227817573,1.65725737012641,2007.56451612903,161.290322580645,0.508474576271186
"CD003218_pub3_data",18,"binary","OR",0,0,0,0,2.02991563046017,2005.83333333333,38.2777777777778,NA
"CD003331_pub6_data",155,"binary","OR",0.0592069097430326,0,0,15.5980581925782,1.64654687110846,2010.18954248366,150.445161290323,NA
"CD003333_pub4_data",15,"binary","OR",0.0941833044545604,0.0756928603677673,0.143145358625296,63.3216883656361,0.30050482632979,2008,945.4,NA
"CD003357_pub5_data",34,"binary","OR",0.429836949649368,0.447600014078987,0.401446048288732,68.1808395111868,0.50664563941765,2010.48387096774,146.176470588235,NA
"CD003376_pub4_data",276,"binary","OR",0,0,0,0,1.20460875436062,1995.28378378378,95.8550724637681,NA
"CD003414_pub4_data",135,"binary","OR",0,0,0,0,0.485699580081766,2015.25925925926,210.155555555556,NA
"CD003429_pub5_data",33,"binary","OR",NA,NA,NA,NA,2.01509800680709,NA,NA,NA
"CD003451_pub3_data",83,"binary","OR",0,0,0,0,2.02846250018582,2014.27710843373,35.9759036144578,NA
"CD003477_pub5_data",158,"binary","OR",0,0,0,0,2.0261629019741,2013.79746835443,40.0316455696203,NA
"CD003511_pub6_data",48,"binary","OR",0,0,0,0,0.699958163834026,1977.875,173.8125,NA
"CD003519_pub5_data",218,"binary","OR",0.343212606740742,0.287507843509697,0.524455276043337,63.0334432754549,0.559668974935384,2007.37320574163,113.504587155963,NA
"CD003594_pub7_data",171,"binary","OR",0.425615611731678,0.403804276541637,0.445377131047594,46.7555182532584,0.971102255849225,2008.04093567251,67.7836257309941,NA
"CD003598_pub3_data",650,"binary","OR",NA,NA,NA,NA,2.00767802486891,NA,NA,NA
