"review_id","analysis_number","analysis_name","doi","k","effect_type","theta","sigma","tau","R","tau_estimator","R_status"
"CD000028_pub4","1","All-cause mortality","10.1002/14651858.CD000028.pub4",13,"logRR",-0.0802494857150028,0.0359942340156618,0.0254648844082465,0.759524714679224,"REML_golden_v1","ok"
"CD000028_pub4","2","Cause of cardiovascular mortality","10.1002/14651858.CD000028.pub4",12,"logRR",-0.353769439067356,0.0975156650975464,6.34146758992349e-06,0.771452531060197,"REML_golden_v1","ok"
"CD000028_pub4","3","Cardiovascular mortality and morbidity","10.1002/14651858.CD000028.pub4",15,"logRR",-0.298984943838834,0.0551517215345209,0.147467967229349,0.73465934805129,"REML_golden_v1","ok"
"CD000028_pub4","4","Cerebrovascular mortality and morbidity","10.1002/14651858.CD000028.pub4",13,"logRR",-0.41077693522139,0.0596774237613357,5.68950623908063e-06,0.749250488047524,"REML_golden_v1","ok"
"CD000028_pub4","5","Coronary heart disease mortality and morbidity","10.1002/14651858.CD000028.pub4",11,"logRR",-0.246538336220259,0.0613585568676356,5.82842941208981e-06,0.84716291365481,"REML_golden_v1","ok"
"CD000028_pub4","6","Withdrawal due to adverse effects","10.1002/14651858.CD000028.pub4",4,"logRR",0.734545637981153,0.426854203321646,0.78782271184735,0.725727387979079,"REML_golden_v1","ok"
"CD000143_pub2","1","Extubation failure","10.1002/14651858.CD000143.pub2",9,"GIV",0,0.105678470112562,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD000143_pub2","2","Endotracheal reintubation","10.1002/14651858.CD000143.pub2",9,"GIV",0,0.105678470112562,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
"CD000143_pub2","4","Oxygen dependency at 28 days","10.1002/14651858.CD000143.pub2",5,"logRR",-0.0791278710798469,0.216508735932295,0.386998875364463,0.337279593418826,"REML_golden_v1","ok"
"CD000219_pub5","1","Pain","10.1002/14651858.CD000219.pub5",17,"logRR",-0.277144910767231,0.0648358084386874,0.159298977290208,0.712035753085489,"REML_golden_v1","ok"
"CD000219_pub5","2","Vomiting, diarrhoea or rash","10.1002/14651858.CD000219.pub5",11,"logRR",0.396702176720809,0.0827533659332279,0.123810198266179,0.791140725879347,"REML_golden_v1","ok"
"CD000219_pub5","3","Abnormal tympanometry","10.1002/14651858.CD000219.pub5",9,"logRR",-0.137904427053229,0.0725979645750119,0.144823781574831,0.668938438443027,"REML_golden_v1","ok"
"CD000219_pub5","4","Tympanic membrane perforation","10.1002/14651858.CD000219.pub5",7,"logRR",-0.66972301954717,0.346268203673242,6.64618269859106e-06,0.694354750220308,"REML_golden_v1","ok"
"CD000219_pub5","5","Contralateral otitis (in unilateral cases)","10.1002/14651858.CD000219.pub5",6,"logRR",-0.364072114546521,0.250458709471697,0.49539361543917,0.681159683260018,"REML_golden_v1","ok"
"CD000219_pub5","6","Late AOM recurrences","10.1002/14651858.CD000219.pub5",6,"logRR",-0.0786100397524487,0.0944670218302047,0.0635772321280481,0.603883337868661,"REML_golden_v1","ok"
"CD000478_pub5","1","Failure to maintain remission","10.1002/14651858.CD000478.pub5",10,"logRR",-0.375860737773536,0.0833621253375476,6.64348895506722e-06,0.777498152656962,"REML_golden_v1","ok"
"CD000478_pub5","2","Withdrawal due to adverse event","10.1002/14651858.CD000478.pub5",6,"logRR",0.309004706982283,0.275330477282334,6.46305006453896e-06,0.595644503607329,"REML_golden_v1","ok"
"CD000478_pub5","3","Pancreatitis","10.1002/14651858.CD000478.pub5",2,"logRR",1.36052718360718,1.09137890945622,6.1241453858134e-06,0.999999999999952,"REML_golden_v1","ok"
"CD000478_pub5","4","Bone marrow suppression","10.1002/14651858.CD000478.pub5",2,"logRR",0.803865815548789,1.03297213979041,6.97094142786191e-06,0.999999999999222,"REML_golden_v1","ok"
"CD000547_pub3","1","Uterine volume (mL) (preoperative)","10.1002/14651858.CD000547.pub3",20,"logRR",0.0521490867749582,0.442557868496451,6.84152554050825e-06,0.964995558676449,"REML_golden_v1","ok"
"CD000547_pub3","2","Postoperative morbidity (complications)","10.1002/14651858.CD000547.pub3",3,"GIV",0,9.06534857937226,5.74921565745693e-06,0.5,"REML_golden_v1","ok"
