dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_5comp,MAFI_3comp,MAFI_empirical,MAFI_simple,class_5comp,class_simple,agree
CD000028_pub4_data,1,36,-0.124755687489753,16.1423614268811,0.00577622038761437,FALSE,FALSE,0,0.0338980611846206,0.0322847228537622,0.0322954892089898,0,Robust,Robust,TRUE
CD000028_pub4_data,2,42,-0.37770419096943,13.3885776639842,0.00663313291199628,FALSE,FALSE,0,0.0312211309206039,0.0267771553279684,0.0268068114880794,0,Robust,Robust,TRUE
CD000028_pub4_data,3,36,-0.41452975021648,12.3158400883381,0.00556463286966118,FALSE,FALSE,0,0.0283975903774894,0.0246316801766762,0.0246568113758808,0,Robust,Robust,TRUE
CD000028_pub4_data,4,32,-0.339612148926549,0,0,FALSE,FALSE,0,0.00246044947215384,0,1.64194158969225e-05,0,Robust,Robust,TRUE
CD000028_pub4_data,5,13,-0.140192643710262,72.1448911694065,0.111371603283192,FALSE,TRUE,1,0.309717551036301,0.299289782338813,0.313089767448573,0.143461538461538,Moderate,Robust,FALSE
CD000028_pub4_data,6,4,0.805260630807161,96.7491477942095,0.792215639702224,FALSE,TRUE,1,0.574273562303862,0.595998295588419,0.640560526263864,0.365,High,Moderate,FALSE
CD000143_pub2_data,1,47,-0.777236490680725,66.4387707070126,0.58753645542427,FALSE,FALSE,0,0.138915093846931,0.132877541414025,0.132917832054218,0,Robust,Robust,TRUE
CD000143_pub2_data,2,23,-0.240630952618133,50.6496407558818,0.274816292500686,FALSE,FALSE,0,0.171291651221481,0.101299281511764,0.101679320827405,0,Low,Robust,FALSE
CD000143_pub2_data,4,5,-0.17791741421883,71.6441313861111,0.57040155684473,TRUE,FALSE,1,0.583621675515409,0.498288262772222,0.507996860788526,0.325,High,Moderate,FALSE
CD000219_pub5_data,1,27,-0.391475083466115,22.5786962850007,0.0319299507537542,FALSE,FALSE,0,0.049710252133886,0.0451573925700014,0.0451877753498738,0,Robust,Robust,TRUE
CD000219_pub5_data,2,11,0.61468961745144,35.4970525897517,0.0615645008991261,FALSE,FALSE,0,0.221792442279667,0.205994105179503,0.206099532854513,0.135,Low,Robust,FALSE
CD000219_pub5_data,3,14,-0.24432973093191,42.4921116248766,0.047857387275028,FALSE,FALSE,0,0.21569791650628,0.174984223249753,0.175208252853448,0.09,Low,Robust,FALSE
CD000219_pub5_data,4,7,-0.741655129157561,0,0,FALSE,TRUE,1,0.431275783641367,0.566428571428571,0.66771455311072,0.480714285714286,Moderate,Moderate,TRUE
CD000219_pub5_data,5,6,-0.435430088842618,69.936543906136,0.309201525917672,FALSE,TRUE,1,0.436654379658391,0.458206421145605,0.487867401849728,0.293333333333333,Moderate,Low,FALSE
CD000219_pub5_data,6,6,-0.107287777800948,4.69009933276955,0.0047988304060429,FALSE,FALSE,0,0.273323475273677,0.219380198665539,0.219684569324697,0.21,Low,Low,TRUE
CD000478_pub5_data,1,32,-0.851654814332434,0.000513682819801124,3.10127064718006e-06,FALSE,FALSE,0,0.00771120150931278,1.02736563960225e-06,5.24799792109948e-05,0,Robust,Robust,TRUE
CD000478_pub5_data,2,6,0.469376506878793,0,0,FALSE,FALSE,0,0.252423834983646,0.21,0.210283108675233,0.21,Low,Low,TRUE
CD000547_pub3_data,1,28,0.0655894329313119,0,0,FALSE,FALSE,0,0.003564401064127,0,2.37864602210678e-05,0,Robust,Robust,TRUE
CD000547_pub3_data,3,24,-0.00720866156329724,0,0,TRUE,FALSE,1,0.071123023979827,0.108333333333333,0.115812187903325,0.0833333333333333,Robust,Robust,TRUE
CD000547_pub3_data,5,25,-0.430563744150343,0,0,FALSE,TRUE,1,0.0409213412970737,0.052,0.0662323746499638,0.04,Robust,Robust,TRUE
CD000547_pub3_data,7,63,0.381512123627162,25.6545204724534,0.312523287361476,FALSE,FALSE,0,0.059973539511479,0.0513090409449068,0.0513668620898289,0,Robust,Robust,TRUE
CD000547_pub3_data,8,57,0.878604590001893,74.0327465458707,0.877285037696394,FALSE,FALSE,0,0.156934771759328,0.148065493091741,0.148124680803904,0,Low,Robust,FALSE
CD000547_pub3_data,6,17,-0.749172512053013,8.85450333532254,0.0697506561227504,FALSE,FALSE,0,0.081055196737761,0.0627090066706451,0.06283143703479,0.045,Robust,Robust,TRUE
CD000547_pub3_data,9,4,1.5064425538246,85.1873975297758,1.91071390882548,FALSE,TRUE,1,0.60574292196053,0.572874795059552,0.617801342452952,0.365,High,Moderate,FALSE
CD000547_pub3_data,10,43,0.596089381697997,82.3006790276372,2.01518713932549,FALSE,FALSE,0,0.180862772974453,0.164601358055274,0.16470987600602,0,Low,Robust,FALSE
CD000547_pub3_data,11,4,0.00502055638585296,0,0,TRUE,FALSE,1,0.34218094099779,0.4025,0.413688227834486,0.365,Moderate,Moderate,TRUE
CD000547_pub3_data,13,4,0.0200018946120046,0,0,TRUE,FALSE,1,0.345420869216781,0.4025,0.413709848977089,0.365,Moderate,Moderate,TRUE
CD000547_pub3_data,4,9,1.17189002005687,77.9264806815082,3.71734721540546,FALSE,FALSE,0,0.395348746685423,0.320852961363016,0.321350097067537,0.165,Moderate,Low,FALSE
CD000547_pub3_data,2,4,0.0299441052219701,0,0,FALSE,FALSE,0,0.244491615783296,0.24,0.240029974079301,0.24,Low,Low,TRUE
CD001155_pub3_data,1,182,-0.316167229164469,25.9577814423594,0.118685331740648,FALSE,FALSE,0,0.0562734756495934,0.0519155628847188,0.0519446447183182,0,Robust,Robust,TRUE
CD001155_pub3_data,2,494,-0.0906954561924885,17.9147476305551,0.0372074862934071,FALSE,FALSE,0,0.0373743528973831,0.0358294952611102,0.035839804621379,0,Robust,Robust,TRUE
CD001155_pub3_data,4,78,-0.258903149160523,34.4008325505228,0.0911137354113809,FALSE,FALSE,0,0.0721415473162658,0.0688016651010456,0.06882395327065,0,Robust,Robust,TRUE
CD001155_pub3_data,5,47,-0.631573641776405,0,0,FALSE,FALSE,0,0.00422406547680081,0,2.81886251371425e-05,0,Robust,Robust,TRUE
CD001155_pub3_data,6,40,-0.0175221304564189,0,0,TRUE,FALSE,1,0.0248945796036558,0.0325,0.0347673979286197,0.025,Robust,Robust,TRUE
CD001155_pub3_data,7,21,-0.0438222166077177,0,0,FALSE,FALSE,0,0.00588170022028892,0,3.92505853873134e-05,0,Robust,Robust,TRUE
CD001155_pub3_data,8,21,0.0204779795322341,0,0,FALSE,FALSE,0,0.00138082395951008,0,9.21470777117168e-06,0,Robust,Robust,TRUE
CD001155_pub3_data,9,10,-0.00941616274101494,0,0,TRUE,FALSE,1,0.241641908135029,0.28,0.28901662935025,0.25,Low,Low,TRUE
