dataset,analysis_id,measure,k,estimate,se,pval,ci_lb,ci_ub,tau2,I2,significant,direction_fragile,direction_fragility_index,sig_fragile,sig_fragility_index,sig_fragility_type,clinical_fragile,clinical_fragility_index,max_effect_change,mean_effect_change,max_change_study_idx,ci_width,ci_width_change,composite_fragility,fragility_quotient,fragility_class,DFI_rate,SFI_rate,CFI_rate,MAFI_core,het_penalty,k_penalty,MAFI,MAFI_class
CD000028_pub4_data,1,OR,36,-0.124755687489753,0.0334285745350271,0.000189959920828973,-0.190274489632919,-0.0592368853465866,0.00577622038761437,16.1423614268811,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0107555888723893,0.00393007049084637,33,0.131037604286332,0.0071612234918093,0,0,Robust,0,0,0,0.00161333833085839,0.0322847228537622,0,0.0338980611846206,Robust
CD000028_pub4_data,2,OR,42,-0.37770419096943,0.0366566634574288,6.77074473548919e-25,-0.449549931139396,-0.305858450799464,0.00663313291199628,13.3885776639842,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.029626503950903,0.00419793078462878,24,0.143691480339932,0.00218108698302794,0,0,Robust,0,0,0,0.00444397559263545,0.0267771553279684,0,0.0312211309206039,Robust
CD000028_pub4_data,3,OR,36,-0.41452975021648,0.0373119565687293,1.12364616031076e-28,-0.487659841283912,-0.341399659149048,0.00556463286966118,12.3158400883381,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0251060680054213,0.00484075642393492,8,0.146260182134864,0.00299618913168506,0,0,Robust,0,0,0,0.0037659102008132,0.0246316801766762,0,0.0283975903774894,Robust
CD000028_pub4_data,4,OR,32,-0.339612148926549,0.0422306111735298,8.84937415465738e-16,-0.422382625871783,-0.256841671981316,0,0,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0164029964810256,0.00392567542987277,15,0.165540953890466,0.00272185416057255,0,0,Robust,0,0,0,0.00246044947215384,0,0,0.00246044947215384,Robust
CD000028_pub4_data,5,OR,13,-0.140192643710262,0.124944803026193,0.26184687258536,-0.385079957697052,0.104694670276528,0.111371603283192,72.1448911694065,FALSE,FALSE,0,TRUE,1,gain,TRUE,1,0.120800509265306,0.0214152015585344,12,0.48977462797358,0.046002681192198,2,0.0769230769230769,Moderate Fragility,0,0.0769230769230769,0.0769230769230769,0.0604277686974882,0.144289782338813,0.105,0.309717551036301,Moderate Fragility
CD000028_pub4_data,6,OR,4,0.805260630807161,0.478051366091096,0.092091904138427,-0.131702829491559,1.74222409110588,0.792215639702224,96.7491477942095,FALSE,FALSE,0,TRUE,1,gain,FALSE,0,0.355168444769622,0.184570533786809,1,1.87392692059744,0.658382065487458,1,0.25,Low Fragility,0,0.25,0,0.140775266715443,0.193498295588419,0.24,0.574273562303862,High Fragility
CD000143_pub2_data,1,OR,47,-0.777236490680725,0.14670208545183,1.17039337176985e-07,-1.06476729462323,-0.48970568673822,0.58753645542427,66.4387707070126,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0402503495527073,0.0179503138192049,6,0.575061607885009,0.0142226115051396,0,0,Robust,0,0,0,0.0060375524329061,0.132877541414025,0,0.138915093846931,Robust
CD000143_pub2_data,2,OR,23,-0.240630952618133,0.159922612006681,0.13240862437865,-0.554073512464801,0.0728116072285356,0.274816292500686,50.6496407558818,FALSE,FALSE,0,FALSE,0,gain,TRUE,6,0.118789711108259,0.0307581969163228,6,0.626885119693337,0.0301523252760867,1,0,Low Fragility,0,0,0.260869565217391,0.0699923697097171,0.101299281511764,0,0.171291651221481,Low Fragility
CD000143_pub2_data,4,OR,5,-0.17791741421883,0.407152582918647,0.662126068921497,-0.975921812951837,0.620086984514177,0.57040155684473,71.6441313861111,FALSE,TRUE,1,FALSE,0,gain,TRUE,2,0.368889418287915,0.186705968111432,4,1.59600879746601,0.326719540871705,2,0.2,Moderate Fragility,0.2,0,0.4,0.215333412743187,0.143288262772222,0.225,0.583621675515409,High Fragility
CD000219_pub5_data,1,OR,27,-0.391475083466115,0.0750557476607824,1.83034589558281e-07,-0.538581645713975,-0.244368521218255,0.0319299507537542,22.5786962850007,TRUE,FALSE,0,FALSE,0,loss,FALSE,0,0.0303523970925642,0.0121406574572989,27,0.29421312449572,0.0085466366443599,0,0,Robust,0,0,0,0.00455285956388463,0.0451573925700014,0,0.049710252133886,Robust
