dataset,analysis_id,k,estimate,I2,tau2,direction_fragile,sig_fragile,fragility_any,MAFI_base,MAFI_empirical,MAFI_simple
CD000028_pub4_data,1,36,-0.124755687489753,16.1423614268811,0.00577622038761437,FALSE,FALSE,0,0.0338980611846206,0.0322995997526146,0
CD000028_pub4_data,2,42,-0.37770419096943,13.3885776639842,0.00663313291199628,FALSE,FALSE,0,0.0312211309206039,0.026818134070077,0
CD000028_pub4_data,3,36,-0.41452975021648,12.3158400883381,0.00556463286966118,FALSE,FALSE,0,0.0283975903774894,0.0246664063491554,0
CD000028_pub4_data,4,32,-0.339612148926549,0,0,FALSE,FALSE,0,0.00246044947215384,2.26882714112227e-05,0
CD000028_pub4_data,5,13,-0.140192643710262,72.1448911694065,0.111371603283192,FALSE,TRUE,1,0.309717551036301,0.313122654290552,0.143461538461538
CD000028_pub4_data,6,4,0.805260630807161,96.7491477942095,0.792215639702224,FALSE,TRUE,1,0.574273562303862,0.640664794523676,0.365
CD000143_pub2_data,1,47,-0.777236490680725,66.4387707070126,0.58753645542427,FALSE,FALSE,0,0.138915093846931,0.132933214830532,0
CD000143_pub2_data,2,23,-0.240630952618133,50.6496407558818,0.274816292500686,FALSE,FALSE,0,0.171291651221481,0.101712519070296,0
CD000143_pub2_data,4,5,-0.17791741421883,71.6441313861111,0.57040155684473,TRUE,FALSE,1,0.583621675515409,0.508037015720174,0.325
CD000219_pub5_data,1,27,-0.391475083466115,22.5786962850007,0.0319299507537542,FALSE,FALSE,0,0.049710252133886,0.0451993753518678,0
CD000219_pub5_data,2,11,0.61468961745144,35.4970525897517,0.0615645008991261,FALSE,FALSE,0,0.221792442279667,0.20613978464337,0.135
CD000219_pub5_data,3,14,-0.24432973093191,42.4921116248766,0.047857387275028,FALSE,FALSE,0,0.21569791650628,0.175232508289152,0.09
CD000219_pub5_data,4,7,-0.741655129157561,0,0,FALSE,TRUE,1,0.431275783641367,0.667735048952921,0.480714285714286
CD000219_pub5_data,5,6,-0.435430088842618,69.936543906136,0.309201525917672,FALSE,TRUE,1,0.436654379658391,0.487918903563767,0.293333333333333
CD000219_pub5_data,6,6,-0.107287777800948,4.69009933276955,0.0047988304060429,FALSE,FALSE,0,0.273323475273677,0.219729285594637,0.21
CD000478_pub5_data,1,32,-0.851654814332434,0.000513682819801124,3.10127064718006e-06,FALSE,FALSE,0,0.00771120150931278,7.21243442929849e-05,0
CD000478_pub5_data,2,6,0.469376506878793,0,0,FALSE,FALSE,0,0.252423834983646,0.210391198231586,0.21
CD000547_pub3_data,1,28,0.0655894329313119,0,0,FALSE,FALSE,0,0.003564401064127,3.28680184968691e-05,0
CD000547_pub3_data,3,24,-0.00720866156329724,0,0,TRUE,FALSE,1,0.071123023979827,0.115755109661481,0.0833333333333333
CD000547_pub3_data,5,25,-0.430563744150343,0,0,FALSE,TRUE,1,0.0409213412970737,0.0662552261694003,0.04
CD000547_pub3_data,7,63,0.381512123627162,25.6545204724534,0.312523287361476,FALSE,FALSE,0,0.059973539511479,0.0513889379301306,0
CD000547_pub3_data,8,57,0.878604590001893,74.0327465458707,0.877285037696394,FALSE,FALSE,0,0.156934771759328,0.14814727839313,0
CD000547_pub3_data,6,17,-0.749172512053013,8.85450333532254,0.0697506561227504,FALSE,FALSE,0,0.081055196737761,0.0628781803701319,0.045
CD000547_pub3_data,9,4,1.5064425538246,85.1873975297758,1.91071390882548,FALSE,TRUE,1,0.60574292196053,0.618044705116647,0.365
CD000547_pub3_data,10,43,0.596089381697997,82.3006790276372,2.01518713932549,FALSE,FALSE,0,0.180862772974453,0.164751307647571,0
CD000547_pub3_data,11,4,0.00502055638585296,0,0,TRUE,FALSE,1,0.34218094099779,0.413591135988505,0.365
CD000547_pub3_data,13,4,0.0200018946120046,0,0,TRUE,FALSE,1,0.345420869216781,0.413621011981333,0.365
CD000547_pub3_data,4,9,1.17189002005687,77.9264806815082,3.71734721540546,FALSE,FALSE,0,0.395348746685423,0.321539901133784,0.165
CD000547_pub3_data,2,4,0.0299441052219701,0,0,FALSE,FALSE,0,0.244491615783296,0.240041418041346,0.24
CD001155_pub3_data,1,182,-0.316167229164469,25.9577814423594,0.118685331740648,FALSE,FALSE,0,0.0562734756495934,0.0519557480251636,0
CD001155_pub3_data,2,494,-0.0906954561924885,17.9147476305551,0.0372074862934071,FALSE,FALSE,0,0.0373743528973831,0.0358437406864848,0
CD001155_pub3_data,4,78,-0.258903149160523,34.4008325505228,0.0911137354113809,FALSE,FALSE,0,0.0721415473162658,0.0688324627886381,0
CD001155_pub3_data,5,47,-0.631573641776405,0,0,FALSE,FALSE,0,0.00422406547680081,3.8950909206251e-05,0
CD001155_pub3_data,6,40,-0.0175221304564189,0,0,TRUE,FALSE,1,0.0248945796036558,0.0347593388707422,0.025
CD001155_pub3_data,7,21,-0.0438222166077177,0,0,FALSE,FALSE,0,0.00588170022028892,5.42362736839894e-05,0
CD001155_pub3_data,8,21,0.0204779795322341,0,0,FALSE,FALSE,0,0.00138082395951008,1.27328397185329e-05,0
CD001155_pub3_data,9,10,-0.00941616274101494,0,0,TRUE,FALSE,1,0.241641908135029,0.288964172337982,0.25
CD001321_pub7_data,1,103,-0.448045051901525,55.7941426957091,0.169125802529617,FALSE,FALSE,0,0.114820205861966,0.111618087543279,0
CD001321_pub7_data,2,30,-0.427314404102553,60.517428532158,0.174589204440971,FALSE,FALSE,0,0.127372752271434,0.121093299998529,0
CD001321_pub7_data,3,8,-0.0353187757382847,11.7843001811934,0.0242575237538071,TRUE,FALSE,1,0.324155707369167,0.377329463099918,0.305
CD001321_pub7_data,4,4,0.0940408879739941,0,0,FALSE,FALSE,0,0.245896281522643,0.24005437073064,0.24
