"measure_group","model","k","estimate","se","ci.lb","ci.ub","p","tau2","i2","ratio_10y","ratio_10y_ci_lb","ratio_10y_ci_ub","data_type","outcome_category","ratio","ratio_ci_lb","ratio_ci_ub"
"generic","year_slope_by_measure_group",31,-0.000777765086542327,0.00122297576366889,-0.00317475353729873,0.00161922336421407,0.524801737047786,0,0,0.992252516799216,0.968751126600323,1.01632403830027,NA,NA,NA,NA,NA
"log_ratio","year_slope_by_measure_group",4178,5.78859158898267e-07,1.74463553920713e-05,-3.36153690710476e-05,3.47730873888442e-05,0.97353154584464,0,0,1.00000578860834,0.999663902802611,1.00034779133928,NA,NA,NA,NA,NA
"mean_diff","year_slope_by_measure_group",117,0.000304126830656354,0.000490969075827135,-0.000658154875487745,0.00126640853680045,0.535625267544841,4.89462860158208e-08,0.0747653500452788,1.00304589765486,0.993440062199953,1.01274461448057,NA,NA,NA,NA,NA
NA,"year_slope_by_type",4181,3.89971625089792e-07,1.74351654888604e-05,-3.37823247975723e-05,3.45622680477519e-05,0.982155236953132,0,0,NA,NA,NA,"binary",NA,NA,NA,NA
NA,"year_slope_by_type",114,0.00369593696144125,0.00139910953995361,0.000953732652705771,0.00643814127017672,0.00825068780967749,0,0,NA,NA,NA,"continuous",NA,NA,NA,NA
NA,"year_slope_by_type",31,-0.000777765086542327,0.00122297576366889,-0.00317475353729873,0.00161922336421407,0.524801737047786,0,0,NA,NA,NA,"giv",NA,NA,NA,NA
NA,"year_slope_by_category",547,-1.66301390355694e-05,2.2366782854583e-05,-6.046822788058e-05,2.72079498094413e-05,0.457167224678211,0,0,NA,NA,NA,NA,"adverse_events",NA,NA,NA
NA,"year_slope_by_category",171,0.0142288650587902,0.00275245062867669,0.00883416095735923,0.0196235691602211,2.34688497263868e-07,0.000141087956056018,24.5543226085018,NA,NA,NA,NA,"biomarker",NA,NA,NA
NA,"year_slope_by_category",12,0.00761961235022992,0.0357927890011429,-0.0625329649982516,0.0777721896987114,0.83141961613155,0,0,NA,NA,NA,NA,"cost",NA,NA,NA
NA,"year_slope_by_category",119,-0.00122400238088399,0.00240230354177424,-0.00593243080269452,0.00348442604092654,0.61039341874993,4.86033162493095e-05,9.73300488390227,NA,NA,NA,NA,"function_score",NA,NA,NA
