"outcome_category","model","k","estimate","se","ci.lb","ci.ub","p","tau2","i2","ratio_10y","ratio_10y_ci_lb","ratio_10y_ci_ub","ratio","ratio_ci_lb","ratio_ci_ub"
"adverse_events","year_slope_by_category_log_ratio",547,-1.66301390355694e-05,2.2366782854583e-05,-6.046822788058e-05,2.72079498094413e-05,0.457167224678211,0,0,0.999833712436954,0.99939550050468,1.00027211651508,NA,NA,NA
"biomarker","year_slope_by_category_log_ratio",167,0.0142177732550629,0.00275725167338739,0.00881365927891077,0.0196218872312149,2.51606047033075e-07,0.000141121667801289,24.977649436828,1.15278151712991,1.09213728991886,1.21679319853192,NA,NA,NA
"cost","year_slope_by_category_log_ratio",12,0.00761961235022992,0.0357927890011429,-0.0625329649982516,0.0777721896987114,0.83141961613155,0,0,1.07917420482837,0.535085008678434,2.17650830331306,NA,NA,NA
"function_score","year_slope_by_category_log_ratio",112,-0.000885976048911871,0.00240010083117927,-0.00559008723728788,0.00381813513946414,0.712022497146318,4.77628330612957e-05,10.0980627900975,0.991179371536777,0.94563286958701,1.03891962531834,NA,NA,NA
"length_of_stay","year_slope_by_category_log_ratio",58,-0.00504772461068893,0.0118980063857252,-0.028367388614538,0.0182719393931601,0.671383781473531,0,0,0.950775562271718,0.753012172371141,1.2004774995424,NA,NA,NA
"mortality","year_slope_by_category_log_ratio",379,0.00108741400095357,0.000772282075671869,-0.00042623105326913,0.00260105905517627,0.159115412214266,7.07037438948093e-06,4.81659987716754,1.01093347835947,0.995746760220815,1.02635181804794,NA,NA,NA
"other","year_slope_by_category_log_ratio",2544,2.48906676660316e-05,2.79638200552877e-05,-2.99174125124912e-05,7.96987478445544e-05,0.373410821432206,0,0,1.0002489376565,0.999700870622991,1.00079730515736,NA,NA,NA
"pain","year_slope_by_category_log_ratio",83,0.000477425608463902,0.000566094192836558,-0.000632098621353024,0.00158694983828083,0.399022780198739,0,0,1.00478567100391,0.993698949193898,1.01599608762168,NA,NA,NA
"quality_of_life","year_slope_by_category_log_ratio",131,0.00305786047111828,0.00970998300235747,-0.0159733565039985,0.022089077446235,0.752822972639373,0,0,1.03105093232434,0.852370860111054,1.24718719843189,NA,NA,NA
"relapse","year_slope_by_category_log_ratio",53,0.00509235832945002,0.00583556233049841,-0.0063451336678655,0.0165298503267655,0.382858095914679,0.000795236250717201,64.1554513363666,1.05224248130703,0.938519789679533,1.17974522396085,NA,NA,NA
"response","year_slope_by_category_log_ratio",92,-0.00623226975454154,0.00242937661025411,-0.0109937604155236,-0.00147077909355948,0.0103063403798205,0.000198535690411071,63.6915802417474,0.939579637822024,0.895890033368054,0.985399840302817,NA,NA,NA
"adverse_events","pre_indicator_by_category_log_ratio",176,0.000894398210590274,0.026103533072361,-0.0502675864804874,0.052056382901668,0.972667036501161,0.0265142564199204,45.5981641011447,NA,NA,NA,1.00089479830394,0.950974922419053,1.05343513656866
"biomarker","pre_indicator_by_category_log_ratio",76,-0.142828512129742,0.0850435494960221,-0.309510806259395,0.0238537819999106,0.0930595144014464,0,0,NA,NA,NA,0.86690271945032,0.733805841659437,1.02414055915781
"function_score","pre_indicator_by_category_log_ratio",53,0.137985129583018,0.0289320547061077,0.0812793443603042,0.194690914805731,1.8488363790738e-06,0,0,NA,NA,NA,1.14795847952599,1.08467385177364,1.21493540990295
"length_of_stay","pre_indicator_by_category_log_ratio",22,0.0488640873349413,0.253229291201915,-0.447456203251418,0.5451843779213,0.846987315452566,0,0,NA,NA,NA,1.05007762219279,0.639252212805691,1.72492639140106
"other","pre_indicator_by_category_log_ratio",1211,0.00500136512752009,0.00799081494473009,-0.0106603443712753,0.0206630746263155,0.531387589752502,0.00219090464260725,4.43797634394306,NA,NA,NA,1.00501389283059,0.9893962757246,1.02087803397356
"pain","pre_indicator_by_category_log_ratio",35,-0.0537508427532812,0.0298773536730136,-0.112309379905753,0.00480769439919098,0.0720108267418217,0,0,NA,NA,NA,0.947668195487327,0.893767700954957,1.00481926990497
"quality_of_life","pre_indicator_by_category_log_ratio",34,-0.114900933209814,0.259436127625519,-0.623386399644369,0.393584533224741,0.657847345567555,0,0,NA,NA,NA,0.891454453063769,0.536125823757084,1.48228458073173
"relapse","pre_indicator_by_category_log_ratio",29,0.101643014036821,0.0862760154584774,-0.0674548689914153,0.270740897065058,0.238751011936273,0.111678633453699,59.6542617207932,NA,NA,NA,1.10698822192618,0.934769906772756,1.31093535917732
"response","pre_indicator_by_category_log_ratio",41,0.0914538382431694,0.0206431172900701,0.0509940718259959,0.131913604660343,9.41309302205205e-06,5.55767774285489e-07,0.00299565876561335,NA,NA,NA,1.09576619303249,1.05231665494848,1.14100973708499
