"dataset_id","review_doi","analysis_group","analysis_number","analysis_name","data_type","measure","effect_is_log","k","k_pre","k_post","year_min","year_max","year_unique","slope_year","slope_year_se","slope_year_p","slope_year_ci_lb","slope_year_ci_ub","slope_pre","slope_pre_se","slope_pre_p","slope_pre_ci_lb","slope_pre_ci_ub","aic_linear","aic_spline","delta_aic","egger_p_all","egger_p_post"
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,1,"All-cause mortality","binary","RR",TRUE,12,12,0,1970,1999,9,-0.00959766867807041,0.00836376250365295,0.251162627197331,-0.0259903419604767,0.00679500460433592,NA,NA,NA,NA,NA,-0.471804159061616,2.3895671858655,2.86137134492712,0.945405737279417,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,2,"Cause of cardiovascular mortality","binary","RR",TRUE,19,19,0,1981,1999,8,-0.0133038674513823,0.0227349311464848,0.558431409876169,-0.0578635136894905,0.0312557787867259,NA,NA,NA,NA,NA,18.7555108297136,20.6302114533191,1.87470062360546,0.126900408585221,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,3,"Cardiovascular mortality and morbidity","binary","RR",TRUE,14,14,0,1970,1999,10,0.00127249735471673,0.00971158684128686,0.895752542229708,-0.0177618630869386,0.0203068577963721,NA,NA,NA,NA,NA,5.91023026686891,5.17713070375192,-0.733099563116992,0.197993073957032,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,4,"Cerebrovascular mortality and morbidity","binary","RR",TRUE,12,12,0,1970,1999,10,-0.0062657440565898,0.0122364633282917,0.608612412867574,-0.0302487714781867,0.0177172833650071,NA,NA,NA,NA,NA,5.56831681879672,10.0496779886719,4.48136116987515,0.289825419877129,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,5,"Coronary heart disease mortality and morbidity","binary","RR",TRUE,10,10,0,1970,1993,8,-0.0113148187578442,0.0185932198146386,0.542825791451847,-0.0477568599511723,0.025127222435484,NA,NA,NA,NA,NA,4.15076759628351,9.27538908810218,5.12462149181867,0.782138624057091,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",1,6,"Withdrawal due to adverse effects","binary","RR",TRUE,4,4,0,1986,1992,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",2,1,"All-cause mortality","binary","RR",TRUE,16,16,0,1970,1999,8,0.000907057576345332,0.0157405927884473,0.954047036209004,-0.0299439373843223,0.0317580525370129,NA,NA,NA,NA,NA,16.8749489055129,20.4147420527534,3.53979314724049,0.777268239462859,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",2,2,"Cardiovascular mortality and morbidity","binary","RR",TRUE,14,14,0,1974,1999,7,-0.0003434100324184,0.0114429974676716,0.976058682157203,-0.0227712729442379,0.0220844528794011,NA,NA,NA,NA,NA,5.677140334527,9.43513926826032,3.75799893373332,0.994312546311547,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",2,3,"Cerebrovascular mortality and morbidity","binary","RR",TRUE,14,14,0,1974,1999,7,-0.0136820070252525,0.0140010997692588,0.328465469819181,-0.0411236583169518,0.0137596442664469,NA,NA,NA,NA,NA,13.8217043503814,17.9929562235873,4.17125187320588,0.257905530314658,NA
"CD000028_pub4_data","10.1002/14651858.CD000028.pub4",2,4,"Coronary heart disease mortality and morbidity","binary","RR",TRUE,12,12,0,1985,1993,5,-0.0168619057637328,0.0248475246451172,0.497381763972341,-0.065562159173134,0.0318383476456683,NA,NA,NA,NA,NA,10.2290080118783,15.3081079002303,5.07909988835195,0.827963309752561,NA
