"group_type","group_value","data_type","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_delta_tau2_gt0","median_delta_tau2","mean_delta_tau2","median_delta_effect_re","median_delta_effect_fe","prop_sig_change","prop_sig_loss","prop_sig_gain","prop_sign_flip","measure"
"data_type","binary","binary",2872,0.222493036211699,0.733635097493036,0.805710306406685,0,-0.980222367495946,0.228064066852368,0,0.0295935035067159,-0.00174382050793775,-0.00150995839113105,0.0898328690807799,0.0706824512534819,0.019150417827298,0.106894150417827,NA
"data_type","continuous","continuous",74,0.391891891891892,0.621621621621622,0.716216216216216,0,-6.98079785704424,0.405405405405405,0,32.8639568017585,-0.0229134569845924,-0.0108025782633491,0.135135135135135,0.0405405405405405,0.0945945945945946,0.0540540540540541,NA
"data_type","giv","giv",11,0.727272727272727,0.909090909090909,0.909090909090909,1.1229730878172,-0.693489244447362,0.727272727272727,0.000201307467943659,0.000416219510006634,-0.000711378816454666,-8.54893442526761e-05,0,0,0,0,NA
"measure","GEN",NA,11,0.727272727272727,0.909090909090909,0.909090909090909,1.1229730878172,-0.693489244447362,0.727272727272727,0.000201307467943659,0.000416219510006634,-0.000711378816454666,-8.54893442526761e-05,0,0,0,0,"GEN"
"measure","MD",NA,74,0.391891891891892,0.621621621621622,0.716216216216216,0,-6.98079785704424,0.405405405405405,0,32.8639568017585,-0.0229134569845924,-0.0108025782633491,0.135135135135135,0.0405405405405405,0.0945945945945946,0.0540540540540541,"MD"
"measure","OR",NA,3,0,1,1,0,-0.000545655985587747,0,0,-1.74213702743953e-06,0.109301225452573,0.109302339754398,0,0,0,0.333333333333333,"OR"
"measure","RR",NA,2869,0.222725688393168,0.733356570233531,0.805507145346811,0,-0.98124677674465,0.228302544440572,0,0.0296244500863364,-0.00174382050793775,-0.00151546036192063,0.0899268037643778,0.0707563611014291,0.0191704426629488,0.106657371906588,"RR"
"data_type+measure","binary | OR","binary",3,0,1,1,0,-0.000545655985587747,0,0,-1.74213702743953e-06,0.109301225452573,0.109302339754398,0,0,0,0.333333333333333,"OR"
"data_type+measure","binary | RR","binary",2869,0.222725688393168,0.733356570233531,0.805507145346811,0,-0.98124677674465,0.228302544440572,0,0.0296244500863364,-0.00174382050793775,-0.00151546036192063,0.0899268037643778,0.0707563611014291,0.0191704426629488,0.106657371906588,"RR"
"data_type+measure","continuous | MD","continuous",74,0.391891891891892,0.621621621621622,0.716216216216216,0,-6.98079785704424,0.405405405405405,0,32.8639568017585,-0.0229134569845924,-0.0108025782633491,0.135135135135135,0.0405405405405405,0.0945945945945946,0.0540540540540541,"MD"
"data_type+measure","giv | GEN","giv",11,0.727272727272727,0.909090909090909,0.909090909090909,1.1229730878172,-0.693489244447362,0.727272727272727,0.000201307467943659,0.000416219510006634,-0.000711378816454666,-8.54893442526761e-05,0,0,0,0,"GEN"
