"domain","n","pct_excess_sig","pct_inflated","mean_precision_effect","pct_theta_zero"
"Dermatology",27,7.40740740740741,3.7037037037037,1.19086522585615,48.1481481481481
"Nephrology/Urology",116,6.03448275862069,1.72413793103448,1.55932688708951,45.6896551724138
"Pain/MSK",185,5.94594594594595,4.86486486486486,1.10868516500938,42.7027027027027
"OB/GYN/Pediatrics",207,5.79710144927536,1.44927536231884,1.28502435977614,37.1980676328502
"Oncology",25,4,0,1.53644537198138,44
"Other/General",1987,3.37191746351283,2.7176648213387,1.09390348948742,48.4146955208858
"Respiratory",86,2.32558139534884,3.48837209302326,1.02200750838661,51.1627906976744
"Endocrinology",94,2.12765957446809,2.12765957446809,0.84675832126753,50
"Safety/Mortality",552,1.81159420289855,2.53623188405797,1.0052096456059,42.0289855072464
"Neurology",63,1.58730158730159,0,0.956374757791977,49.2063492063492
"Cardiology",202,1.48514851485149,2.97029702970297,1.08851346205534,41.5841584158416
"Infectious Disease",102,0.980392156862745,0.980392156862745,1.52267801054322,41.1764705882353
"Dentistry",4,0,0,0.155970934282903,75
"Gastroenterology",97,0,3.09278350515464,1.05184557188668,51.5463917525773
"Ophthalmology",7,0,0,0.1735310726589,71.4285714285714
"Psychiatry",139,0,2.15827338129496,0.58040746356749,51.0791366906475
"Surgery",71,0,2.8169014084507,1.20658220738752,35.2112676056338
