"outcome_category","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
"adverse_events",317,0.305993690851735,0.637223974763407,0.719242902208202,0,-2.2173088757279,0.129337539432177,0.0694006309148265
"biomarker",95,0.0631578947368421,0.91578947368421,0.978947368421053,0,-0.509906771035117,0.0421052631578947,0.0947368421052632
"function_score",80,0.1375,0.8375,0.8875,0,0.788381485947596,0.0625,0.225
"length_of_stay",46,0,1,1,0,0,0,0.0652173913043478
"mortality",241,0.269709543568465,0.75103734439834,0.83402489626556,0,-0.769784436782927,0.0746887966804979,0.0954356846473029
"other",1839,0.225666122892877,0.724850462207722,0.794453507340946,0,-0.647409474097206,0.0929853181076672,0.112561174551387
"pain",55,0.254545454545455,0.8,0.945454545454545,0,1.49317161737194,0.0909090909090909,0.109090909090909
"quality_of_life",89,0,1,1,0,0,0,0.134831460674157
"relapse",34,0.147058823529412,0.676470588235294,0.823529411764706,-0.00177963959280156,-4.79971896840933,0.205882352941176,0.0882352941176471
"response",71,0.366197183098592,0.422535211267606,0.563380281690141,0,-9.43339469535461,0.0985915492957746,0.0563380281690141
