"column","count"
"Analysis.group",501
"Analysis.number",501
"Analysis.name",501
"Subgroup",501
"Study",501
"Study.year",501
"GIV.Mean",501
"GIV.SE",501
"Experimental.mean",501
"Experimental.SD",501
"Experimental.cases",501
"Experimental.N",501
"Control.mean",501
"Control.SD",501
"Control.cases",501
"Control.N",501
"O.E",501
"Variance",501
"Weight",501
"Mean",501
"CI.start",501
"CI.end",501
"Footnotes",501
"review.url",501
"review.doi",501
"Applicability",500
"Subgroup.number",135
"Bias.arising.from.the.randomization.process.judgement",124
"Bias.arising.from.the.randomization.process.support",124
"Bias.due.to.deviations.from.intended.interventions.judgement",124
"Bias.due.to.deviations.from.intended.interventions.support",124
"Bias.due.to.missing.outcome.data.judgement",124
"Bias.due.to.missing.outcome.data.support",124
"Bias.in.measurement.of.the.outcome.judgement",124
"Bias.in.measurement.of.the.outcome.support",124
"Bias.in.selection.of.the.reported.result.judgement",124
"Bias.in.selection.of.the.reported.result.support",124
"Overall.bias.judgement",124
"Overall.bias.support",124
