"cutoff","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_delta_tau2_gt0","median_delta_tau2","mean_delta_tau2","prop_sig_change","prop_sig_loss","prop_sig_gain","prop_sign_flip"
1950,206,0.313725490196078,0.784313725490196,0.901960784313726,0,0.59869606532617,0.299019607843137,0,0.0121591916367405,0.0735294117647059,0.0485436893203883,0.0245098039215686,0.0882352941176471
1952,210,0.307692307692308,0.788461538461538,0.903846153846154,0,0.587182679454513,0.293269230769231,0,0.0119253610283416,0.0721153846153846,0.0476190476190476,0.0240384615384615,0.0913461538461538
1954,216,0.313084112149533,0.780373831775701,0.906542056074766,0,0.652441737414753,0.303738317757009,0,0.0117764037618619,0.0700934579439252,0.0462962962962963,0.0233644859813084,0.088785046728972
1956,234,0.314655172413793,0.737068965517241,0.887931034482759,0,0.603594164434437,0.306034482758621,0,0.0252008004369804,0.0732758620689655,0.0512820512820513,0.021551724137931,0.0818965517241379
1958,243,0.319502074688797,0.746887966804979,0.892116182572614,0,0.582883955520869,0.307053941908714,0,0.0242178369971463,0.0705394190871369,0.0493827160493827,0.020746887966805,0.0788381742738589
1960,243,0.298755186721992,0.721991701244813,0.867219917012448,0,-1.06060995472296,0.282157676348548,0,0.0337016440086361,0.0746887966804979,0.0699588477366255,0.004149377593361,0.0788381742738589
1962,244,0.293388429752066,0.71900826446281,0.859504132231405,0,-1.61300617261485,0.276859504132231,0,0.0251128700774896,0.0743801652892562,0.069672131147541,0.00413223140495868,0.0785123966942149
1964,245,0.296296296296296,0.716049382716049,0.847736625514403,0,-1.45502519469853,0.279835390946502,0,0.0253202130853669,0.0740740740740741,0.0693877551020408,0.00411522633744856,0.0781893004115226
1966,252,0.3,0.712,0.84,0,-1.05212372932758,0.28,0,0.0269221887406734,0.08,0.0753968253968254,0.004,0.08
1968,266,0.303030303030303,0.712121212121212,0.803030303030303,0,-2.03537318152351,0.261363636363636,0,0.0282761903277295,0.071969696969697,0.0676691729323308,0.00378787878787879,0.0757575757575758
1970,267,0.305660377358491,0.713207547169811,0.80377358490566,0,-2.01358763717395,0.264150943396226,0,0.0281766484659475,0.0716981132075472,0.0674157303370786,0.00377358490566038,0.0754716981132075
1972,277,0.301818181818182,0.723636363636364,0.810909090909091,0,-2.07577426774944,0.261818181818182,0,0.0259015690305094,0.0690909090909091,0.0649819494584837,0.00363636363636364,0.0727272727272727
1974,291,0.311418685121107,0.72318339100346,0.813148788927336,0,-1.85127233315295,0.273356401384083,0,0.0241767553178001,0.069204152249135,0.0652920962199313,0.00346020761245675,0.069204152249135
1976,301,0.31438127090301,0.725752508361204,0.812709030100334,0,-1.87955178090146,0.274247491638796,0,0.0226580651324753,0.0668896321070234,0.0631229235880399,0.00334448160535117,0.0702341137123746
1978,372,0.271232876712329,0.753424657534247,0.835616438356164,0,-1.17664847761931,0.241095890410959,0,-7.40908351365086,0.0931506849315069,0.0871934604904632,0.00542005420054201,0.0794520547945206
1980,383,0.268617021276596,0.757978723404255,0.832446808510638,0,-1.22667231194568,0.236702127659574,0,-7.1913204075532,0.0904255319148936,0.082010582010582,0.00789473684210526,0.0797872340425532
