"cutoff","outcome_category","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
1950,"adverse_events",15,0.333333333333333,0.733333333333333,0.733333333333333,0,-1.87097347477914,0.266666666666667,0.0666666666666667
1950,"biomarker",19,0.368421052631579,1,1,0,1.43590625267592,0,0.0526315789473684
1950,"function_score",5,0,1,1,0,0,0,0
1950,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1950,"mortality",7,0.285714285714286,1,1,0,0.972024903214186,0,0.142857142857143
1950,"other",142,0.304964539007092,0.74468085106383,0.914893617021277,0,0.39555649851491,0.0709219858156028,0.0921985815602837
1950,"pain",2,0,1,1,0,0,0,0
1950,"quality_of_life",2,0,1,1,0,0,0,0.5
1950,"response",6,0.8,0.4,0.4,11.5662850054572,13.6634367899036,0.2,0
1952,"adverse_events",15,0.333333333333333,0.733333333333333,0.733333333333333,0,-1.87097347477914,0.266666666666667,0.0666666666666667
1952,"biomarker",19,0.368421052631579,1,1,0,1.43590625267592,0,0.0526315789473684
1952,"function_score",5,0,1,1,0,0,0,0
1952,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1952,"mortality",7,0.285714285714286,1,1,0,0.972024903214186,0,0.142857142857143
1952,"other",145,0.298611111111111,0.75,0.916666666666667,0,0.387315738129183,0.0694444444444444,0.0972222222222222
1952,"pain",2,0,1,1,0,0,0,0
1952,"quality_of_life",2,0,1,1,0,0,0,0.5
1952,"relapse",1,0,1,1,0,0,0,0
1952,"response",6,0.8,0.4,0.4,11.5662850054572,13.6634367899036,0.2,0
1954,"adverse_events",15,0.333333333333333,0.733333333333333,0.733333333333333,0,-1.87097347477914,0.266666666666667,0.0666666666666667
1954,"biomarker",19,0.368421052631579,1,1,0,1.43590625267592,0,0.0526315789473684
1954,"function_score",5,0,1,1,0,0,0,0
1954,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1954,"mortality",8,0.25,1,1,0,0.850521790312412,0,0.125
1954,"other",150,0.308724832214765,0.738255033557047,0.919463087248322,0,0.491691280341078,0.0671140939597315,0.0939597315436242
1954,"pain",2,0,1,1,0,0,0,0
1954,"quality_of_life",2,0,1,1,0,0,0,0.5
1954,"relapse",1,0,1,1,0,0,0,0
1954,"response",6,0.8,0.4,0.4,11.5662850054572,13.6634367899036,0.2,0
1956,"adverse_events",15,0.333333333333333,0.733333333333333,0.733333333333333,0,-1.87097347477914,0.266666666666667,0.0666666666666667
1956,"biomarker",37,0.351351351351351,0.621621621621622,0.837837837837838,0,0.748473868726347,0.0540540540540541,0.027027027027027
1956,"function_score",5,0,1,1,0,0,0,0
1956,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1956,"mortality",8,0.25,1,1,0,0.850521790312412,0,0.125
1956,"other",150,0.308724832214765,0.738255033557047,0.919463087248322,0,0.491691280341078,0.0671140939597315,0.0939597315436242
1956,"pain",2,0,1,1,0,0,0,0
1956,"quality_of_life",2,0,1,1,0,0,0,0.5
1956,"relapse",1,0,1,1,0,0,0,0
1956,"response",6,0.8,0.4,0.4,11.5662850054572,13.6634367899036,0.2,0
1958,"adverse_events",15,0.333333333333333,0.733333333333333,0.733333333333333,0,-1.87097347477914,0.266666666666667,0.0666666666666667
1958,"biomarker",37,0.351351351351351,0.621621621621622,0.837837837837838,0,0.748473868726347,0.0540540540540541,0.027027027027027
1958,"function_score",5,0,1,1,0,0,0,0
1958,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1958,"mortality",8,0.25,1,1,0,0.850521790312412,0,0.125
1958,"other",158,0.312101910828025,0.751592356687898,0.923566878980892,0,0.468416612944101,0.0636942675159236,0.089171974522293
1958,"pain",2,0,1,1,0,0,0,0
1958,"quality_of_life",2,0,1,1,0,0,0,0.5
1958,"relapse",1,0,1,1,0,0,0,0
1958,"response",6,0.8,0.4,0.4,11.5662850054572,13.6634367899036,0.2,0
1960,"adverse_events",15,0,0.333333333333333,0.333333333333333,-31.6015942521987,-23.7004442133024,0.333333333333333,0.0666666666666667
1960,"biomarker",37,0.351351351351351,0.621621621621622,0.837837837837838,0,-1.10666049048756,0.0540540540540541,0.027027027027027
1960,"function_score",5,0,1,1,0,0,0,0
1960,"length_of_stay",3,0,1,1,0,0,0,0.333333333333333
1960,"mortality",8,0.25,1,1,0,0.850521790312412,0,0.125
