"dataset_name","missing_study","duplicate_study","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch","variance_se_mismatch","weight_negative"
"CD000028_pub4_data",0,39,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0
"CD000143_pub2_data",0,52,0,0,0,0,0,0,0,0,0,0,0,0,7,80,80,0,0,0,80,1,0
"CD000219_pub5_data",0,15,0,0,0,0,0,0,0,0,0,0,2,0,6,71,71,0,0,0,69,0,0
"CD000478_pub5_data",0,22,0,0,0,0,0,0,0,0,0,0,3,0,17,42,42,0,0,0,42,0,0
"CD000547_pub3_data",0,155,0,0,0,0,0,0,0,0,0,0,88,0,155,200,200,0,0,0,270,0,0
"CD001072_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0
"CD001155_pub3_data",0,746,0,0,0,0,0,0,0,0,0,0,381,0,556,976,976,0,0,0,597,0,0
"CD001321_pub7_data",0,81,0,0,0,0,0,0,0,0,0,0,6,0,22,155,155,0,0,0,149,0,0
"CD001396_pub4_data",0,163,0,0,0,0,0,0,0,0,0,0,73,0,129,316,316,0,0,0,385,0,0
"CD001431_pub6_data",0,725,0,0,0,0,0,0,0,0,0,0,852,0,873,627,627,0,0,0,1479,0,0
"CD001533_pub7_data",0,79,0,0,0,0,0,0,0,0,0,0,39,0,61,191,191,0,0,0,203,0,0
"CD001552_pub3_data",0,10,0,0,0,0,0,0,0,0,0,0,49,0,58,30,29,0,0,0,76,0,0
"CD001703_pub4_data",0,27,0,0,0,0,0,0,0,0,0,0,72,1,84,50,50,0,0,0,73,2,0
"CD001797_pub4_data",0,0,0,0,0,0,1,1,0,0,0,0,22,1,28,25,25,0,0,0,38,3,0
"CD001837_pub4_data",0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0,0,144,0,0
"CD001909_pub4_data",0,60,0,0,0,0,0,0,0,0,0,0,8,0,38,133,133,0,0,0,125,0,0
"CD001920_pub4_data",0,577,1,0,0,0,0,0,0,0,0,0,1410,0,1417,23,21,0,0,0,261,0,0
"CD002042_pub6_data",0,0,0,0,0,0,0,0,0,0,0,0,89,8,278,0,0,0,0,0,0,0,0
"CD002052_pub4_data",0,6,0,0,0,0,0,0,0,0,0,0,13,0,20,26,26,0,0,0,34,0,0
"CD002112_pub2_data",0,30,0,0,0,0,0,0,0,0,0,0,79,0,102,156,155,0,0,0,223,3,0
"CD002115_pub6_data",0,0,0,0,0,0,0,3,0,0,0,0,46,0,50,34,34,0,0,0,37,4,0
"CD002122_pub3_data",0,5,0,0,0,0,0,0,0,0,0,0,4,0,72,0,0,0,0,0,0,0,0
"CD002203_pub5_data",0,72,0,0,0,0,8,8,0,0,0,0,70,8,85,114,114,0,0,0,168,8,0
"CD002243_pub5_data",0,1,0,0,0,0,0,0,0,0,0,0,123,0,204,981,981,0,0,0,1061,0,0
"CD002290_pub6_data",0,103,0,0,0,0,0,0,0,0,0,0,17,0,70,215,215,0,0,0,226,0,0
"CD002303_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,15,0,0
"CD002971_pub6_data",0,8,0,0,0,0,0,0,0,0,0,0,34,0,40,41,41,0,0,0,65,0,0
"CD003129_pub2_data",0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,16,16,0,0,0,15,0,0
"CD003214_pub4_data",0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,5,0,0,0,8,0,0
"CD003216_pub3_data",0,3,0,0,0,0,0,0,0,0,0,0,27,0,37,38,38,0,0,0,59,0,0
