"domain","n_meta","mean_R","median_R","mean_fragility","pct_highly_fragile","pct_highly_stable","pct_significant","mean_k"
"Dermatology",28,0.586956573353706,0.5,0.413043426646294,21.4285714285714,21.4285714285714,32.1428571428571,10.7857142857143
"Ophthalmology",11,0.614721738640927,0.5,0.385278261359073,18.1818181818182,27.2727272727273,0,3.09090909090909
"Dentistry",5,0.633127780296324,0.5,0.366872219703676,20,40,20,9.6
"Safety/Mortality",718,0.6431193504809,0.651377932711388,0.3568806495191,22.0055710306407,24.9303621169916,18.1058495821727,8.56128133704735
"Infectious Disease",132,0.643579032992264,0.673136989189987,0.356420967007736,21.2121212121212,25,25,7.56060606060606
"Respiratory",102,0.651787405443099,0.650032094663893,0.348212594556901,22.5490196078431,26.4705882352941,23.5294117647059,8.22549019607843
"Nephrology/Urology",142,0.654703832293281,0.661204743834718,0.345296167706719,19.0140845070423,28.169014084507,26.7605633802817,9.07042253521127
"Gastroenterology",129,0.657520008382789,0.669494770009228,0.342479991617211,22.4806201550388,26.3565891472868,17.0542635658915,8.10852713178295
"Cardiology",239,0.661203196548397,0.663031161486521,0.338796803451603,23.0125523012552,28.0334728033473,17.5732217573222,8.27615062761506
"Surgery",85,0.666317811049621,0.692237991191038,0.333682188950379,15.2941176470588,28.2352941176471,23.5294117647059,9.48235294117647
"Neurology",91,0.673933440512274,0.661786951775365,0.326066559487726,16.4835164835165,30.7692307692308,19.7802197802198,7.26373626373626
"Other/General",2516,0.678405144383459,0.671064807699015,0.321594855616541,18.7201907790143,31.8759936406995,19.5548489666137,8.63275039745628
"Endocrinology",118,0.680226041453242,0.679904474927002,0.319773958546758,29.6610169491525,37.2881355932203,16.9491525423729,8.72033898305085
"Pain/MSK",246,0.698235738834744,0.713880677388681,0.301764261165256,22.3577235772358,36.9918699186992,21.1382113821138,8.41463414634146
"OB/GYN/Pediatrics",277,0.700473805632007,0.733612748579793,0.299526194367993,20.2166064981949,36.4620938628159,20.9386281588448,6.97833935018051
"Oncology",46,0.716579778956563,0.677332619045426,0.283420221043437,10.8695652173913,43.4782608695652,21.7391304347826,6.06521739130435
"Psychiatry",203,0.735720797245813,0.779871803742329,0.264279202754187,15.2709359605911,46.7980295566502,8.3743842364532,7.79802955665025
