"domain","n","mean_theta","median_theta","mean_abs_theta","sd_theta","q25","q75","pct_positive","pct_significant"
"Neurology",91,3.02053459039974,0,3.1663226736906,27.6034496948386,-0.0514040735176531,0.19107471413105,45.0549450549451,19.7802197802198
"Gastroenterology",129,-1.13697046818136,0,1.41366348094707,12.8564070779188,-0.0695648474466712,0.15540829611194,44.1860465116279,17.0542635658915
"Pain/MSK",246,-0.354539899710518,-0.0197256376891592,1.0726337538545,3.6956541943492,-0.251794154277589,0.0430183312527666,33.739837398374,21.1382113821138
"OB/GYN/Pediatrics",277,-0.281501953519407,-0.00562903588358755,0.51827905987633,2.97618709760659,-0.249669244060908,0.100225398576963,40.7942238267148,20.9386281588448
"Other/General",2516,-0.037153869918878,0,0.470669359664067,2.49429887180429,-0.135172716123358,0.0535468475688919,33.4260731319555,19.5548489666137
"Dentistry",5,0.384684680478853,0,0.456511668021641,0.923047031928952,0,0.0756765406885854,40,20
"Surgery",85,-0.344211956123141,-0.105385119224219,0.435082947001918,1.25866389320749,-0.478068550220778,0,18.8235294117647,23.5294117647059
"Endocrinology",118,-0.126434952753587,-0.0240049587667105,0.406448808043458,1.12471105196913,-0.166413044551109,0.0153791182477926,30.5084745762712,16.9491525423729
"Psychiatry",203,-0.204692487455321,0,0.34572657476679,1.15831960009215,-0.135840628591779,0.0170075437880843,28.5714285714286,8.3743842364532
"Cardiology",239,-0.200204240514987,-0.0410607105722331,0.340229401436471,0.988503535964264,-0.233835775463586,0.0207472513662108,29.2887029288703,17.5732217573222
"Respiratory",102,-0.252742606846973,-0.0107898847581514,0.337699233779856,0.938252327188568,-0.217997078385162,0.00283438248439788,25.4901960784314,23.5294117647059
"Infectious Disease",132,-0.104891983357929,-0.0219650028590261,0.337101239556001,0.497310168431141,-0.32411129939086,0.0498565621862074,34.8484848484849,25
"Dermatology",28,-0.0594896276403825,0,0.309574053908831,0.64126610601824,-0.151730751868041,0.0025715165955697,25,32.1428571428571
"Safety/Mortality",718,-0.00714543849938513,0,0.2942669840596,0.608341737694441,-0.147040475879123,0.128117385004742,40.5292479108635,18.1058495821727
"Nephrology/Urology",142,0.018408671809604,-0.00191627344375107,0.270269281055861,0.50501216183094,-0.178869097364346,0.0715019910117761,32.3943661971831,26.7605633802817
"Oncology",46,0.007807394652925,0,0.264591688253299,0.418757652942946,-0.167902866966538,0.106564383990805,32.6086956521739,21.7391304347826
"Ophthalmology",11,-0.0681872640564247,0,0.0801697847245983,0.144005000606184,-0.0863772196323608,0,9.09090909090909,0
