"group_type","group_value","min_k_post","n_analyses","prop_delta_i2_gt0","median_delta_i2","prop_sig_change_all_post","prop_sign_flip_all_post"
"data_type","binary",2,2872,0.222493036211699,0,0.0898328690807799,0.106894150417827
"data_type","continuous",2,74,0.391891891891892,0,0.135135135135135,0.0540540540540541
"measure","MD",2,74,0.391891891891892,0,0.135135135135135,0.0540540540540541
"measure","RR",2,2869,0.222725688393168,0,0.0899268037643778,0.106657371906588
"data_type+measure","binary | RR",2,2869,0.222725688393168,0,0.0899268037643778,0.106657371906588
"data_type+measure","continuous | MD",2,74,0.391891891891892,0,0.135135135135135,0.0540540540540541
"k_all_bin","<=5",2,817,0.200734394124847,0,0.0979192166462668,0.119951040391677
"k_all_bin","6-10",2,959,0.221063607924922,0,0.10844629822732,0.13555787278415
"k_all_bin","11-20",2,698,0.260744985673352,0,0.0888252148997135,0.0830945558739255
"k_all_bin","21-50",2,416,0.252403846153846,0,0.0528846153846154,0.0576923076923077
"k_all_bin",">50",2,67,0.194029850746269,0,0,0.0149253731343284
"frac_pre_bin","[0,0.25]",2,1268,0.240536277602524,0,0.0425867507886435,0.054416403785489
"frac_pre_bin","(0.25,0.5]",2,1187,0.225779275484414,0,0.102780117944398,0.128896377422072
"frac_pre_bin","(0.5,0.75]",2,443,0.194130925507901,0,0.171557562076749,0.17607223476298
"frac_pre_bin","(0.75,1]",2,59,0.288135593220339,0,0.271186440677966,0.186440677966102
