dataset,IAI,IAI_class,IAI_empirical,IAI_empirical_class
CD000028_pub4_data,0.95,Adequate,0.849999983359694,Adequate
CD000143_pub2_data,0.8828,Adequate,0.816365339615319,Adequate
CD000219_pub5_data,0.8801,Adequate,0.815037113032867,Adequate
CD000478_pub5_data,0.8437,Adequate,0.796850203662046,Adequate
CD000547_pub3_data,0.9006,Adequate,0.825329226239006,Adequate
CD001072_pub2_data,0.1757,Critical,0.287878616210786,Inadequate
CD001155_pub3_data,0.95,Adequate,0.85,Adequate
CD001321_pub7_data,0.95,Adequate,0.849998428446237,Adequate
CD001396_pub4_data,0.95,Adequate,0.849994761441043,Adequate
CD001431_pub6_data,0.9499,Adequate,0.85,Adequate
CD001533_pub7_data,0.95,Adequate,0.849999109464051,Adequate
CD001552_pub3_data,0.3788,Inadequate,0.48943264807095,Inadequate
CD001703_pub4_data,0.8982,Adequate,0.82406871544622,Adequate
CD001797_pub4_data,0.4196,Inadequate,0.409788790978786,Inadequate
CD001837_pub4_data,0.95,Adequate,0.849999999715258,Adequate
CD001909_pub4_data,0.8942,Adequate,0.822065193959441,Adequate
CD002042_pub6_data,0.95,Adequate,0.849999999995272,Adequate
CD002052_pub4_data,0.4316,Inadequate,0.415796376259898,Inadequate
CD002112_pub2_data,0.9447,Adequate,0.84741135978844,Adequate
CD002115_pub6_data,0.4596,Inadequate,0.42975274511991,Inadequate
CD002122_pub3_data,0.5973,Marginal,0.498720265725231,Inadequate
CD002203_pub5_data,0.6216,Marginal,0.610747157415871,Marginal
CD002243_pub5_data,0.95,Adequate,0.85,Adequate
CD002290_pub6_data,0.9471,Adequate,0.848530470046926,Adequate
CD002303_pub4_data,0.1996,Critical,0.299838790978786,Inadequate
CD002971_pub6_data,0.5606,Marginal,0.58035856331757,Marginal
CD003129_pub2_data,0.6359,Marginal,0.692933457031418,Marginal
CD003214_pub4_data,0.2339,Critical,0.316987197146185,Inadequate
CD003216_pub3_data,0.5047,Marginal,0.552268587198547,Marginal
CD003218_pub3_data,0.3592,Inadequate,0.42965,Inadequate
CD003331_pub6_data,0.9486,Adequate,0.849224721701874,Adequate
CD003333_pub4_data,0.3936,Inadequate,0.496726484216534,Inadequate
CD003357_pub5_data,0.6667,Marginal,0.70823652345214,Marginal
CD003376_pub4_data,0.9408,Adequate,0.845413497220224,Adequate
CD003414_pub4_data,0.6012,Marginal,0.600549744345571,Marginal
CD003429_pub5_data,0.2541,Inadequate,0.327012586906169,Inadequate
CD003451_pub3_data,0.1723,Critical,0.286094423033014,Inadequate
CD003477_pub5_data,0.4406,Inadequate,0.4703,Inadequate
CD003511_pub6_data,0.6208,Marginal,0.510409464126073,Marginal
CD003519_pub5_data,0.95,Adequate,0.849999999893133,Adequate
CD003594_pub7_data,0.5698,Marginal,0.484875663181336,Inadequate
CD003598_pub3_data,0.9476,Adequate,0.848799999983791,Adequate
CD003743_pub3_data,0.329,Inadequate,0.464555690719865,Inadequate
CD003774_pub5_data,0.95,Adequate,0.849999999999997,Adequate
CD003833_pub5_data,0.1755,Critical,0.287793409513045,Inadequate
CD003962_pub3_data,0.4413,Inadequate,0.420697303950059,Inadequate
CD004184_pub3_data,0.54,Marginal,0.470021334813643,Inadequate
CD004307_pub7_data,0.9459,Adequate,0.847937433689426,Adequate
CD004372_pub3_data,0.3605,Inadequate,0.43025,Inadequate
CD004376_pub4_data,0.8759,Adequate,0.812936600279555,Adequate
CD004406_pub6_data,0.6317,Marginal,0.515892207106954,Marginal
CD004417_pub6_data,0.758,Adequate,0.753990481256976,Adequate
CD004508_pub5_data,0.3934,Inadequate,0.39659998293377,Inadequate
