review_id,dataset,IAI,IAI_class,MAFI_mean,MAFI_class
CD000028,CD000028_pub4_data,0.95,Adequate,0.163328057549172,Low
CD000143,CD000143_pub2_data,0.8828,Adequate,0.297942806861274,Low
CD000219,CD000219_pub5_data,0.8801,Adequate,0.271409041582211,Low
CD000478,CD000478_pub5_data,0.8437,Adequate,0.130067518246479,Robust
CD000547,CD000547_pub3_data,0.9006,Adequate,0.210635011830656,Low
CD001072,CD001072_pub2_data,0.1757,Critical,,High
CD001155,CD001155_pub3_data,0.95,Adequate,0.0554765566573159,Robust
CD001321,CD001321_pub7_data,0.95,Adequate,0.206005570341033,Low
CD001396,CD001396_pub4_data,0.95,Adequate,0.118169031916132,Robust
CD001431,CD001431_pub6_data,0.9499,Adequate,0.132094163599644,Robust
CD001533,CD001533_pub7_data,0.95,Adequate,0.136538796134268,Robust
CD001552,CD001552_pub3_data,0.3788,Inadequate,0.375292760442942,Moderate
CD001703,CD001703_pub4_data,0.8982,Adequate,0.20228143585731,Low
CD001797,CD001797_pub4_data,0.4196,Inadequate,0.330864113651517,Moderate
CD001837,CD001837_pub4_data,0.95,Adequate,0.181372482341051,Low
CD001909,CD001909_pub4_data,0.8942,Adequate,0.18230832797123,Low
CD002042,CD002042_pub6_data,0.95,Adequate,0.15213452787962,Low
CD002052,CD002052_pub4_data,0.4316,Inadequate,0.465194401743165,Moderate
CD002112,CD002112_pub2_data,0.9447,Adequate,0.213282431874566,Low
CD002115,CD002115_pub6_data,0.4596,Inadequate,0.335866891288033,Moderate
CD002122,CD002122_pub3_data,0.5973,Marginal,0.206726327658273,Low
CD002203,CD002203_pub5_data,0.6216,Marginal,0.269434729686188,Low
CD002243,CD002243_pub5_data,0.95,Adequate,0.0815758806008745,Robust
CD002290,CD002290_pub6_data,0.9471,Adequate,0.190554586465251,Low
CD002303,CD002303_pub4_data,0.1996,Critical,0.507715748939717,High
CD002971,CD002971_pub6_data,0.5606,Marginal,0.307675385113531,Moderate
CD003129,CD003129_pub2_data,0.6359,Marginal,0.332137886290707,Moderate
CD003214,CD003214_pub4_data,0.2339,Critical,,High
CD003216,CD003216_pub3_data,0.5047,Marginal,0.319812438929728,Moderate
CD003218,CD003218_pub3_data,0.3592,Inadequate,0.235560506966786,Low
CD003331,CD003331_pub6_data,0.9486,Adequate,0.22185810337554,Low
CD003333,CD003333_pub4_data,0.3936,Inadequate,0.36977574888932,Moderate
CD003357,CD003357_pub5_data,0.6667,Marginal,0.358527478694903,Moderate
CD003376,CD003376_pub4_data,0.9408,Adequate,0.0961038465731936,Robust
CD003414,CD003414_pub4_data,0.6012,Marginal,0.0713202057595131,Robust
CD003429,CD003429_pub5_data,0.2541,Inadequate,0.267391344242751,Low
CD003451,CD003451_pub3_data,0.1723,Critical,0.0860570971315896,Robust
CD003477,CD003477_pub5_data,0.4406,Inadequate,0.0619630358430966,Robust
CD003511,CD003511_pub6_data,0.6208,Marginal,0.346195164089573,Moderate
CD003519,CD003519_pub5_data,0.95,Adequate,0.394962810696732,Moderate
CD003594,CD003594_pub7_data,0.5698,Marginal,0.144103186547936,Robust
CD003598,CD003598_pub3_data,0.9476,Adequate,0.183476006315771,Low
CD003743,CD003743_pub3_data,0.329,Inadequate,0.273162105118832,Low
CD003774,CD003774_pub5_data,0.95,Adequate,0.136507800233647,Robust
CD003833,CD003833_pub5_data,0.1755,Critical,0.255899840236363,Low
CD003962,CD003962_pub3_data,0.4413,Inadequate,0.263937633990968,Low
CD004184,CD004184_pub3_data,0.54,Marginal,0.113098103455886,Robust
CD004307,CD004307_pub7_data,0.9459,Adequate,0.0703001818516011,Robust
CD004372,CD004372_pub3_data,0.3605,Inadequate,,High
CD004376,CD004376_pub4_data,0.8759,Adequate,0.173277700783949,Low
CD004406,CD004406_pub6_data,0.6317,Marginal,0.37440032388095,Moderate
CD004417,CD004417_pub6_data,0.758,Adequate,0.187247838587462,Low
CD004508,CD004508_pub5_data,0.3934,Inadequate,0.415262083748975,Moderate
CD004661,CD004661_pub4_data,0.9327,Adequate,0.261071164670912,Low
CD004667,CD004667_pub6_data,0.582,Marginal,0.169715381952372,Low
CD004703,CD004703_pub3_data,0.2934,Inadequate,0.0815628544452876,Robust
CD004736,CD004736_pub6_data,0.95,Adequate,0.224987902285959,Low
CD004762,CD004762_pub3_data,0.3576,Inadequate,0.21712095730612,Low
CD004871,CD004871_pub5_data,0.9498,Adequate,0.220141976139573,Low
CD004904,CD004904_pub4_data,0.1963,Critical,0.465602236906822,Moderate
CD004925,CD004925_pub4_data,0.6711,Marginal,0.289795221779729,Low
CD004953,CD004953_pub5_data,0.8139,Adequate,0.209397690823999,Low
CD004992,CD004992_pub4_data,0.6394,Marginal,0.353415084578978,Moderate
CD005133,CD005133_pub4_data,0.5363,Marginal,0.31066737875184,Moderate
CD005187,CD005187_pub6_data,0.9278,Adequate,0.268099094784958,Low
CD005343,CD005343_pub7_data,0.8931,Adequate,0.186170257281843,Low
CD005495,CD005495_pub5_data,0.4546,Inadequate,0.0665310076850118,Robust
CD005566,CD005566_pub4_data,0.95,Adequate,0.0278458839725693,Robust
CD005582,CD005582_pub5_data,0.2588,Inadequate,0.265695389203106,Low
CD005595,CD005595_pub4_data,0.4034,Inadequate,0.149905439453497,Robust
CD005951,CD005951_pub5_data,0.5693,Marginal,0.250042207154595,Low
CD006023,CD006023_pub4_data,0.9216,Adequate,0.13336755224998,Robust
CD006027,CD006027_pub3_data,0.5208,Marginal,0.1779403889235,Low
CD006124,CD006124_pub3_data,0.3342,Inadequate,0.19273698140085,Low
CD006140,CD006140_pub3_data,0.6287,Marginal,0.406325129433466,Moderate
CD006182,CD006182_pub3_data,0.9406,Adequate,0.267325178456585,Low
CD006185,CD006185_pub6_data,0.95,Adequate,0.0298966419387229,Robust
CD006257,CD006257_pub2_data,0.5938,Marginal,0.165433642599466,Low
CD006273,CD006273_pub4_data,0.4447,Inadequate,0.381708381573054,Moderate
CD006404,CD006404_pub5_data,0.8122,Adequate,0.257297722293854,Low
CD006475,CD006475_pub3_data,0.95,Adequate,0.159538004378632,Low
CD006515,CD006515_pub2_data,0.3399,Inadequate,0.310757175775399,Moderate
CD006536,CD006536_pub5_data,0.9469,Adequate,0.116189562249593,Robust
CD006606,CD006606_pub5_data,0.6286,Marginal,0.840341968751877,High
CD006632,CD006632_pub3_data,0.3692,Inadequate,0.195684945536233,Low
CD006689,CD006689_pub3_data,0.6079,Marginal,0.233228421579593,Low
CD006712,CD006712_pub3_data,0.3593,Inadequate,0.0620399092476293,Robust
CD006714,CD006714_pub3_data,0.6452,Marginal,0.322210384049295,Moderate
CD006742,CD006742_pub3_data,0.2001,Critical,0.37733867884767,Moderate
CD006839,CD006839_pub5_data,0.3822,Inadequate,0.402054134022551,Moderate
CD006913,CD006913_pub3_data,0.95,Adequate,0.161069975199551,Low
CD006919,CD006919_pub5_data,0.6371,Marginal,0.0790679359033796,Robust
CD006942,CD006942_pub4_data,0.4522,Inadequate,0.34462029364016,Moderate
CD006982,CD006982_pub5_data,0.2643,Inadequate,0.366693511342505,Moderate
CD007024,CD007024_pub3_data,0.8873,Adequate,0.090236063544063,Robust
CD007026,CD007026_pub7_data,0.5774,Marginal,0.237965101784095,Low
CD007079,CD007079_pub4_data,0.916,Adequate,0.230093395999372,Low
CD007110,CD007110_pub4_data,0.1817,Critical,0.0779545308842763,Robust
CD007130,CD007130_pub5_data,0.6135,Marginal,0.221374351841129,Low
CD007156,CD007156_pub3_data,0.6543,Marginal,0.149063317698168,Robust
CD007310,CD007310_pub3_data,0.5665,Marginal,0.331003941210461,Moderate
CD007374,CD007374_pub3_data,0.3537,Inadequate,0.274097550948419,Low
CD007388,CD007388_pub3_data,0.6117,Marginal,0.338606144731841,Moderate
CD007491,CD007491_pub3_data,0.3663,Inadequate,0.335131368126441,Moderate
CD007569,CD007569_pub4_data,0.3556,Inadequate,0.145177054513737,Robust
CD007572,CD007572_pub4_data,0.95,Adequate,0.30285764324897,Moderate
CD007639,CD007639_pub3_data,0.6725,Marginal,0.270743022426594,Low
CD007674,CD007674_pub3_data,0.9453,Adequate,0.12097638271447,Robust
CD007784,CD007784_pub3_data,0.95,Adequate,0.135922004002617,Robust
CD007809,CD007809_pub3_data,0.9482,Adequate,0.236013217096267,Low
CD007837,CD007837_pub3_data,0.2182,Critical,0.253563159056487,Low
CD007859,CD007859_pub5_data,0.2172,Critical,0.0964270941957432,Robust
CD007872,CD007872_pub4_data,0.6051,Marginal,0.412380527638607,Moderate
CD007895,CD007895_pub3_data,0.1728,Critical,0.407434765132449,Moderate
CD007896,CD007896_pub4_data,0.9219,Adequate,0.000800106860443405,Robust
CD008063,CD008063_pub3_data,0.3589,Inadequate,0.048897982220029,Robust
CD008145,CD008145_pub4_data,0.3655,Inadequate,0.227988514904374,Low
CD008165,CD008165_pub5_data,0.7939,Adequate,0.326836382360681,Moderate
CD008176,CD008176_pub3_data,0.927,Adequate,0.0862418163919448,Robust
CD008237,CD008237_pub4_data,0.6276,Marginal,0.362156057554757,Moderate
CD008309,CD008309_pub3_data,0.8021,Adequate,0.316220780234287,Moderate
CD008349,CD008349_pub5_data,0.3726,Inadequate,0.0454618415155341,Robust
CD008493,CD008493_pub5_data,0.6225,Marginal,0.154504666588005,Low
CD008552,CD008552_pub8_data,0.4359,Inadequate,0.0218610776066597,Robust
CD008564,CD008564_pub3_data,0.6449,Marginal,0.23341531093218,Low
CD008628,CD008628_pub3_data,0.4341,Inadequate,0.308600837530947,Moderate
CD008688,CD008688_pub3_data,0.4565,Inadequate,0.417385710340063,Moderate
CD008709,CD008709_pub4_data,0.9467,Adequate,0.176652554300325,Low
CD008771,CD008771_pub3_data,0.1812,Critical,0.371155279036387,Moderate
CD008858,CD008858_pub5_data,0.684,Marginal,0.323076160774505,Moderate
CD008873,CD008873_pub5_data,0.7982,Adequate,0.347719105131738,Moderate
CD008879,CD008879_pub3_data,0.8107,Adequate,0.142129481976053,Robust
CD008940,CD008940_pub4_data,0.6164,Marginal,0.0192614813601121,Robust
CD008973,CD008973_pub3_data,0.6824,Marginal,0.3027079734385,Moderate
CD008995,CD008995_pub3_data,0.2937,Inadequate,,High
CD009022,CD009022_pub4_data,0.3286,Inadequate,0.326619473302501,Moderate
CD009102,CD009102_pub2_data,0.5412,Marginal,0.44410622188795,Moderate
CD009235,CD009235_pub4_data,0.9495,Adequate,0.0565655391821903,Robust
CD009244,CD009244_pub3_data,0.207,Critical,0.412018970472024,Moderate
CD009252,CD009252_pub2_data,0.7205,Marginal,0.0804349781563838,Robust
CD009298,CD009298_pub3_data,0.9407,Adequate,0.297604662275096,Low
CD009362,CD009362_pub4_data,0.873,Adequate,0.136756261921046,Robust
CD009417,CD009417_pub3_data,0.3411,Inadequate,0.476454772512008,Moderate
CD009508,CD009508_pub2_data,0.9113,Adequate,0.222502825360151,Low
CD009531,CD009531_pub3_data,0.5315,Marginal,0.153581349220872,Low
CD009535,CD009535_pub3_data,0.6275,Marginal,0.361943954189367,Moderate
CD009609,CD009609_pub3_data,0.6813,Marginal,0.58576299582702,High
CD009679,CD009679_pub3_data,0.3849,Inadequate,0.193874154801956,Low
CD009730,CD009730_pub3_data,0.3498,Inadequate,0.235611119959637,Low
CD009749,CD009749_pub3_data,0.8986,Adequate,0.164553083238076,Low
CD009752,CD009752_pub3_data,0.401,Inadequate,0.341827613736494,Moderate
CD009788,CD009788_pub3_data,0.2261,Critical,0.331714917428082,Moderate
CD009945,CD009945_pub3_data,0.3518,Inadequate,0.581184385759569,High
CD010001,CD010001_pub4_data,0.9462,Adequate,0.0355865909417814,Robust
CD010136,CD010136_pub4_data,0.1892,Critical,0.486842321913344,Moderate
CD010145,CD010145_pub2_data,0.6179,Marginal,0.357282547970195,Moderate
CD010163,CD010163_pub3_data,0.1749,Critical,,High
CD010189,CD010189_pub3_data,0.3599,Inadequate,0.260936284614457,Low
CD010216,CD010216_pub9_data,0.9495,Adequate,0.262709932686308,Low
CD010290,CD010290_pub4_data,0.9468,Adequate,0.252268754194719,Low
CD010333,CD010333_pub4_data,0.2882,Inadequate,,High
CD010441,CD010441_pub3_data,0.8297,Adequate,0.364075278394602,Moderate
CD010533,CD010533_pub3_data,0.8302,Adequate,0.130146256375343,Robust
CD010583,CD010583_pub6_data,0.4722,Inadequate,0.363083070526321,Moderate
CD010779,CD010779_pub2_data,0.3587,Inadequate,0.316280493433273,Moderate
CD010856,CD010856_pub3_data,0.396,Inadequate,0.241779243445268,Low
CD010861,CD010861_pub3_data,0.5455,Marginal,0.340832851816809,Moderate
CD010966,CD010966_pub4_data,0.9495,Adequate,0.142986768890343,Robust
CD011039,CD011039_pub2_data,0.3383,Inadequate,0.340671761536734,Moderate
CD011044,CD011044_pub3_data,0.9497,Adequate,0.136492154582016,Robust
CD011060,CD011060_pub2_data,0.1907,Critical,,High
CD011120,CD011120_pub3_data,0.634,Marginal,0.329630205856967,Moderate
CD011192,CD011192_pub4_data,0.6337,Marginal,,High
CD011197,CD011197_pub3_data,0.8201,Adequate,0.25888679320572,Low
CD011204,CD011204_pub3_data,0.95,Adequate,0.198339057612182,Low
CD011218,CD011218_pub2_data,0.6196,Marginal,0.233264909902701,Low
CD011305,CD011305_pub3_data,0.7658,Adequate,0.377365640083474,Moderate
CD011330,CD011330_pub2_data,0.2216,Critical,0.18921605180491,Low
CD011381,CD011381_pub3_data,0.8631,Adequate,0.288615623667787,Low
CD011468,CD011468_pub2_data,0.4695,Inadequate,0.403785107570333,Moderate
CD011535,CD011535_pub7_data,0.95,Adequate,0.230991488357512,Low
CD011575,CD011575_pub3_data,0.9487,Adequate,0.502910404920435,High
CD011600,CD011600_pub3_data,0.6032,Marginal,0.21687837517035,Low
CD011624,CD011624_pub3_data,0.8853,Adequate,0.255474135127913,Low
CD011626,CD011626_pub3_data,0.2658,Inadequate,0.196067109274912,Low
CD011627,CD011627_pub3_data,0.3176,Inadequate,0.19970743967127,Low
CD011670,CD011670_pub3_data,0.2725,Inadequate,0.476661222193664,Moderate
CD011671,CD011671_pub3_data,0.95,Adequate,0.204467934071993,Low
CD011689,CD011689_pub4_data,0.95,Adequate,0.123248061613616,Robust
CD011762,CD011762_pub2_data,0.95,Adequate,0.04606677273943,Robust
