dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD000028_pub4_data,binary,163,309371,72.9,9.151,1,0.7813,conclusive_harm,TRUE,0.934389983359694,Adequate
CD000143_pub2_data,binary,80,6010,63.8,1.802,0.999,0.8086,conclusive_harm,TRUE,0.908945339615319,Adequate
CD000219_pub5_data,binary,71,19358,61.9,3.616,0.774,0.67702,conclusive_harm,TRUE,0.868143113032867,Adequate
CD000478_pub5_data,binary,42,1838,8,1.512,0.998,0.90204,conclusive_harm,TRUE,0.917462203662046,Adequate
CD000547_pub3_data,binary,282,32149,59.8,1.984,0.999,0.81862,conclusive_benefit,TRUE,0.920915226239006,Adequate
CD001072_pub2_data,binary,3,96,81.6,0.008,0.058,0.10236,continue,FALSE,0.168586616210786,Critical
CD001155_pub3_data,binary,977,543739,31.6,32.088,1,0.9052,conclusive_harm,TRUE,0.97156,Adequate
CD001321_pub7_data,binary,155,34697,53.8,6.877,1,0.8386,conclusive_harm,TRUE,0.951578428446237,Adequate
CD001396_pub4_data,binary,387,47553,15.2,6.275,1,0.9544,conclusive_benefit,TRUE,0.986314761441042,Adequate
CD001431_pub6_data,binary,1479,403359,77.5,28.699,1,0.7675,conclusive_benefit,TRUE,0.93025,Adequate
CD001533_pub7_data,binary,217,20188,53.1,7.161,1,0.8407,conclusive_harm,TRUE,0.95220910946405,Adequate
CD001552_pub3_data,binary,78,6962,44.4,0.841,0.068,0.59482,futile,FALSE,0.51787864807095,Marginal
CD001703_pub4_data,binary,119,15418,0,1.952,1,1,conclusive_benefit,TRUE,0.97406871544622,Adequate
CD001797_pub4_data,binary,43,2231,31.8,0.274,0.779,0.71234,continue,TRUE,0.473490790978786,Inadequate
CD001837_pub4_data,binary,144,56873,40.6,11.185,1,0.8782,conclusive_benefit,TRUE,0.963459999715258,Adequate
CD001909_pub4_data,binary,133,17596,51.2,1.909,1,0.8464,conclusive_benefit,TRUE,0.925985193959441,Adequate
CD002042_pub6_data,binary,889,495372,93.9,13.234,1,0.7183,conclusive_harm,TRUE,0.915489999995272,Adequate
CD002052_pub4_data,binary,37,2014,15.6,0.362,0.781,0.71336,continue,TRUE,0.479804376259898,Inadequate
CD002112_pub2_data,binary,233,19347,48.6,4.006,0.986,0.80314,conclusive_benefit,TRUE,0.93835335978844,Adequate
CD002115_pub6_data,binary,56,4231,13.7,0.462,0.826,0.8329,continue,TRUE,0.52962274511991,Marginal
CD002122_pub3_data,binary,271,32071,71.8,4.384,0.293,0.56944,continue,FALSE,0.519552265725231,Marginal
CD002203_pub5_data,binary,167,24366,45,3.698,0.111,0.6094,futile,FALSE,0.643567157415871,Marginal
CD002243_pub5_data,binary,1084,381064,44.9,87.31,1,0.8653,conclusive_harm,TRUE,0.95959,Adequate
CD002290_pub6_data,binary,229,14502,66,3.453,1,0.802,conclusive_harm,TRUE,0.939130470046926,Adequate
CD002303_pub4_data,binary,15,3369,86.5,0.274,0.046,0.17688,continue,FALSE,0.202902790978786,Critical
CD002971_pub6_data,binary,73,16870,0,2.023,0.055,0.72148,futile,FALSE,0.646802563317571,Marginal
CD003129_pub2_data,binary,19,2365,0,0.42,0.968,0.6809,conclusive_benefit,TRUE,0.747203457031418,Marginal
CD003214_pub4_data,binary,8,1384,0,0.38,0.114,0.40918,continue,FALSE,0.289741197146185,Inadequate
CD003216_pub3_data,binary,62,10000,14.7,1.356,0.154,0.71242,futile,FALSE,0.615994587198547,Marginal
CD003218_pub3_data,binary,18,689,0,,0.031,0.44934,unknown,FALSE,0.414452,Inadequate
CD003331_pub6_data,binary,155,23319,17.4,5.488,0.995,0.92152,conclusive_harm,TRUE,0.975680721701874,Adequate
CD003333_pub4_data,binary,15,14181,64.2,0.825,0.127,0.2766,futile,FALSE,0.429706484216534,Inadequate
CD003357_pub5_data,binary,34,4970,68.4,0.612,0.968,0.59594,conclusive_benefit,TRUE,0.73701852345214,Marginal
CD003376_pub4_data,binary,276,26456,0.6,2.876,1,0.9982,conclusive_harm,TRUE,0.994873497220224,Adequate
CD003414_pub4_data,binary,135,28371,0,7.785,0.037,0.71068,futile,FALSE,0.663753744345571,Marginal
CD003429_pub5_data,continuous,23,1006,95.5,0.13,0.281,0.28036,continue,FALSE,0.261120586906169,Inadequate
CD003451_pub3_data,binary,83,2986,0,0.036,0.038,0.7114,continue,FALSE,0.349514423033014,Inadequate
CD003477_pub5_data,binary,158,6325,0,,0.302,0.78646,unknown,FALSE,0.556238,Marginal
CD003511_pub6_data,binary,48,8343,0,4.361,0.371,0.7818,continue,FALSE,0.594949464126073,Marginal
CD003519_pub5_data,binary,218,24744,63.6,11.675,1,0.8092,conclusive_benefit,TRUE,0.942759999893133,Adequate
CD003594_pub7_data,binary,171,11591,48.7,2.144,0.322,0.64378,continue,FALSE,0.528009663181337,Marginal
CD003598_pub3_data,continuous,278,31021,85.8,12.618,0.992,0.70432,conclusive_harm,TRUE,0.910095999983791,Adequate
CD003743_pub3_data,binary,35,2735,7.5,0.618,0.04,0.56992,futile,FALSE,0.485531690719865,Inadequate
CD003774_pub5_data,binary,761,95519,50.7,16.893,1,0.8479,conclusive_harm,TRUE,0.954369999999997,Adequate
CD003833_pub5_data,binary,36,1762,0,0.02,0.054,0.609,continue,FALSE,0.320493409513045,Inadequate
CD003962_pub3_data,binary,239,15018,28,1.426,0.17,0.67624,continue,FALSE,0.473569303950059,Inadequate
CD004184_pub3_data,binary,186,33132,0,1.623,0.398,0.80206,continue,FALSE,0.560639334813643,Marginal
CD004307_pub7_data,binary,157,67639,32.8,3.282,1,0.9016,conclusive_benefit,TRUE,0.968417433689426,Adequate
CD004372_pub3_data,binary,4,443,0,,0.035,0.341,unknown,FALSE,0.38255,Inadequate
CD004376_pub4_data,binary,182,18046,32.6,2.791,0.789,0.76798,conclusive_benefit,TRUE,0.893330600279555,Adequate
CD004406_pub6_data,binary,79,22944,53,4.572,0.407,0.64444,continue,FALSE,0.559224207106954,Marginal
CD004417_pub6_data,binary,122,31847,92.8,1.776,0.593,0.55336,conclusive_harm,TRUE,0.769998481256976,Adequate
CD004508_pub5_data,binary,57,7580,23.5,1.008,0.272,0.7108,continue,FALSE,0.45983998293377,Inadequate
CD004661_pub4_data,binary,470,515687,89.3,9.651,0.942,0.6442,conclusive_benefit,TRUE,0.884559993878373,Adequate
