k_group,fragility_rate,n,se,ci_lower,ci_upper
"(2,3]",0.51685393258427,534,0.0216248203628072,0.474469284673168,0.559238580495372
"(3,4]",0.472589792060492,529,0.0217064397899963,0.430045170072099,0.515134414048884
"(4,5]",0.482658959537572,346,0.026863995303881,0.430005528741966,0.535312390333179
"(5,7]",0.461397058823529,544,0.0213733364046689,0.419505319470379,0.50328879817668
"(7,10]",0.427586206896552,580,0.0205424809034743,0.387322944325742,0.467849469467361
"(10,15]",0.418965517241379,580,0.0204868928915977,0.378811207173848,0.459119827308911
"(15,20]",0.342857142857143,315,0.0267442990482843,0.290438316722506,0.39527596899178
"(20,30]",0.330508474576271,354,0.0250012780921622,0.281505969515633,0.379510979636909
"(30,50]",0.253968253968254,252,0.0274200410388769,0.200224973532055,0.307711534404453
"(50,75]",0.2,130,0.0350823207722812,0.131238651286329,0.268761348713671
"(75,100]",0.0980392156862745,51,0.0416398018194919,0.0164252041200704,0.179653227252479
"(100,Inf]",0.0594059405940594,101,0.0235209775374825,0.0133048246205937,0.105507056567525
