"dataset_name","dir_mismatch","sig_mismatch","any_mismatch","paired_analyses","mismatch_rate"
"CD001920_pub4_data",0,2,2,2,1
"CD013476_pub2_data",0,2,2,2,1
"CD006273_pub4_data",0,1,1,1,1
"CD007895_pub3_data",1,0,1,1,1
"CD011626_pub3_data",0,1,1,1,1
"CD013059_pub2_data",0,1,1,1,1
"CD014089_data",0,1,1,1,1
"CD014666_pub2_data",1,0,1,1,1
"CD015046_pub2_data",1,0,1,1,1
"CD010966_pub4_data",4,5,6,7,0.857
"CD012905_pub2_data",1,4,5,6,0.833
"CD014594_pub2_data",2,1,3,4,0.75
"CD007026_pub7_data",2,2,4,6,0.667
"CD009531_pub3_data",1,3,4,6,0.667
"CD008469_pub3_data",0,2,2,3,0.667
"CD015514_pub2_data",1,1,2,3,0.667
"CD003429_pub5_data",0,3,3,5,0.6
"CD008564_pub3_data",1,3,4,7,0.571
"CD014844_pub2_data",1,4,5,9,0.556
"CD011762_pub2_data",5,4,7,13,0.538
"CD015014_pub2_data",0,11,11,22,0.5
"CD008176_pub3_data",6,2,8,16,0.5
"CD014820_pub2_data",2,3,5,10,0.5
"CD011858_pub2_data",4,0,4,8,0.5
"CD013539_pub2_data",2,2,4,8,0.5
"CD014741_pub2_data",4,0,4,8,0.5
"CD001797_pub4_data",1,2,3,6,0.5
"CD006742_pub3_data",1,1,2,4,0.5
"CD013023_pub2_data",1,1,2,4,0.5
"CD013377_pub2_data",1,1,2,4,0.5
"CD013541_pub2_data",0,2,2,4,0.5
"CD015160_pub2_data",0,2,2,4,0.5
"CD015530_pub2_data",0,2,2,4,0.5
"CD005495_pub5_data",0,1,1,2,0.5
"CD007809_pub3_data",1,0,1,2,0.5
"CD009508_pub2_data",0,1,1,2,0.5
"CD009945_pub3_data",1,0,1,2,0.5
"CD011468_pub2_data",0,1,1,2,0.5
"CD012186_pub2_data",0,1,1,2,0.5
"CD013055_pub3_data",1,0,1,2,0.5
"CD013801_pub2_data",0,1,1,2,0.5
"CD014300_pub2_data",1,0,1,2,0.5
"CD014736_pub2_data",1,0,1,2,0.5
"CD014891_pub2_data",1,0,1,2,0.5
"CD015084_pub2_data",0,1,1,2,0.5
"CD015573_data",0,1,1,2,0.5
"CD016064_data",1,0,1,2,0.5
"CD012503_pub3_data",3,2,5,11,0.455
"CD013071_pub2_data",4,0,4,9,0.444
"CD014769_pub2_data",0,12,12,28,0.429
"CD003962_pub3_data",3,3,6,14,0.429
"CD003376_pub4_data",3,0,3,7,0.429
"CD013844_pub2_data",1,3,3,7,0.429
"CD016168_data",2,3,5,12,0.417
"CD003598_pub3_data",6,7,13,32,0.406
"CD005133_pub4_data",2,2,4,10,0.4
"CD009749_pub3_data",1,3,4,10,0.4
"CD001321_pub7_data",1,1,2,5,0.4
"CD011670_pub3_data",1,1,2,5,0.4
"CD012993_pub2_data",2,0,2,5,0.4
"CD015711_pub2_data",1,1,2,5,0.4
"CD015746_pub2_data",1,4,5,13,0.385
"CD015215_pub2_data",3,3,6,16,0.375
"CD006536_pub5_data",2,1,3,8,0.375
"CD012850_pub2_data",2,2,4,11,0.364
"CD015849_pub2_data",3,6,9,25,0.36
"CD013800_pub2_data",2,3,5,15,0.333
"CD006606_pub5_data",0,4,4,12,0.333
"CD010861_pub3_data",2,2,4,12,0.333
"CD013366_pub2_data",1,3,4,12,0.333
"CD016131_data",2,3,4,12,0.333
"CD000219_pub5_data",0,2,2,6,0.333
"CD001431_pub6_data",0,2,2,6,0.333
"CD005951_pub5_data",0,2,2,6,0.333
"CD008493_pub5_data",1,1,2,6,0.333
"CD013255_pub2_data",2,0,2,6,0.333
"CD000143_pub2_data",0,1,1,3,0.333
"CD003129_pub2_data",0,1,1,3,0.333
"CD003333_pub4_data",0,1,1,3,0.333
"CD004376_pub4_data",1,0,1,3,0.333
"CD007130_pub5_data",1,0,1,3,0.333
"CD008237_pub4_data",0,1,1,3,0.333
"CD009535_pub3_data",0,1,1,3,0.333
"CD011197_pub3_data",1,0,1,3,0.333
"CD013332_pub2_data",0,1,1,3,0.333
"CD014544_pub2_data",0,1,1,3,0.333
"CD014920_pub2_data",0,1,1,3,0.333
"CD014966_pub2_data",0,1,1,3,0.333
"CD015698_pub2_data",1,0,1,3,0.333
"CD015875_data",1,0,1,3,0.333
"CD003414_pub4_data",4,2,6,19,0.316
"CD006257_pub2_data",4,1,5,16,0.312
"CD013816_pub2_data",4,0,4,13,0.308
"CD014965_pub2_data",1,6,7,23,0.304
"CD002112_pub2_data",3,3,6,20,0.3
"CD014792_pub2_data",2,1,3,10,0.3
"CD014937_pub2_data",1,6,6,21,0.286
"CD000547_pub3_data",0,2,2,7,0.286
"CD007639_pub3_data",0,2,2,7,0.286
"CD012642_pub2_data",0,2,2,7,0.286
"CD013414_pub2_data",1,1,2,7,0.286
"CD013748_pub2_data",0,2,2,7,0.286
"CD013764_pub2_data",1,1,2,7,0.286
"CD015721_pub2_data",1,1,2,7,0.286
"CD006023_pub4_data",4,5,9,32,0.281
"CD004661_pub4_data",4,3,7,25,0.28
"CD011575_pub3_data",1,4,5,18,0.278
"CD006475_pub3_data",2,4,6,22,0.273
"CD013781_pub2_data",0,6,6,22,0.273
"CD006182_pub3_data",1,2,3,11,0.273
"CD008309_pub3_data",2,1,3,11,0.273
"CD014967_pub2_data",2,1,3,11,0.273
"CD015254_pub2_data",0,3,3,11,0.273
"CD015532_data",1,3,4,15,0.267
"CD004953_pub5_data",5,0,5,19,0.263
"CD012067_pub3_data",3,2,5,19,0.263
"CD013715_pub2_data",0,4,4,16,0.25
"CD014959_pub2_data",1,3,4,16,0.25
"CD001155_pub3_data",1,1,2,8,0.25
"CD014678_pub2_data",0,2,2,8,0.25
"CD015673_pub2_data",1,1,2,8,0.25
"CD016119_data",2,0,2,8,0.25
"CD000478_pub5_data",0,1,1,4,0.25
"CD004184_pub3_data",0,1,1,4,0.25
"CD004992_pub4_data",0,1,1,4,0.25
"CD006027_pub3_data",0,1,1,4,0.25
"CD010533_pub3_data",1,0,1,4,0.25
"CD011793_pub3_data",1,0,1,4,0.25
"CD012214_pub3_data",1,0,1,4,0.25
"CD012925_pub2_data",1,0,1,4,0.25
"CD013051_pub3_data",0,1,1,4,0.25
"CD013303_pub2_data",0,1,1,4,0.25
"CD013456_pub2_data",0,1,1,4,0.25
"CD013631_pub2_data",0,1,1,4,0.25
"CD014145_pub2_data",0,1,1,4,0.25
"CD015003_pub2_data",0,1,1,4,0.25
"CD015123_pub2_data",0,1,1,4,0.25
"CD015395_pub3_data",0,1,1,4,0.25
"CD015779_data",0,1,1,4,0.25
"CD016058_pub2_data",0,1,1,4,0.25
"CD016120_data",1,0,1,4,0.25
"CD002122_pub3_data",8,6,14,57,0.246
"CD009235_pub4_data",1,3,4,17,0.235
"CD013232_pub2_data",1,3,4,17,0.235
"CD003594_pub7_data",1,5,6,26,0.231
"CD016031_data",4,2,6,26,0.231
"CD012635_pub2_data",3,0,3,13,0.231
"CD015331_pub2_data",2,3,5,22,0.227
"CD007572_pub4_data",0,4,4,18,0.222
"CD015824_pub2_data",2,2,4,18,0.222
"CD015855_data",1,1,2,9,0.222
"CD006689_pub3_data",2,3,5,23,0.217
"CD015588_pub2_data",1,4,5,23,0.217
"CD013408_pub2_data",1,2,3,14,0.214
"CD008709_pub4_data",1,3,4,19,0.211
"CD012712_pub2_data",1,3,4,19,0.211
"CD015255_pub2_data",1,3,4,19,0.211
"CD006404_pub5_data",6,2,8,40,0.2
"CD012429_pub2_data",2,2,4,20,0.2
"CD015033_pub2_data",1,2,3,15,0.2
"CD014855_pub2_data",0,2,2,10,0.2
"CD015213_pub2_data",1,1,2,10,0.2
"CD015387_pub2_data",0,2,2,10,0.2
"CD015584_pub2_data",0,2,2,10,0.2
"CD002052_pub4_data",1,0,1,5,0.2
"CD003357_pub5_data",1,0,1,5,0.2
"CD005187_pub6_data",1,0,1,5,0.2
"CD010216_pub9_data",0,1,1,5,0.2
"CD011806_pub2_data",0,1,1,5,0.2
"CD011866_pub3_data",0,1,1,5,0.2
"CD012397_pub2_data",1,0,1,5,0.2
"CD013042_pub2_data",1,0,1,5,0.2
"CD013111_pub2_data",0,1,1,5,0.2
"CD013643_pub2_data",1,0,1,5,0.2
"CD013853_pub2_data",0,1,1,5,0.2
"CD014762_pub2_data",0,1,1,5,0.2
"CD014833_pub2_data",0,1,1,5,0.2
"CD014869_pub2_data",1,0,1,5,0.2
"CD016002_data",0,1,1,5,0.2
"CD016148_data",0,1,1,5,0.2
"CD011689_pub4_data",6,6,12,61,0.197
"CD015854_data",1,2,3,16,0.188
"CD015932_pub2_data",0,3,3,16,0.188
"CD010583_pub6_data",0,2,2,11,0.182
"CD015087_pub2_data",0,2,2,11,0.182
"CD016211_data",0,2,2,11,0.182
"CD004736_pub6_data",6,7,13,73,0.178
"CD014964_pub2_data",0,3,3,17,0.176
"CD002203_pub5_data",2,0,2,12,0.167
"CD006185_pub6_data",1,1,2,12,0.167
"CD016278_data",2,0,2,12,0.167
"CD003331_pub6_data",0,1,1,6,0.167
"CD005595_pub4_data",0,1,1,6,0.167
"CD006124_pub3_data",1,0,1,6,0.167
"CD007374_pub3_data",0,1,1,6,0.167
"CD009022_pub4_data",1,0,1,6,0.167
"CD010001_pub4_data",0,1,1,6,0.167
"CD010441_pub3_data",0,1,1,6,0.167
"CD011381_pub3_data",1,0,1,6,0.167
"CD011627_pub3_data",0,1,1,6,0.167
"CD011841_pub3_data",1,0,1,6,0.167
"CD012609_pub2_data",1,0,1,6,0.167
"CD012891_pub2_data",0,1,1,6,0.167
"CD013105_pub2_data",0,1,1,6,0.167
"CD013355_pub2_data",0,1,1,6,0.167
"CD013561_pub2_data",0,1,1,6,0.167
"CD013590_pub2_data",0,1,1,6,0.167
"CD013758_pub2_data",0,1,1,6,0.167
"CD013823_pub2_data",1,0,1,6,0.167
"CD014763_pub2_data",0,1,1,6,0.167
"CD014802_pub2_data",0,1,1,6,0.167
"CD015038_pub2_data",0,1,1,6,0.167
"CD015134_pub2_data",1,0,1,6,0.167
"CD015443_pub2_data",1,0,1,6,0.167
"CD015551_pub2_data",0,1,1,6,0.167
"CD006913_pub3_data",0,3,3,19,0.158
"CD010145_pub2_data",0,3,3,19,0.158
"CD015332_pub2_data",1,2,3,19,0.158
"CD007310_pub3_data",0,2,2,13,0.154
"CD013875_pub2_data",0,2,2,13,0.154
"CD015219_pub2_data",2,0,2,13,0.154
"CD002042_pub6_data",7,3,10,68,0.147
"CD014585_pub2_data",1,1,2,14,0.143
"CD001909_pub4_data",0,1,1,7,0.143
"CD005566_pub4_data",0,1,1,7,0.143
"CD009102_pub2_data",0,1,1,7,0.143
"CD009679_pub3_data",1,0,1,7,0.143
"CD013707_pub2_data",1,0,1,7,0.143
"CD013745_pub2_data",0,1,1,7,0.143
"CD014935_pub2_data",1,0,1,7,0.143
"CD016147_data",1,0,1,7,0.143
"CD014541_pub2_data",0,3,3,22,0.136
"CD015536_pub2_data",1,2,2,15,0.133
"CD011535_pub7_data",1,9,10,80,0.125
"CD010290_pub4_data",1,1,2,16,0.125
"CD015476_pub2_data",0,2,2,16,0.125
"CD004406_pub6_data",0,1,1,8,0.125
"CD013052_pub3_data",1,0,1,8,0.125
"CD013342_pub2_data",1,0,1,8,0.125
"CD013827_pub2_data",1,0,1,8,0.125
"CD015314_pub2_data",0,1,1,8,0.125
"CD013278_pub3_data",2,2,4,35,0.114
"CD013830_pub2_data",1,3,4,35,0.114
"CD013445_pub2_data",2,1,3,27,0.111
"CD003774_pub5_data",2,0,2,18,0.111
"CD012079_pub2_data",1,1,2,18,0.111
"CD012586_pub2_data",1,1,2,18,0.111
"CD007872_pub4_data",1,0,1,9,0.111
"CD008873_pub5_data",1,0,1,9,0.111
"CD011600_pub3_data",0,1,1,9,0.111
"CD012757_pub2_data",0,1,1,9,0.111
"CD013197_pub2_data",1,0,1,9,0.111
"CD013462_pub3_data",1,0,1,9,0.111
"CD013672_pub2_data",0,1,1,9,0.111
"CD015192_pub2_data",1,0,1,9,0.111
"CD007784_pub3_data",0,3,3,29,0.103
"CD004508_pub5_data",1,0,1,10,0.1
"CD009752_pub3_data",1,0,1,10,0.1
"CD011204_pub3_data",0,1,1,10,0.1
"CD011305_pub3_data",1,0,1,10,0.1
"CD012942_pub2_data",0,1,1,10,0.1
"CD013595_pub2_data",0,1,1,10,0.1
"CD014914_pub2_data",0,1,1,10,0.1
"CD015140_pub2_data",1,0,1,10,0.1
"CD015432_pub2_data",1,0,1,10,0.1
