"dataset_name","analyses","any_mismatch","direction_mismatch","significance_mismatch","mismatch_rate","double_zero_rows","sparse_rows","any_zero_rows","all_events_rows","invalid_binary_rows","event_rate"
"CD000028_pub4_data",1,1,0,1,1,1,1,3,0,0,0.1462
"CD000143_pub2_data",1,1,0,1,1,0,3,3,0,0,0.2971
"CD000219_pub5_data",2,2,0,2,1,2,4,3,0,0,0.1067
"CD000478_pub5_data",1,1,0,1,1,2,5,4,0,0,0.125
"CD000547_pub3_data",2,2,0,2,1,14,27,25,0,0,0.129
"CD001155_pub3_data",2,2,1,1,1,33,64,56,0,0,0.0429
"CD001321_pub7_data",2,2,1,1,1,0,6,4,0,0,0.1273
"CD001396_pub4_data",1,1,0,1,1,0,7,1,0,0,0.0952
"CD001431_pub6_data",2,2,0,2,1,305,312,312,0,0,0.1414
"CD001797_pub4_data",3,3,1,2,1,2,5,5,0,0,0.1841
"CD001909_pub4_data",1,1,0,1,1,1,4,4,0,0,0.1176
"CD001920_pub4_data",2,2,0,2,1,293,300,300,0,1,0.01
"CD002042_pub6_data",10,10,7,3,1,17,54,38,2,0,0.0665
"CD002052_pub4_data",1,1,1,0,1,0,2,1,0,0,0.46
"CD002112_pub2_data",6,6,3,3,1,1,5,5,0,0,0.322
"CD002122_pub3_data",14,14,8,6,1,0,14,9,0,15,0.2647
"CD002203_pub5_data",2,2,2,0,1,0,1,1,0,0,0.0805
"CD002243_pub5_data",2,2,2,0,1,4,13,12,0,0,0.1781
"CD003129_pub2_data",1,1,0,1,1,0,5,4,0,0,0.0223
"CD003331_pub6_data",1,1,0,1,1,0,0,0,0,0,0.5936
"CD003333_pub4_data",1,1,0,1,1,0,0,0,0,0,0.069
"CD003357_pub5_data",1,1,1,0,1,0,1,0,0,0,0.1068
"CD003376_pub4_data",3,3,3,0,1,64,115,92,0,0,0.065
"CD003414_pub4_data",6,6,4,2,1,0,11,9,0,0,0.1254
"CD003429_pub5_data",3,3,0,3,1,0,2,2,0,0,0.483
"CD003594_pub7_data",6,6,1,5,1,1,10,9,1,0,0.2782
"CD003598_pub3_data",13,13,6,7,1,223,297,266,0,0,0.0776
"CD003774_pub5_data",2,2,2,0,1,8,27,20,0,0,0.2006
"CD003962_pub3_data",6,6,3,3,1,58,70,65,0,0,0.153
"CD004184_pub3_data",1,1,0,1,1,0,6,0,0,0,0.0383
"CD004376_pub4_data",1,1,1,0,1,19,43,31,0,56,0.1442
"CD004406_pub6_data",1,1,0,1,1,0,0,0,0,0,0.3138
"CD004508_pub5_data",1,1,1,0,1,0,1,1,0,0,0.2361
"CD004661_pub4_data",7,7,4,3,1,36,56,46,7,7,0.088
"CD004667_pub6_data",1,1,0,1,1,0,0,0,0,0,0.2073
"CD004736_pub6_data",13,13,6,7,1,92,118,114,0,0,0.0293
"CD004953_pub5_data",5,5,5,0,1,8,19,15,1,0,0.1246
"CD004992_pub4_data",1,1,0,1,1,0,0,0,0,0,0.1966
"CD005133_pub4_data",4,4,2,2,1,6,39,39,0,0,0.1492
"CD005187_pub6_data",1,1,1,0,1,0,0,0,0,0,0.0217
"CD005495_pub5_data",1,1,0,1,1,0,5,0,0,0,0.0835
"CD005566_pub4_data",1,1,0,1,1,0,71,35,0,0,0.0633
"CD005595_pub4_data",1,1,0,1,1,3,33,29,0,0,0.0237
"CD005951_pub5_data",2,2,0,2,1,0,2,1,0,0,0.2471
"CD006023_pub4_data",9,9,4,5,1,122,174,155,0,0,0.0443
"CD006027_pub3_data",1,1,0,1,1,0,2,2,0,0,0.1918
"CD006124_pub3_data",1,1,1,0,1,11,14,13,0,0,0.0167
"CD006182_pub3_data",3,3,1,2,1,0,3,1,0,0,0.2228
"CD006185_pub6_data",2,2,1,1,1,100,104,102,0,0,0.0034
"CD006257_pub2_data",5,5,4,1,1,147,201,187,0,0,0.0891
"CD006273_pub4_data",1,1,0,1,1,2,3,4,0,0,0.0182
"CD006404_pub5_data",8,8,6,2,1,19,55,41,0,0,0.0325
"CD006475_pub3_data",6,6,2,4,1,0,9,7,0,0,0.2887
"CD006536_pub5_data",3,3,2,1,1,14,360,257,0,0,0.0363
"CD006606_pub5_data",4,4,0,4,1,0,2,4,0,0,0.0904
"CD006689_pub3_data",5,5,2,3,1,11,26,19,0,0,0.0586
"CD006742_pub3_data",2,2,1,1,1,3,4,5,0,0,0.013
"CD006913_pub3_data",3,3,0,3,1,75,75,75,2,0,0.2377
"CD007026_pub7_data",4,4,2,2,1,4,17,13,0,0,0.0803
"CD007079_pub4_data",1,1,0,1,1,1,3,2,0,0,0.0483
"CD007130_pub5_data",1,1,1,0,1,7,10,10,0,0,0.0243
"CD007310_pub3_data",2,2,0,2,1,0,1,1,0,0,0.3155
"CD007374_pub3_data",1,1,0,1,1,0,0,1,0,0,0.3184
"CD007388_pub3_data",1,1,1,0,1,2,5,5,0,0,0.1087
"CD007572_pub4_data",4,4,0,4,1,0,0,0,0,0,0.5437
"CD007639_pub3_data",2,2,0,2,1,27,28,28,0,0,0.0752
"CD007784_pub3_data",3,3,0,3,1,2,5,4,0,0,0.0337
"CD007809_pub3_data",1,1,1,0,1,4,5,5,0,0,0.2031
"CD007872_pub4_data",1,1,1,0,1,1,1,1,0,0,0.2022
"CD007895_pub3_data",1,1,1,0,1,1,3,1,0,0,0.0136
"CD008176_pub3_data",8,8,6,2,1,7,70,54,0,0,0.0849
"CD008237_pub4_data",1,1,0,1,1,0,0,0,0,0,0.304
"CD008309_pub3_data",3,3,2,1,1,10,18,15,0,0,0.098
"CD008469_pub3_data",2,2,0,2,1,5,6,5,0,1,0.1013
"CD008493_pub5_data",2,2,1,1,1,6,15,12,0,0,0.0515
"CD008564_pub3_data",4,4,1,3,1,0,2,1,0,0,0.0628
"CD008709_pub4_data",4,4,1,3,1,0,13,8,0,0,0.5017
"CD008873_pub5_data",1,1,1,0,1,1,2,2,0,0,0.1038
"CD009022_pub4_data",1,1,1,0,1,1,3,2,0,0,0.0421
"CD009102_pub2_data",1,1,0,1,1,0,0,0,0,0,0.0383
"CD009235_pub4_data",4,4,1,3,1,8,14,11,0,0,0.1342
"CD009298_pub3_data",3,3,2,1,1,2,6,5,0,0,0.1714
"CD009508_pub2_data",1,1,0,1,1,0,0,0,0,0,0.7713
"CD009531_pub3_data",4,4,1,3,1,37,41,41,0,0,0.1265
"CD009535_pub3_data",1,1,0,1,1,0,1,1,0,0,0.1634
"CD009679_pub3_data",1,1,1,0,1,6,8,8,0,0,0.0257
"CD009749_pub3_data",4,4,1,3,1,8,34,23,0,0,0.0912
"CD009752_pub3_data",1,1,1,0,1,0,1,1,0,0,0.037
"CD009945_pub3_data",1,1,1,0,1,0,2,2,0,0,0.0523
"CD010001_pub4_data",1,1,0,1,1,28,28,28,0,0,0.046
"CD010145_pub2_data",3,3,0,3,1,1,3,2,0,0,0.1346
"CD010216_pub9_data",1,1,0,1,1,5,5,6,0,0,0.3921
"CD010290_pub4_data",2,2,1,1,1,1,6,3,0,0,0.1513
"CD010441_pub3_data",1,1,0,1,1,4,5,5,0,0,0.02
"CD010533_pub3_data",1,1,1,0,1,20,21,21,0,0,8e-04
"CD010583_pub6_data",2,2,0,2,1,1,3,3,0,0,0.0396
"CD010861_pub3_data",4,4,2,2,1,8,20,17,2,5,0.3552
"CD010966_pub4_data",6,6,4,5,1,267,768,647,5,0,0.0865
"CD011197_pub3_data",1,1,1,0,1,6,8,7,0,0,0.0861
"CD011204_pub3_data",1,1,0,1,1,0,0,0,0,0,0.0714
"CD011305_pub3_data",1,1,1,0,1,0,3,2,0,0,0.0313
"CD011381_pub3_data",1,1,1,0,1,0,30,18,0,0,0.0021
"CD011468_pub2_data",1,1,0,1,1,2,3,2,0,0,0.1441
"CD011535_pub7_data",10,10,1,9,1,3,6,6,2,9,0.5262
"CD011575_pub3_data",5,5,1,4,1,0,0,0,0,0,0.0259
"CD011600_pub3_data",1,1,0,1,1,0,0,0,0,0,0.0053
"CD011626_pub3_data",1,1,0,1,1,0,8,8,0,0,0.1121
"CD011627_pub3_data",1,1,0,1,1,0,1,2,0,0,0.1358
"CD011670_pub3_data",2,2,1,1,1,2,6,6,0,0,0.0629
"CD011689_pub4_data",12,12,6,6,1,117,213,178,0,0,0.0543
"CD011762_pub2_data",7,7,5,4,1,143,641,563,0,0,0.0124
"CD011793_pub3_data",1,1,1,0,1,0,10,5,0,0,0.0234
"CD011806_pub2_data",1,1,0,1,1,4,4,4,0,0,0.1435
"CD011841_pub3_data",1,1,1,0,1,29,30,30,0,0,0.0136
"CD011858_pub2_data",4,4,4,0,1,3,14,9,0,0,0.02
"CD011866_pub3_data",1,1,0,1,1,5,5,5,0,0,0.1859
"CD011885_pub2_data",1,1,1,0,1,0,1,0,0,0,0.0631
"CD012067_pub3_data",5,5,3,2,1,33,51,49,0,0,0.1051
"CD012079_pub2_data",2,2,1,1,1,0,9,7,0,0,0.0901
"CD012152_pub4_data",2,2,1,1,1,0,2,2,0,0,0.0224
"CD012186_pub2_data",1,1,0,1,1,2,13,9,0,0,0.1114
"CD012214_pub3_data",1,1,1,0,1,1,3,2,0,0,0.0909
"CD012397_pub2_data",1,1,1,0,1,3,3,3,0,0,0.0086
"CD012429_pub2_data",4,4,2,2,1,9,17,14,0,0,0.0726
"CD012503_pub3_data",5,5,3,2,1,34,60,60,0,0,0.3699
"CD012586_pub2_data",2,2,1,1,1,11,23,17,0,0,0.1063
"CD012609_pub2_data",1,1,1,0,1,0,0,1,0,0,0.2961
"CD012635_pub2_data",3,3,3,0,1,0,2,2,0,0,0.0436
"CD012642_pub2_data",2,2,0,2,1,5,8,8,0,0,0.1809
"CD012693_pub3_data",2,2,0,2,1,2,11,5,0,0,0.0893
"CD012712_pub2_data",4,4,1,3,1,37,54,43,0,0,0.0583
"CD012757_pub2_data",1,1,0,1,1,0,0,0,0,0,0.3841
"CD012850_pub2_data",4,4,2,2,1,7,9,9,0,0,0.228
"CD012891_pub2_data",1,1,0,1,1,0,4,2,0,0,0.074
"CD012905_pub2_data",5,5,1,4,1,11,29,22,0,0,0.158
"CD012925_pub2_data",1,1,1,0,1,4,5,6,0,0,0.2348
"CD012942_pub2_data",1,1,0,1,1,1,1,1,0,0,0.2009
"CD012993_pub2_data",2,2,2,0,1,2,4,3,0,0,0.1561
