"dataset_name","method_changes","total_analyses","change_rate"
"CD015326_pub2_data",69,69,1
"CD015331_pub2_data",60,82,0.732
"CD013614_pub2_data",42,122,0.344
"CD006913_pub3_data",41,60,0.683
"CD009235_pub4_data",33,50,0.66
"CD016064_data",29,31,0.935
"CD007784_pub3_data",29,58,0.5
"CD009535_pub3_data",27,30,0.9
"CD015284_pub2_data",26,31,0.839
"CD008349_pub5_data",25,25,1
"CD015140_pub2_data",25,35,0.714
"CD009298_pub3_data",25,76,0.329
"CD013789_pub2_data",22,22,1
"CD014871_pub2_data",21,21,1
"CD015332_pub2_data",20,39,0.513
"CD013758_pub2_data",19,25,0.76
"CD014965_pub2_data",19,42,0.452
"CD006632_pub3_data",18,18,1
"CD015014_pub2_data",18,40,0.45
"CD011197_pub3_data",17,20,0.85
"CD014722_pub2_data",17,20,0.85
"CD011600_pub3_data",17,26,0.654
"CD012850_pub2_data",17,28,0.607
"CD013358_pub2_data",16,19,0.842
"CD015524_pub2_data",16,36,0.444
"CD015588_pub2_data",16,39,0.41
"CD011624_pub3_data",15,15,1
"CD015520_data",15,15,1
"CD006536_pub5_data",15,23,0.652
"CD015849_pub2_data",15,38,0.395
"CD013303_pub2_data",14,18,0.778
"CD013342_pub2_data",14,22,0.636
"CD013810_pub2_data",13,13,1
"CD013508_pub3_data",13,15,0.867
"CD013284_pub2_data",13,16,0.812
"CD010216_pub9_data",13,18,0.722
"CD007374_pub3_data",13,19,0.684
"CD013105_pub2_data",13,19,0.684
"CD012268_pub2_data",12,12,1
"CD013294_pub2_data",12,12,1
"CD014845_pub2_data",12,12,1
"CD015083_pub2_data",12,12,1
"CD007809_pub3_data",12,14,0.857
"CD011851_pub3_data",12,14,0.857
"CD001703_pub4_data",12,15,0.8
"CD011806_pub2_data",12,17,0.706
"CD013071_pub2_data",12,21,0.571
"CD006185_pub6_data",12,24,0.5
"CD008176_pub3_data",12,28,0.429
"CD013278_pub3_data",12,47,0.255
"CD008771_pub3_data",11,11,1
"CD010856_pub3_data",11,11,1
"CD015790_pub2_data",11,12,0.917
"CD004871_pub5_data",11,13,0.846
"CD011330_pub2_data",11,13,0.846
"CD005343_pub7_data",11,15,0.733
"CD010189_pub3_data",10,10,1
"CD011778_pub2_data",10,10,1
"CD012445_pub2_data",10,10,1
"CD014758_pub3_data",10,10,1
"CD011793_pub3_data",10,14,0.714
"CD013456_pub2_data",10,14,0.714
"CD013631_pub2_data",10,14,0.714
"CD016120_data",10,14,0.714
"CD010966_pub4_data",10,17,0.588
"CD009752_pub3_data",10,20,0.5
"CD015215_pub2_data",10,26,0.385
"CD016031_data",10,36,0.278
"CD011885_pub2_data",10,39,0.256
"CD013591_pub2_data",9,9,1
"CD015517_data",9,9,1
"CD013038_pub3_data",9,11,0.818
"CD013571_pub2_data",9,13,0.692
"CD003429_pub5_data",9,14,0.643
"CD008309_pub3_data",9,20,0.45
"CD012693_pub3_data",9,33,0.273
"CD007837_pub3_data",8,8,1
"CD008145_pub4_data",8,8,1
"CD001920_pub4_data",8,10,0.8
"CD007130_pub5_data",8,11,0.727
