"key","dataset_name_orig","analysis_key_orig","analysis_number_orig","subgroup_number_orig","analysis_name_orig","k_orig","double_zero_orig","sparse_events_orig","orcc_ok_orig","rd_ok_orig","recommended_method_orig","recommendation_reason_orig","orcc_pooled_effect","orcc_ci_lb","orcc_ci_ub","rd_pooled_effect","rd_ci_lb","rd_ci_ub","dataset_name_fix","analysis_key_fix","analysis_number_fix","subgroup_number_fix","analysis_name_fix","k_fix","double_zero_fix","sparse_events_fix","orcc_ok_fix","rd_ok_fix","recommended_method_fix","recommendation_reason_fix","method_changed"
"CD000028_pub4_data|1::1","CD000028_pub4_data","1::1",1,"1","All-cause mortality",12,0,0,TRUE,TRUE,"OR_cc","default_or",-0.23965120466964,-0.382619270094527,-0.0966831392447535,-0.0146126549039716,-0.0200445615522909,-0.00918074825565237,"CD000028_pub4_data","1::1","1","1","All-cause mortality",12,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|1::2","CD000028_pub4_data","1::2",1,"2","All-cause mortality",11,1,1,TRUE,TRUE,"RD","double_zero",0.0932493150659765,-0.112275250074066,0.298773880206019,0.0399949512151858,0.00109562825034308,0.0788942741800285,"CD000028_pub4_data","1::2","1","2","All-cause mortality",11,1,1,TRUE,TRUE,"RD","double_zero",FALSE
"CD000028_pub4_data|1::overall","CD000028_pub4_data","1::overall",1,"overall","All-cause mortality",13,0,0,TRUE,TRUE,"OR_cc","default_or",-0.115253952293261,-0.198462120609324,-0.0320457839771983,-0.00944663282415497,-0.0161490691938011,-0.00274419645450887,"CD000028_pub4_data","1::overall","1","overall","All-cause mortality",13,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|2::1","CD000028_pub4_data","2::1",2,"1","Cause of cardiovascular mortality",22,0,2,TRUE,TRUE,"RD","sparse_events",-0.43281307932279,-0.528863642301455,-0.336762516344126,-0.0215566238944025,-0.03109647130223,-0.012016776486575,"CD000028_pub4_data","2::1","2","1","Cause of cardiovascular mortality",22,0,2,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000028_pub4_data|2::2","CD000028_pub4_data","2::2",2,"2","Cause of cardiovascular mortality",20,0,2,TRUE,TRUE,"RD","sparse_events",-0.290602169373213,-0.397751788914886,-0.18345254983154,-0.00733849764600748,-0.0115152930475941,-0.00316170224442087,"CD000028_pub4_data","2::2","2","2","Cause of cardiovascular mortality",20,0,2,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000028_pub4_data|3::1","CD000028_pub4_data","3::1",3,"1","Cerebrovascular mortality and morbidity",11,0,0,TRUE,TRUE,"OR_cc","default_or",-0.445631027006216,-0.572503223391453,-0.318758830620978,-0.0145812630589455,-0.0187436068704265,-0.0104189192474646,"CD000028_pub4_data","3::1","3","1","Cerebrovascular mortality and morbidity",11,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|3::2","CD000028_pub4_data","3::2",3,"2","Cerebrovascular mortality and morbidity",10,0,1,TRUE,TRUE,"RD","sparse_events",-0.484004721823288,-0.695607970466664,-0.272401473179912,-0.0241968216463642,-0.0398647915890239,-0.00852885170370438,"CD000028_pub4_data","3::2","3","2","Cerebrovascular mortality and morbidity",10,0,1,TRUE,TRUE,"RD","sparse_events",FALSE
"CD000028_pub4_data|3::overall","CD000028_pub4_data","3::overall",3,"overall","Cardiovascular mortality and morbidity",15,0,0,TRUE,TRUE,"OR_cc","default_or",-0.383482254499255,-0.485245242854525,-0.281719266143985,-0.0375550432326577,-0.0526606402511056,-0.0224494462142097,"CD000028_pub4_data","3::overall","3","overall","Cardiovascular mortality and morbidity",15,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|4::1","CD000028_pub4_data","4::1",4,"1","Coronary heart disease mortality and morbidity",10,0,0,TRUE,TRUE,"OR_cc","default_or",-0.272302613392712,-0.39211831347362,-0.152486913311804,-0.010438174434811,-0.014928772699066,-0.00594757617055612,"CD000028_pub4_data","4::1","4","1","Coronary heart disease mortality and morbidity",10,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
"CD000028_pub4_data|4::2","CD000028_pub4_data","4::2",4,"2","Coronary heart disease mortality and morbidity",9,1,4,TRUE,TRUE,"RD","double_zero",-0.186596517328826,-0.491552347895612,0.11835931323796,-0.00178445538060141,-0.00728473074063453,0.00371581997943171,"CD000028_pub4_data","4::2","4","2","Coronary heart disease mortality and morbidity",9,1,4,TRUE,TRUE,"RD","double_zero",FALSE
"CD000028_pub4_data|4::overall","CD000028_pub4_data","4::overall",4,"overall","Cerebrovascular mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or",-0.436235267694547,-0.559744817112523,-0.31272571827657,-0.0158128991552414,-0.021244675185924,-0.0103811231245589,"CD000028_pub4_data","4::overall","4","overall","Cerebrovascular mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or",FALSE
