"dataset_name","analysis_key","k_total","k_valid","invalid_rows","nonint_ai","nonint_ci","nonint_n1","nonint_n2","double_zero","sparse_events"
"CD000028_pub4_data","1::overall",13,13,0,0,0,0,0,0,0
"CD000028_pub4_data","2::1",22,22,0,0,0,0,0,0,2
"CD000028_pub4_data","2::2",20,20,0,0,0,0,0,0,2
"CD000028_pub4_data","3::overall",15,15,0,0,0,0,0,0,0
"CD000028_pub4_data","4::overall",13,13,0,0,0,0,0,0,0
"CD000028_pub4_data","5::overall",13,13,0,0,0,0,0,0,0
"CD000028_pub4_data","6::overall",4,4,0,0,0,0,0,0,0
"CD000028_pub4_data","1::1",12,12,0,0,0,0,0,0,0
"CD000028_pub4_data","1::2",11,11,0,0,0,0,0,1,1
"CD000028_pub4_data","3::1",11,11,0,0,0,0,0,0,0
"CD000028_pub4_data","3::2",10,10,0,0,0,0,0,0,1
"CD000028_pub4_data","4::1",10,10,0,0,0,0,0,0,0
"CD000028_pub4_data","4::2",9,9,0,0,0,0,0,1,4
"CD000143_pub2_data","1::overall",47,47,0,0,0,0,0,0,3
"CD000143_pub2_data","2::overall",23,23,0,0,0,0,0,0,3
"CD000143_pub2_data","4::overall",5,5,0,0,0,0,0,0,0
"CD000219_pub5_data","1::overall",27,27,0,0,0,0,0,0,0
"CD000219_pub5_data","2::overall",11,11,0,0,0,0,0,0,2
"CD000219_pub5_data","3::overall",14,14,0,0,0,0,0,0,0
"CD000219_pub5_data","4::overall",7,7,0,0,0,0,0,2,4
"CD000219_pub5_data","5::overall",6,6,0,0,0,0,0,0,0
"CD000219_pub5_data","6::overall",6,6,0,0,0,0,0,0,0
"CD000478_pub5_data","1::overall",32,32,0,0,0,0,0,1,8
"CD000478_pub5_data","2::overall",6,6,0,0,0,0,0,2,5
"CD000478_pub5_data","3::overall",2,2,0,0,0,0,0,0,2
"CD000478_pub5_data","4::overall",2,2,0,0,0,0,0,0,2
"CD000547_pub3_data","1::overall",28,28,0,0,0,0,0,28,28
"CD000547_pub3_data","3::overall",24,24,0,0,0,0,0,24,24
"CD000547_pub3_data","5::overall",25,25,0,0,0,0,0,14,18
"CD000547_pub3_data","7::overall",63,63,0,0,0,0,0,5,35
"CD000547_pub3_data","8::overall",57,57,0,0,0,0,0,1,12
"CD000547_pub3_data","6::overall",17,17,0,0,0,0,0,0,9
"CD000547_pub3_data","9::overall",4,4,0,0,0,0,0,1,1
"CD000547_pub3_data","10::overall",43,43,0,0,0,0,0,0,10
"CD000547_pub3_data","11::overall",4,4,0,0,0,0,0,4,4
"CD000547_pub3_data","13::overall",4,4,0,0,0,0,0,4,4
"CD000547_pub3_data","4::overall",9,9,0,0,0,0,0,3,6
"CD000547_pub3_data","2::overall",4,4,0,0,0,0,0,4,4
"CD001155_pub3_data","1::overall",182,182,0,0,0,0,0,89,128
"CD001155_pub3_data","2::overall",494,494,0,0,0,0,0,195,284
"CD001155_pub3_data","3::overall",83,83,0,0,0,0,0,43,50
"CD001155_pub3_data","4::overall",78,78,0,0,0,0,0,29,49
"CD001155_pub3_data","5::overall",47,47,0,0,0,0,0,7,14
"CD001155_pub3_data","6::overall",40,40,0,0,0,0,0,4,15
"CD001155_pub3_data","7::overall",21,21,0,0,0,0,0,1,2
"CD001155_pub3_data","8::overall",21,21,0,0,0,0,0,2,3
"CD001155_pub3_data","9::overall",10,10,0,0,0,0,0,10,10
"CD001321_pub7_data","1::overall",103,103,0,0,0,0,0,4,11
"CD001321_pub7_data","2::overall",30,30,0,0,0,0,0,1,4
"CD001321_pub7_data","3::overall",8,8,0,0,0,0,0,0,1
"CD001321_pub7_data","4::overall",4,4,0,0,0,0,0,1,1
"CD001321_pub7_data","5::overall",10,10,0,0,0,0,0,0,5
"CD001396_pub4_data","1::overall",49,49,0,0,0,0,0,46,46
"CD001396_pub4_data","2::overall",56,56,0,0,0,0,0,0,4
"CD001396_pub4_data","3::overall",29,29,0,0,0,0,0,0,6
"CD001396_pub4_data","4::overall",23,23,0,0,0,0,0,0,6
"CD001396_pub4_data","5::overall",14,14,0,0,0,0,0,0,4
"CD001396_pub4_data","6::overall",21,21,0,0,0,0,0,0,5
"CD001396_pub4_data","7::overall",8,8,0,0,0,0,0,0,3
"CD001396_pub4_data","8::overall",14,14,0,0,0,0,0,0,2
"CD001396_pub4_data","9::overall",16,16,0,0,0,0,0,0,1
"CD001396_pub4_data","10::overall",16,16,0,0,0,0,0,0,3
"CD001396_pub4_data","11::overall",13,13,0,0,0,0,0,0,3
"CD001396_pub4_data","12::overall",19,19,0,0,0,0,0,0,5
"CD001396_pub4_data","13::overall",10,10,0,0,0,0,0,0,7
"CD001396_pub4_data","14::overall",26,26,0,0,0,0,0,0,7
"CD001396_pub4_data","15::overall",8,8,0,0,0,0,0,8,8
"CD001396_pub4_data","16::overall",7,7,0,0,0,0,0,7,7
"CD001396_pub4_data","17::overall",3,3,0,0,0,0,0,3,3
"CD001396_pub4_data","18::overall",7,7,0,0,0,0,0,7,7
"CD001396_pub4_data","19::overall",30,30,0,0,0,0,0,0,0
"CD001396_pub4_data","20::overall",18,18,0,0,0,0,0,2,2
"CD001431_pub6_data","1::overall",437,437,0,0,0,0,0,249,256
"CD001431_pub6_data","2::overall",377,377,0,0,0,0,0,200,207
"CD001431_pub6_data","3::overall",353,353,0,0,0,0,0,237,243
"CD001431_pub6_data","4::overall",136,136,0,0,0,0,0,61,61
"CD001431_pub6_data","5::overall",116,116,0,0,0,0,0,49,50
"CD001431_pub6_data","6::overall",60,60,0,0,0,0,0,56,56
"CD001533_pub7_data","1::overall",43,43,0,0,0,0,0,5,6
"CD001533_pub7_data","2::overall",47,47,0,0,0,0,0,6,11
"CD001533_pub7_data","3::overall",30,30,0,0,0,0,0,7,12
"CD001533_pub7_data","4::overall",27,27,0,0,0,0,0,7,7
"CD001533_pub7_data","5::overall",68,68,0,0,0,0,0,13,24
"CD001552_pub3_data","1::overall",10,10,0,0,0,0,0,3,3
"CD001552_pub3_data","2::overall",13,13,0,0,0,0,0,6,6
"CD001552_pub3_data","3::overall",11,11,0,0,0,0,0,10,11
"CD001552_pub3_data","4::overall",8,8,0,0,0,0,0,8,8
"CD001552_pub3_data","5::overall",8,8,0,0,0,0,0,8,8
"CD001552_pub3_data","6::overall",8,8,0,0,0,0,0,7,7
"CD001552_pub3_data","7::overall",5,5,0,0,0,0,0,4,5
"CD001552_pub3_data","8::overall",4,4,0,0,0,0,0,2,3
"CD001552_pub3_data","9::overall",4,4,0,0,0,0,0,1,3
"CD001552_pub3_data","10::overall",6,6,0,0,0,0,0,0,4
"CD001703_pub4_data","1::overall",8,8,0,0,0,0,0,8,8
"CD001703_pub4_data","2::overall",16,16,0,0,0,0,0,16,16
"CD001703_pub4_data","4::overall",6,6,0,0,0,0,0,6,6
"CD001703_pub4_data","6::overall",4,4,0,0,0,0,0,4,4
"CD001703_pub4_data","8::overall",4,4,0,0,0,0,0,4,4
"CD001703_pub4_data","10::overall",2,2,0,0,0,0,0,2,2
"CD001703_pub4_data","13::overall",6,6,0,0,0,0,0,6,6
"CD001703_pub4_data","14::overall",2,2,0,0,0,0,0,2,2
"CD001703_pub4_data","16::overall",3,3,0,0,0,0,0,3,3
"CD001703_pub4_data","17::overall",2,2,0,0,0,0,0,2,2
"CD001703_pub4_data","19::overall",2,2,0,0,0,0,0,2,2
"CD001703_pub4_data","20::overall",2,2,0,0,0,0,0,2,2
"CD001703_pub4_data","25::overall",18,18,0,0,0,0,0,1,2
"CD001703_pub4_data","26::overall",10,10,0,0,0,0,0,1,6
"CD001703_pub4_data","27::overall",22,22,0,0,0,0,0,1,7
"CD001797_pub4_data","1::overall",8,8,0,0,0,0,0,1,2
"CD001797_pub4_data","2::overall",4,4,0,0,0,0,0,2,2
"CD001797_pub4_data","3::overall",5,5,0,0,0,0,0,2,3
"CD001797_pub4_data","4::overall",7,7,0,0,0,0,0,7,7
"CD001797_pub4_data","5::overall",3,2,1,0,0,0,0,2,2
"CD001797_pub4_data","6::overall",5,5,0,0,0,0,0,4,5
"CD001797_pub4_data","7::overall",4,4,0,0,0,0,0,2,3
"CD001797_pub4_data","8::overall",2,2,0,0,0,0,0,1,1
"CD001797_pub4_data","9::overall",3,3,0,0,0,0,0,0,1
"CD001797_pub4_data","10::overall",3,3,0,0,0,0,0,0,1
"CD001837_pub4_data","1::overall",110,110,0,0,0,0,0,0,0
"CD001837_pub4_data","2::overall",20,20,0,0,0,0,0,0,0
"CD001837_pub4_data","3::overall",7,7,0,0,0,0,0,0,0
"CD001837_pub4_data","4::overall",7,7,0,0,0,0,0,0,0
"CD001909_pub4_data","1::overall",51,51,0,0,0,0,0,4,17
"CD001909_pub4_data","2::overall",25,25,0,0,0,0,0,2,6
"CD001909_pub4_data","3::overall",24,24,0,0,0,0,0,0,6
"CD001909_pub4_data","4::overall",12,12,0,0,0,0,0,1,5
"CD001909_pub4_data","5::overall",13,13,0,0,0,0,0,1,4
"CD001909_pub4_data","6::overall",3,3,0,0,0,0,0,0,0
"CD001909_pub4_data","7::overall",5,5,0,0,0,0,0,0,0
"CD001920_pub4_data","1::overall",219,219,0,0,0,0,0,219,219
"CD001920_pub4_data","2::overall",279,279,0,0,0,0,0,279,279
"CD001920_pub4_data","3::overall",207,207,0,0,0,0,0,207,207
"CD001920_pub4_data","4::overall",244,244,0,0,0,0,0,244,244
"CD001920_pub4_data","5::overall",142,141,1,0,0,0,0,136,137
"CD001920_pub4_data","6::overall",168,168,0,0,0,0,0,157,163
"CD001920_pub4_data","7::overall",124,124,0,0,0,0,0,124,124
"CD001920_pub4_data","8::overall",15,15,0,0,0,0,0,15,15
"CD001920_pub4_data","9::overall",12,12,0,0,0,0,0,12,12
"CD001920_pub4_data","10::overall",16,16,0,0,0,0,0,16,16
"CD002042_pub6_data","1::overall",57,57,0,0,0,0,0,0,0
"CD002042_pub6_data","2::1",11,11,0,0,0,0,0,0,0
"CD002042_pub6_data","2::2",5,5,0,0,0,0,0,0,0
"CD002042_pub6_data","2::3",13,13,0,0,0,0,0,0,0
"CD002042_pub6_data","2::4",9,9,0,0,0,0,0,0,0
"CD002042_pub6_data","2::5",6,6,0,0,0,0,0,0,0
"CD002042_pub6_data","2::6",5,5,0,0,0,0,0,0,0
"CD002042_pub6_data","2::8",5,5,0,0,0,0,0,0,0
"CD002042_pub6_data","2::9",2,2,0,0,0,0,0,0,0
"CD002042_pub6_data","2::10",2,2,0,0,0,0,0,0,0
"CD002042_pub6_data","3::1",35,35,0,0,0,0,0,0,0
"CD002042_pub6_data","3::2",7,7,0,0,0,0,0,0,0
"CD002042_pub6_data","4::1",20,20,0,0,0,0,0,0,0
"CD002042_pub6_data","4::2",21,21,0,0,0,0,0,0,0
"CD002042_pub6_data","6::overall",44,44,0,0,0,0,0,7,20
"CD002042_pub6_data","7::1",24,24,0,0,0,0,0,4,8
"CD002042_pub6_data","7::2",19,19,0,0,0,0,0,3,10
"CD002042_pub6_data","8::1",5,5,0,0,0,0,0,1,2
"CD002042_pub6_data","8::2",4,4,0,0,0,0,0,0,1
"CD002042_pub6_data","8::3",9,9,0,0,0,0,0,2,5
"CD002042_pub6_data","8::4",9,9,0,0,0,0,0,1,1
"CD002042_pub6_data","8::5",4,4,0,0,0,0,0,1,1
"CD002042_pub6_data","8::6",4,4,0,0,0,0,0,0,2
"CD002042_pub6_data","8::8",5,5,0,0,0,0,0,1,5
"CD002042_pub6_data","8::10",3,3,0,0,0,0,0,0,2
"CD002042_pub6_data","9::1",5,5,0,0,0,0,0,1,2
"CD002042_pub6_data","9::2",4,4,0,0,0,0,0,0,1
