"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","double_zero","sparse_events","orcc_ok","rd_ok","recommended_method","recommendation_reason"
"CD000028_pub4_data","1::overall","1","overall","All-cause mortality",13,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","2::1","2","1","Cause of cardiovascular mortality",22,0,2,TRUE,TRUE,"RD","sparse_events"
"CD000028_pub4_data","2::2","2","2","Cause of cardiovascular mortality",20,0,2,TRUE,TRUE,"RD","sparse_events"
"CD000028_pub4_data","3::overall","3","overall","Cardiovascular mortality and morbidity",15,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","4::overall","4","overall","Cerebrovascular mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","5::overall","5","overall","Coronary heart disease mortality and morbidity",13,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","6::overall","6","overall","Withdrawal due to adverse effects",4,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","1::1","1","1","All-cause mortality",12,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","1::2","1","2","All-cause mortality",11,1,1,TRUE,TRUE,"RD","double_zero"
"CD000028_pub4_data","3::1","3","1","Cerebrovascular mortality and morbidity",11,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","3::2","3","2","Cerebrovascular mortality and morbidity",10,0,1,TRUE,TRUE,"RD","sparse_events"
"CD000028_pub4_data","4::1","4","1","Coronary heart disease mortality and morbidity",10,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000028_pub4_data","4::2","4","2","Coronary heart disease mortality and morbidity",9,1,4,TRUE,TRUE,"RD","double_zero"
"CD000143_pub2_data","1::overall","1","overall","Extubation failure",47,0,3,TRUE,TRUE,"RD","sparse_events"
"CD000143_pub2_data","2::overall","2","overall","Endotracheal reintubation",23,0,3,TRUE,TRUE,"RD","sparse_events"
"CD000143_pub2_data","4::overall","4","overall","Oxygen dependency at 28 days",5,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000219_pub5_data","1::overall","1","overall","Pain",27,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000219_pub5_data","2::overall","2","overall","Vomiting, diarrhoea or rash",11,0,2,TRUE,TRUE,"RD","sparse_events"
"CD000219_pub5_data","3::overall","3","overall","Abnormal tympanometry",14,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000219_pub5_data","4::overall","4","overall","Tympanic membrane perforation",7,2,4,TRUE,TRUE,"RD","double_zero"
"CD000219_pub5_data","5::overall","5","overall","Contralateral otitis (in unilateral cases)",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000219_pub5_data","6::overall","6","overall","Late AOM recurrences",6,0,0,TRUE,TRUE,"OR_cc","default_or"
"CD000478_pub5_data","1::overall","1","overall","Failure to maintain remission",32,1,8,TRUE,TRUE,"RD","double_zero"
"CD000478_pub5_data","2::overall","2","overall","Withdrawal due to adverse event",6,2,5,TRUE,TRUE,"RD","double_zero"
"CD000478_pub5_data","3::overall","3","overall","Pancreatitis",2,0,2,TRUE,TRUE,"RD","sparse_events"
"CD000478_pub5_data","4::overall","4","overall","Bone marrow suppression",2,0,2,TRUE,TRUE,"RD","sparse_events"
"CD000547_pub3_data","5::overall","5","overall","Haemoglobin (preoperative)",25,14,18,TRUE,TRUE,"RD","double_zero"
"CD000547_pub3_data","7::overall","7","overall","Total frequency of adverse events",63,5,35,TRUE,TRUE,"RD","double_zero"
"CD000547_pub3_data","8::overall","8","overall","Individual adverse events",57,1,12,TRUE,TRUE,"RD","double_zero"
"CD000547_pub3_data","6::overall","6","overall","Postoperative morbidity (complications)",17,0,9,TRUE,TRUE,"RD","sparse_events"
"CD000547_pub3_data","9::overall","9","overall","Proportion undergoing vaginal rather than abdominal procedure",4,1,1,TRUE,TRUE,"RD","double_zero"
"CD000547_pub3_data","10::overall","10","overall","Proportion with vertical incision",43,0,10,TRUE,TRUE,"RD","sparse_events"
"CD000547_pub3_data","4::overall","4","overall","Frequency of blood transfusions",9,3,6,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","1::overall","1","overall","Clinical vertebral fractures",182,89,128,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","2::overall","2","overall","Non-vertebral fractures",494,195,284,TRUE,TRUE,"RD","double_zero"
"CD001155_pub3_data","3::overall","3","overall","Hip fractures",83,43,50,TRUE,TRUE,"RD","double_zero"
