"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","double_zero","sparse_events","method","model_method","k_used","meta_status","meta_error","pooled_effect","pooled_se","ci_lb","ci_ub","pooled_effect_transformed","ci_lb_transformed","ci_ub_transformed"
"CD000028_pub4_data","1::overall","1","overall","All-cause mortality",13,0,0,"OR_cc","REML",13,"ok","",-0.115253952293261,0.0424539272009068,-0.198462120609324,-0.0320457839771983,0.891139808170907,0.819990830905166,0.96846224101099
"CD000028_pub4_data","1::overall","1","overall","All-cause mortality",13,0,0,"RD","REML",13,"ok","",-0.00944663282415497,0.00341967322997466,-0.0161490691938011,-0.00274419645450887,-0.00944663282415497,-0.0161490691938011,-0.00274419645450887
"CD000028_pub4_data","2::1","2","1","Cause of cardiovascular mortality",22,0,2,"OR_cc","REML",22,"ok","",-0.43281307932279,0.0490062897769036,-0.528863642301455,-0.336762516344126,0.648681732502159,0.589274215646438,0.714078401717264
"CD000028_pub4_data","2::1","2","1","Cause of cardiovascular mortality",22,0,2,"RD","REML",22,"ok","",-0.0215566238944025,0.00486735852448137,-0.03109647130223,-0.012016776486575,-0.0215566238944025,-0.03109647130223,-0.012016776486575
"CD000028_pub4_data","2::2","2","2","Cause of cardiovascular mortality",20,0,2,"OR_cc","REML",20,"ok","",-0.290602169373213,0.0546691777945186,-0.397751788914886,-0.18345254983154,0.747813121811012,0.671828762314564,0.832391371911659
"CD000028_pub4_data","2::2","2","2","Cause of cardiovascular mortality",20,0,2,"RD","REML",20,"ok","",-0.00732057139193174,0.00212904007225088,-0.011493413255186,-0.00314772952867746,-0.00732057139193174,-0.011493413255186,-0.00314772952867746
"CD000028_pub4_data","3::overall","3","overall","Cardiovascular mortality and morbidity",15,0,0,"OR_cc","REML",15,"ok","",-0.383482254499255,0.0519208460757257,-0.485245242854525,-0.281719266143985,0.681484171219326,0.615546219939978,0.75448546441854
"CD000028_pub4_data","3::overall","3","overall","Cardiovascular mortality and morbidity",15,0,0,"RD","REML",15,"ok","",-0.0375550432326577,0.00770707887369308,-0.0526606402511056,-0.0224494462142097,-0.0375550432326577,-0.0526606402511056,-0.0224494462142097
"CD000028_pub4_data","4::overall","4","overall","Cerebrovascular mortality and morbidity",13,0,0,"OR_cc","REML",13,"ok","",-0.436235267694547,0.0630162341717522,-0.559744817112523,-0.31272571827657,0.646465615567835,0.571354845226746,0.731450508563809
"CD000028_pub4_data","4::overall","4","overall","Cerebrovascular mortality and morbidity",13,0,0,"RD","REML",13,"ok","",-0.0158128991552414,0.00277136522585501,-0.021244675185924,-0.0103811231245589,-0.0158128991552414,-0.021244675185924,-0.0103811231245589
"CD000028_pub4_data","5::overall","5","overall","Coronary heart disease mortality and morbidity",13,0,0,"OR_cc","REML",13,"ok","",-0.140192643710262,0.124944803026193,-0.385079957697052,0.104694670276528,0.869190775133393,0.680396231113841,1.11037152916061
"CD000028_pub4_data","5::overall","5","overall","Coronary heart disease mortality and morbidity",13,0,0,"RD","REML",13,"ok","",-0.00424396751535434,0.00729580576773847,-0.0185434840583213,0.0100555490276127,-0.00424396751535434,-0.0185434840583213,0.0100555490276127
"CD000028_pub4_data","6::overall","6","overall","Withdrawal due to adverse effects",4,0,0,"OR_cc","REML",4,"ok","",0.805260630807161,0.478051366091096,-0.131702829491559,1.74222409110588,2.23727952680808,0.876601456477255,5.71002893514408
"CD000028_pub4_data","6::overall","6","overall","Withdrawal due to adverse effects",4,0,0,"RD","REML",4,"ok","",0.0652299173659433,0.0433979493817129,-0.0198285004251063,0.150288335156993,0.0652299173659433,-0.0198285004251063,0.150288335156993
"CD000028_pub4_data","1::1","1","1","All-cause mortality",12,0,0,"OR_cc","REML",12,"ok","",-0.23965120466964,0.0729442308902617,-0.382619270094527,-0.0966831392447535,0.786902281046646,0.682072535269141,0.907843620579263
"CD000028_pub4_data","1::1","1","1","All-cause mortality",12,0,0,"RD","REML",12,"ok","",-0.0146126549039716,0.00277143186873097,-0.0200445615522909,-0.00918074825565237,-0.0146126549039716,-0.0200445615522909,-0.00918074825565237
