"dataset_name","paired_analyses","mismatch_rate","issue1","issue1_count","issue1_rate","issue2","issue2_count","issue2_rate","issue3","issue3_count","issue3_rate","issue4","issue4_count","issue4_rate","issue5","issue5_count","issue5_rate"
"CD002122_pub3_data",14,1,"sparse_events",72,0.196,"duplicate_study",5,0.014,"double_zero",4,0.011,"",0,NA,"",0,NA
"CD003598_pub3_data",13,1,"ci_mismatch",552,0.849,"sparse_events",518,0.797,"double_zero",386,0.594,"exp_sd_le0",372,0.572,"ctrl_sd_le0",372,0.572
"CD004736_pub6_data",13,1,"ci_mismatch",1171,0.857,"exp_sd_le0",1142,0.836,"ctrl_sd_le0",1142,0.836,"sparse_events",549,0.402,"duplicate_study",494,0.362
"CD011689_pub4_data",12,1,"ci_mismatch",3302,0.901,"exp_sd_le0",3085,0.842,"ctrl_sd_le0",3085,0.842,"duplicate_study",1501,0.41,"sparse_events",1465,0.4
"CD014769_pub2_data",12,1,"exp_sd_le0",345,1,"ctrl_sd_le0",345,1,"ci_mismatch",345,1,"sparse_events",66,0.191,"duplicate_study",2,0.006
"CD015014_pub2_data",11,1,"exp_sd_le0",269,0.9,"ctrl_sd_le0",269,0.9,"ci_mismatch",240,0.803,"sparse_events",130,0.435,"double_zero",102,0.341
"CD002042_pub6_data",10,1,"sparse_events",278,0.305,"double_zero",89,0.098,"all_events",8,0.009,"",0,NA,"",0,NA
"CD011535_pub7_data",10,1,"duplicate_study",659,0.67,"sparse_events",78,0.079,"exp_sd_le0",35,0.036,"ctrl_sd_le0",35,0.036,"ci_mismatch",34,0.035
"CD006023_pub4_data",9,1,"ci_mismatch",777,0.872,"sparse_events",655,0.735,"exp_sd_le0",545,0.612,"ctrl_sd_le0",545,0.612,"double_zero",453,0.508
"CD015849_pub2_data",9,1,"exp_sd_le0",276,0.871,"ctrl_sd_le0",276,0.871,"ci_mismatch",245,0.773,"sparse_events",233,0.735,"double_zero",170,0.536
"CD006404_pub5_data",8,1,"sparse_events",235,0.614,"duplicate_study",122,0.319,"double_zero",81,0.211,"",0,NA,"",0,NA
"CD008176_pub3_data",8,1,"ci_mismatch",861,0.966,"sparse_events",623,0.699,"duplicate_study",530,0.595,"exp_sd_le0",485,0.544,"ctrl_sd_le0",485,0.544
