"dataset_name","analysis_key","analysis_number","subgroup_number","analysis_name","k","log_or","log_or_ci_lb","log_or_ci_ub","rd","rd_ci_lb","rd_ci_ub","or_sig","rd_sig","direction_match","mismatch_type","sparse_events","double_zero"
"CD000028_pub4_data","1::2",1,"2","All-cause mortality",11,0.0932493150659765,-0.112275250074066,0.298773880206019,0.0399949512151858,0.00109562825034308,0.0788942741800285,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD000143_pub2_data","2::overall",2,"overall","Endotracheal reintubation",23,-0.240630952618133,-0.554073512464801,0.0728116072285356,-0.0692555504467284,-0.137574243233744,-0.000936857659713242,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD000219_pub5_data","4::overall",4,"overall","Tympanic membrane perforation",7,-0.741655129157561,-1.4745339564142,-0.00877630190092582,-0.0167414916007323,-0.0361508894047324,0.0026679062032678,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD000219_pub5_data","5::overall",5,"overall","Contralateral otitis (in unilateral cases)",6,-0.435430088842618,-0.993564772979594,0.122704595294358,-0.0509061863009239,-0.099601333161406,-0.00221103944044176,FALSE,TRUE,TRUE,"significance_only",FALSE,FALSE
"CD000478_pub5_data","2::overall",2,"overall","Withdrawal due to adverse event",6,0.469376506878793,-0.291627289168017,1.2303803029256,0.0964145889662329,0.00926373329538287,0.183565444637083,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD000547_pub3_data","5::overall",5,"overall","Haemoglobin (preoperative)",25,-0.430563744150343,-0.808829066939871,-0.0522984213608142,-0.0385717406780236,-0.0793913542271233,0.00224787287107607,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD000547_pub3_data","6::overall",6,"overall","Postoperative morbidity (complications)",17,-0.749172512053013,-1.17649173979826,-0.321853284307771,-0.0149074373138737,-0.0340013574305625,0.00418648280281516,TRUE,FALSE,TRUE,"significance_only",TRUE,FALSE
"CD001155_pub3_data","4::overall",4,"overall","Wrist fractures",78,-0.258903149160523,-0.408375901813986,-0.109430396507059,-0.00179715119018787,-0.00568497056471581,0.00209066818434007,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD001155_pub3_data","6::overall",6,"overall","Withdrawals due to adverse events",40,-0.0175221304564189,-0.128062305300374,0.0930180443875357,0.00138003227089727,-0.00642630198600479,0.00918636652779932,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD001321_pub7_data","3::overall",3,"overall","Microbiological UTI: positive culture without known symptoms",8,-0.0353187757382847,-0.348810864256747,0.278173312780178,0.0143322263162177,-0.0252326987490909,0.0538971513815263,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD001321_pub7_data","5::overall",5,"overall","Gastrointestinal adverse events",10,0.334279996250128,-0.211570153510381,0.880130146010636,0.0080710934066093,0.00080373880766298,0.0153384480055556,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD001396_pub4_data","14::overall",14,"overall","Withdrawal due to adverse effects",26,0.234223902239026,-0.0349888309729762,0.503436635451027,0.0231949619015941,0.00339695112128241,0.0429929726819059,FALSE,TRUE,TRUE,"significance_only",TRUE,FALSE
"CD001431_pub6_data","1::overall",1,"overall","Informed values-choice congruence - all studies",437,0.0878065725772917,-0.0258150897684627,0.201428234923046,0.0269153465455197,0.00197309647122372,0.0518575966198158,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD001431_pub6_data","6::overall",6,"overall","Unclear values - old vs new studies",60,0.276397250757166,-0.101517737401048,0.65431223891538,0.0757616451729043,0.0152461086930892,0.136277181652719,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD001797_pub4_data","10::overall",10,"overall","Frequency of any side effects",3,1.49683600746359,0.770836371671796,2.22283564325538,0.210141204307698,-0.00885938138249381,0.42914178999789,TRUE,FALSE,TRUE,"significance_only",TRUE,FALSE
"CD001797_pub4_data","3::overall",3,"overall","Improvement ≥ 1 point on Rankin scale",5,0.880327102002256,-0.170883035962672,1.93153723996718,0.195636338194229,0.0418776986293676,0.349394977759089,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD001797_pub4_data","9::overall",9,"overall","Frequency of serious side effects",3,-0.238350754708517,-1.14755013561425,0.670848626197214,0.00342872467560969,-0.0494972326426615,0.0563546819938809,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD001909_pub4_data","5::overall",5,"overall","Somnolence",13,0.372785959428529,0.0452791676696823,0.700292751187375,0.0309194995917767,-0.00456941269287627,0.0664084118764296,TRUE,FALSE,TRUE,"significance_only",TRUE,TRUE
"CD001920_pub4_data","5::overall",5,"overall","Length of stay",141,-0.2182593643719,-0.471283541252354,0.0347648125085537,-0.0390783847551098,-0.0751974271201965,-0.00295934239002319,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD001920_pub4_data","6::overall",6,"overall","Adverse events",168,0.14414738056305,-0.131822929427141,0.420117690553241,0.0191211683220091,0.00384261253636482,0.0343997241076534,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD002042_pub6_data","11::overall",11,"overall","6-month mortality",2,0.272087163394509,-0.173710447772107,0.717884774561125,-0.0530739469391002,-0.323262076772857,0.217114182894657,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002042_pub6_data","13::overall",13,"overall","In-hospital mortality (as defined by triallists)",19,-0.142062167446524,-0.285521149964665,0.0013968150716176,-0.0110385014199588,-0.0176339989592867,-0.00444300388063088,FALSE,TRUE,TRUE,"significance_only",TRUE,TRUE
"CD002042_pub6_data","15::overall",15,"overall","Morbidity: cerebrovascular accident (CVA)",2,-0.0162237138279312,-2.28594369587419,2.25349626821832,5.80558234322239e-05,-0.0121806445452936,0.0122967561921581,FALSE,FALSE,FALSE,"direction_only",TRUE,FALSE
"CD002042_pub6_data","19::overall",19,"overall","Morbidity: cerebrovascular accident (CVA) – stroke",29,0.102421574981109,-0.070450377614356,0.275293527576574,-0.0021695806743043,-0.00534500495809229,0.00100584360948368,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD002042_pub6_data","2::8",2,"8","Participants exposed to blood transfusion by clinical specialties",5,-1.23829451758935,-2.12786034472032,-0.348728690458372,-0.153005548634281,-0.333829947457895,0.0278188501893333,TRUE,FALSE,TRUE,"significance_only",FALSE,FALSE
"CD002042_pub6_data","31::overall",31,"overall","Morbidity: renal failure requiring dialysis/replacement therapy",9,0.0567319694286414,-0.232178221932549,0.345642160789832,-0.00309815050326758,-0.0117128373134344,0.00551653630689926,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD002042_pub6_data","32::overall",32,"overall","Morbidity: delirium",10,0.186229592896295,0.0328616128829879,0.339597572909603,0.0101494747568422,-0.0105697689220715,0.030868718435756,TRUE,FALSE,TRUE,"significance_only",TRUE,FALSE
"CD002042_pub6_data","6::overall",6,"overall","30-day mortality",44,0.0181395361852598,-0.120833573139454,0.157112645509974,-0.0012885343373158,-0.00768515604950555,0.00510808737487396,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD002042_pub6_data","8::1",8,"1","30-day mortality: subgroup by clinical specialties (random-effects model)",5,0.00193620178726427,-0.334972179120217,0.338844582694746,-0.00183043165969036,-0.008695028847848,0.00503416552846727,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
"CD002042_pub6_data","9::1",9,"1","30-day mortality: subgroup by clinical specialties (fixed-effect model)",5,0.00193620178726427,-0.334972179120217,0.338844582694746,-0.00183043165969036,-0.008695028847848,0.00503416552846727,FALSE,FALSE,FALSE,"direction_only",TRUE,TRUE
