"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Khan 2016",2016,0,0,0,0,12,150,0,0,8,150,0,0,22.831553,1.5,0.631264,3.564279,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Khan 2021a",2021,0,0,0,0,3,90,0,0,8,90,0,0,16.161296,0.375,0.10278,1.368213,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Khan 2021b",2021,0,0,0,0,4,31,0,0,0,31,0,0,5.232776,9,0.50503,160.386473,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Kumar 2004",2004,0,0,0,0,4,20,0,0,0,20,0,0,5.30086,9,0.51622,156.909946,"We confirmed that the data of this study were correct. The statistical heterogeneity decreased significantly when we excluded this study.","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Kumar 2018",2018,0,0,0,0,3,23,0,0,4,23,0,0,15.061462,0.75,0.188519,2.983781,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Pathan 2018",2018,0,0,0,0,7,50,0,0,15,50,0,0,23.872633,0.466667,0.208228,1.045862,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,2,"Wound infection",NA,"SUBGROUP_AND_OVERALL","Ravi 2018",2018,0,0,0,0,3,30,0,0,2,30,0,0,11.53942,1.5,0.269639,8.344477,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","2::overall","CD011670_pub3_data","direction_only",FALSE,FALSE,FALSE,-0.0274699304082876,0.0173145975035861,-0.768151769754303,0.713211908937727,-0.0609329766100125,0.0955621716171846,TRUE,TRUE
1,3,"Abdominal abscess",NA,"SUBGROUP_AND_OVERALL","Khan 2016",2016,0,0,0,0,2,150,0,0,3,150,0,0,40.606556,0.666667,0.113009,3.932824,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","3::overall","CD011670_pub3_data","significance_only",TRUE,TRUE,FALSE,-1.32757081549354,-0.0688903800760823,-2.50553030746796,-0.149611323519122,-0.157420312339692,0.0196395521875276,TRUE,TRUE
1,3,"Abdominal abscess",NA,"SUBGROUP_AND_OVERALL","Khan 2021a",2021,0,0,0,0,0,90,0,0,1,90,0,0,12.590282,0.333333,0.01376,8.075049,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","3::overall","CD011670_pub3_data","significance_only",TRUE,TRUE,FALSE,-1.32757081549354,-0.0688903800760823,-2.50553030746796,-0.149611323519122,-0.157420312339692,0.0196395521875276,TRUE,TRUE
1,3,"Abdominal abscess",NA,"SUBGROUP_AND_OVERALL","Kumar 2018",2018,0,0,0,0,0,23,0,0,3,23,0,0,15.118808,0.142857,0.007793,2.618912,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011670.pub3/full","10.1002/14651858.CD011670.pub3","3::overall","CD011670_pub3_data","significance_only",TRUE,TRUE,FALSE,-1.32757081549354,-0.0688903800760823,-2.50553030746796,-0.149611323519122,-0.157420312339692,0.0196395521875276,TRUE,TRUE
