"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Huirne 2006","2006",0,0,0,0,2,91,0,0,3,91,0,0,0.439824,0.666667,0.114074,3.896106,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Lobo 2024","2024/07/01",0,0,0,0,12,221,0,0,11,216,0,0,2.161595,1.066228,0.480837,2.364296,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Papanikolaou 2012","2012",0,0,0,0,2,96,0,0,1,94,0,0,0.241289,1.958333,0.180603,21.234833,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Serafini 2006","2006",0,0,0,0,7,217,0,0,6,106,0,0,1.2077,0.569892,0.196379,1.65383,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","The European and Middle East Ogalutran Group 2001","2001",0,0,0,0,4,226,0,0,1,111,0,0,0.288584,1.964602,0.222193,17.370773,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Toftager 2016","2016",0,0,0,0,252,534,0,0,279,516,0,0,95.368377,0.87278,0.77417,0.983951,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Xavier 2005","2005",0,0,0,0,4,66,0,0,1,65,0,0,0.292631,3.939394,0.452328,34.308809,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
1,4,"Multiple pregnancy","High response",2,"SUBGROUP_AND_OVERALL","Haydardedeoglu 2012","2012",0,0,0,0,9,150,0,0,10,150,0,0,100,0.9,0.376439,2.151744,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","4::2","CD012586_pub2_data","direction_only",FALSE,FALSE,FALSE,-0.00206580679766546,0.00394583440937904,-0.561498415559696,0.557366801964365,-0.0370866839425299,0.044978352761288,TRUE,TRUE
2,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Badrawi 2005","2005",0,0,0,0,2,50,0,0,2,50,0,0,1.592345,1,0.146554,6.823446,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
2,2,"OHSS","Normal response",1,"SUBGROUP_AND_OVERALL","Barmat 2005","2005",0,0,0,0,0,39,0,0,0,41,0,0,NA,NA,NA,NA,NA,"https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012586.pub2/full","10.1002/14651858.CD012586.pub2","2::1","CD012586_pub2_data","significance_only",TRUE,FALSE,TRUE,-0.103337691902896,-0.00610671184980435,-0.255757978052273,0.0490825942464811,-0.0103931698535006,-0.00182025384610813,TRUE,TRUE
