"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
1,6,"Need for critical or intensive care (any reason)","","SUBGROUP_AND_OVERALL","AlQahatani 2022",2022,0,1.10102257572255,0,0,1,54,0,0,4,52,0,1.21225071225071,2.924407,0.240741,0.02782,2.083252,"","Low risk","<p>The allocation sequence was random. No information regarding allocation concealement but there is not much differences in the baseline characters, except for the number of diabetes patients :- 22% patients in Favipiravir group and 38% in control group.</p>","Low risk","<p>There was no deviations from the intended intervention and appropriate analysis was done.only 1 patient in the favipiravir group stopped taking medicine due to headache. (1/54)</p>","Low risk","<p>No outcomes were missing for need of critical care</p>","Low risk","<p>No bias in measurement.</p>","Low risk","<p>Clinical trials registration. NCT04387760. Registration date: 07/05/2020.ICU admission was mentioned and is reported,</p>","Low risk","<p>All the domains are low risk of bias.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
1,6,"Need for critical or intensive care (any reason)","","SUBGROUP_AND_OVERALL","Chuah 2021",2021,0,0.390200474444112,0,0,13,250,0,0,12,250,0,0.15225641025641,23.283845,1.083333,0.504223,2.327563,"","Low risk","<p>Subjects were randomized based on a central, computer-generated randomization scheme co-ordinated by REDCap. Even though, the mortality is high in the favipiravir group, and patients with baseline cardiac diseases were high in the favi group, the authors have done a regression analysis to identify the association.</p>","Low risk","<p>Only 2/250 in FVP group and 1/250 in the control group has undergone protocol deviation.ITT analysis was done</p>","Low risk","<p>97.4% completed the trial.</p>","Low risk","<p>The knowledge of intervention do not affect the measurement of outcome :- Mortality.</p>","Low risk","<p>ClinicalTrials.gov (NCT04818320):- reported the previously mentioned results according to the SAP.</p>","Low risk","<p>All domains are low ROB</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
1,6,"Need for critical or intensive care (any reason)","","SUBGROUP_AND_OVERALL","Ruzhentsova 2021",2021,0,1.14304313962668,0,0,3,112,0,0,1,56,0,1.30654761904762,2.713345,1.5,0.159636,14.094554,"","Low risk","<p>Randomization was performed using a web-response system after stratification by COVID-19 severity.The patients were randomised in a ratio of 2:1. Percentage s similar, but p value is not calculated. allocation sequence random and probably concealed</p>","Some concerns","<p>OPEN-LABEL STUDY</p><p>No mention of deviation from trial protocol.</p><p>No information on administration of co-interventions of interest: biologics, antivirals and corticosteroids; antivirals were part of standard of care, but no information is reported on who received these.<br>Hence, no information on whether deviations arose because of the trial context.</p><p>Statistical analysis was done on intended-to -treat populations which can be considered as an appropriate measure to detect the effect of interventions.</p>","Low risk","<p>&nbsp;106/112 and 53/56 completed the study. data available for all randomised.</p>","Low risk","<p>Measured the number of patients requiring critical care within the study period.</p><p>Open-label study</p><p>The outcome cannot be influenced by the knowledge of intervention.</p>","Low risk","<p>data produced as a result of pre-specified analysis plan-<a href=""440738418947059793"" type=""STUDY"">NCT04501783</a>, clinicaltrial.gov</p>","Some concerns","<p>some concerns</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
1,6,"Need for critical or intensive care (any reason)","","SUBGROUP_AND_OVERALL","Solaymani-Dodaran 2021",2021,0,0.248377822732799,0,0,31,196,0,0,25,183,0,0.0616915428254855,57.465163,1.157755,0.711536,1.883806,"Favipiravir versus lopinavir/ritonavir","Low risk","<p>“Sealed envelopes were used to protect the randomization sequence. We used a central allocation mechanism in which participating centers called a central randomization unit, and registered their eligible patients to receive the 4-digit unique code for assigned group identification” allocation sequence random and concealed.Baseline differences balanced between groups</p>","Low risk","<p>Open Label trial. No details about whether patients aware of their allocated treatment.No obvious deviation from intervention. Performed Modified ITT</p>","Low risk","<p>data for this outcome available for all, or nearly all, participants randomized</p>","Low risk","<p>the method of measuring the outcome &nbsp;was probably appropriate</p>","Some concerns","<p>no information in a pre-specified analysis plan</p>","Some concerns","<p>some concerns</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
1,6,"Need for critical or intensive care (any reason)","","SUBGROUP_AND_OVERALL","Tabarsi 2021",2021,0,0.510310363079829,0,0,5,32,0,0,8,30,0,0.260416666666667,13.61324,0.585938,0.215513,1.593046,"Favipiravir versus lopinavir/ritonavir","Low risk","<p>“The allocation was according to the block randomization method. 16 blocks, including 4 patients in each block, were generated by the Online Randomizer website (www.sealesenvelop.com/simple randomizer).”<br>Allocation sequence random and probably concealed</p>","Some concerns","<p>no information if participants, carers aware of assigned intervention during the trial</p>","Low risk","<p>data for this outcome available for all, or nearly all, participants randomized.</p><p>175Favipiravir and 178placebo</p>","Some concerns","<p>per protocol analysis used</p>","Some concerns","<p>no information if outcomes were analysed in accordance with a pre-specified analysis plan. protocol available but the analysis plan is unavailable.</p>","High risk","<p>high risk</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
1,13,"Need for admission to hospital (if ambulatory) – fixed-effect model","","SUBGROUP_AND_OVERALL","Bosaeed 2022",2022,0,0,0,0,6,122,0,0,2,122,0,0,6.436183,3,0.617613,14.572233,"","Low risk","<p>Patients were randomized in a 1:1 ratio to oral favipiravir or placebo. The randomization schedule was generated using the PLAN Procedure (SAS) with a block size of four, stratified by study site. The generated list was embedded in the Research Electronic Data Capture (REDCap) system to ensure allocation concealment.""<br>Allocation sequence random<br>Allocation sequence concealed</p>","Low risk","<p>“Participants, investigators, and study staff remained unaware of the treatment assignment. The Sponsor’s investigational drug unit, which is not part of the study team, held the information for treatment allocation.”<br>Blinded study (participants and personnel/carers)<br>intention-to-treat analysis. This method was considered appropriate to estimate the effect of assignment to intervention.</p>","Low risk","<p>245 participants randomized; 231 participants analyzed.</p><p>5% population recruited had missing data but the reasons are justified.-9 withdrew consent in favipiravir group + one randomised by error; 4 withdrew consent</p><p>Not likely that missingness depended on the true value of the outcome</p>","Low risk","<p>Method of measuring the outcome probably appropriate.<br>Measurement or ascertainment of outcome probably does not differ between groups.<br>Blinded study (outcome assessor).</p>","Low risk","<p>The protocol, statistical analysis plan, and registry were available.<br>Results were probably not selected from multiple outcome measurements or analyses of the data.<br>The trial was analyzed as pre-specified</p><p>blinded study outcome couldn't have been affected by knowledge of the intervention received.</p>","Low risk","<p>low risk<suggestion-start name=""insertion:e8f0fe893269988d2762f2ffa0263c4a9:z2107131433589017050335547402185""></suggestion-start> in all domains<suggestion-end name=""insertion:e8f0fe893269988d2762f2ffa0263c4a9:z2107131433589017050335547402185""></suggestion-end></p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","13::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00200743873727421,-0.00497392772109116,-0.987367295764429,0.991382173238977,-0.0679988815271602,0.0580510260849779,TRUE,FALSE
1,13,"Need for admission to hospital (if ambulatory) – fixed-effect model","","SUBGROUP_AND_OVERALL","Holubar 2021",2021,0,0,0,0,0,75,0,0,4,74,0,0,14.577315,0.109649,0.006008,2.001315,"","Low risk","<p>“Participants were randomized 1:1 to favipiravir or placebo using block, REDCap-implemented, 115 randomization stratified by age (&gt;=50 and &lt;50 years old) and sex.”<br>Allocation sequence random.<br>Allocation sequence concealed</p>","Low risk","<p>Double blinded</p><p>Intention to treat analysis&nbsp;</p><p>Statistical analysis plan available</p>","Some concerns","<p>149 participants were randomized and included in ITT</p><p>33 lost to follow up- excluded due to baseline negative PCR</p>","Low risk","<p>method of measuring the outcome probably appropriate.<br>Measurement or ascertainment of outcome probably does not differ between groups.<br>Blinded study (outcome assessor).</p><p>analysis plan available&nbsp;</p>","Low risk","<p>The registry was available (dated April 15, 2020).<br>Outcomes pre-specified.<br>Results were not selected from multiple outcome measurements or analyses of the data.<br>Trial analyzed as pre-specified.</p>","Some concerns","<p>some concerns<suggestion-start name=""insertion:e284368b39994a07eeed3ab3adf2bdcab:z2107131433589017050335547402185""></suggestion-start> in one domain<suggestion-end name=""insertion:e284368b39994a07eeed3ab3adf2bdcab:z2107131433589017050335547402185""></suggestion-end></p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","13::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00200743873727421,-0.00497392772109116,-0.987367295764429,0.991382173238977,-0.0679988815271602,0.0580510260849779,TRUE,FALSE
1,13,"Need for admission to hospital (if ambulatory) – fixed-effect model","","SUBGROUP_AND_OVERALL","McMahon 2022",2022,0,0,0,0,14,99,0,0,9,100,0,0,28.817281,1.571268,0.713156,3.461911,"","Low risk","<p>Randomisation was performed at the Alfred Hospital<br>Clinical Trials Pharmacy using computer generated<br>block-randomisation lists with a block size of 6 and a 1:1<br>allocation ratio of favipiravir to placebo. Randomisation<br>was stratified by study site.&nbsp;</p><p>All participants enrolled in<br>the community were considered as a single study site<br>&nbsp;Not hospitalised with resumption of normal activities, n (%)-29 (29.3%) vs 37 (37.4%)<br>Not hospitalised, but unable to resume normal activities, n (%)-70 (70.7%) 61 (61.6%)<br>Geometric mean viral load in copies/mL (95% CI) 537396 (323236, 893448) 700166 (332745, 1473299)# 424121 (208564, 862464)^ since primary outcome is log reduction from baseline that wouldnot contribute to bias</p>","Low risk","<p>Quadruple blinding (Participant, Care Provider, Investigator, Outcomes Assessor)</p><p>analysis used was an intention-to-treat analysis. This method was considered appropriate to estimate the effect of assignment to intervention.</p><p>''All participants who consented and were randomised<br>made up the intent-to-treat (ITT) population. The modified<br>intent-to-treat (mITT) consisted of all participants<br>who received at least one dose of study drug and had a<br>SARS-CoV-2 nasopharyngeal PCR. The per protocol<br>(PP) population consisted of all mITT participants who<br>adhered to study procedures including receipt of study<br>drug for 14 days. Comparisons were made using a chisquared<br>test for categorical outcomes. Time to virological<br>cure and other time-to event outcomes (resolution of<br>clinical symptoms, progression to hospitalisation) were<br>compared between the favipiravir and placebo arms<br>with the log-rank test using a Kaplan-Meier time to<br>event analysis''</p>","Low risk","<p>200 participants randomized; at least 190 participants analyzed</p><p>Data available for nearly all participants randomized.</p>","Low risk","<p>Method of measuring the outcome probably appropriate.<br>Measurement or ascertainment of outcome probably does not differ between groups.<br>Blinded study (outcome assessor).</p><p>''All participants who consented and were randomised<br>made up the intent-to-treat (ITT) population. The modified<br>intent-to-treat (mITT) consisted of all participants<br>who received at least one dose of study drug and had a<br>SARS-CoV-2 nasopharyngeal PCR. The per protocol<br>(PP) population consisted of all mITT participants who<br>adhered to study procedures including receipt of study<br>drug for 14 days. Comparisons were made using a chisquared<br>test for categorical outcomes''</p>","Low risk","<p>The protocol, statistical analysis plan, and registry were available (dated June 24, 2020).</p><p>data analysed based on pre-specified analysis plan&nbsp;</p>","Low risk","<p>low risk<suggestion-start name=""insertion:ec70239304b244c19718fa291a3711159:z2107131433589017050335547402185""></suggestion-start> in all domains<suggestion-end name=""insertion:ec70239304b244c19718fa291a3711159:z2107131433589017050335547402185""></suggestion-end></p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","13::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00200743873727421,-0.00497392772109116,-0.987367295764429,0.991382173238977,-0.0679988815271602,0.0580510260849779,TRUE,FALSE
1,13,"Need for admission to hospital (if ambulatory) – fixed-effect model","","SUBGROUP_AND_OVERALL","Tehrani 2022",2022,0,0,0,0,10,38,0,0,16,40,0,0,50.169221,0.657895,0.342239,1.264689,"","Low risk","<p>randomized at a 1:1 ratio into two groups of control and intervention (simple randomization using a random numbers table). Random concealment is also performed using sequentially numbered sealed opaque envelopes.</p><p>Allocation sequence probably random and concealed.</p>","Low risk","<p>Open label RCT</p><p>No deviations noted from the intended intervention that arose because of the trial context. The hopitalised patients were also followed up. There was no mention about the discontinuation of the favipiravir among the hospitalised patients.</p><p>appropriate analysis used -The ITT analysis was used</p>","Low risk","<p>Only the data of 2 Patients in the control and 1 patient in the intervention group is missing (3%) and hence it could be concluded that data for this outcome &nbsp;is available for all, or nearly all, participants randomized</p>","Low risk","<p>Hospitalisation is the outcome, which is a hard outcome and could not have been influenced by knowledge of the intervention</p>","Low risk","<p>protocol available-analysed in accordance with a pre-specified analysis plan -<a href=""440738490620113856"" type=""STUDY"">IRCT20211004052664N1</a></p><p>No multiple eligible outcome measurements were used to assess the outcome- clinical symptoms and hospitalisation was the outcome in the protocol and is presented in the main article</p><p>Randomised patients were used for outcome analysis.</p>","Low risk","<p>low risk<suggestion-start name=""insertion:e3bd5f66b88d34ad9538b2e1b97587b19:z2107131433589017050335547402185""></suggestion-start> in all domains<suggestion-end name=""insertion:e3bd5f66b88d34ad9538b2e1b97587b19:z2107131433589017050335547402185""></suggestion-end></p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","13::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00200743873727421,-0.00497392772109116,-0.987367295764429,0.991382173238977,-0.0679988815271602,0.0580510260849779,TRUE,FALSE
4,6,"Duration of hospitalization","","SUBGROUP_AND_OVERALL","Chuah 2021",2021,0,0,8.7,3.73,0,250,8.9,3.02,0,250,0,0,100,-0.2,-0.794917,0.394917,"","Low risk","<p>Subjects were randomized based on a central, computer-generated randomization scheme co-ordinated by REDCap. Even though, the mortality is high in the favipiravir group, and patients with baseline cardiac diseases were high in the favi group, the authors have done a regression analysis to identify the association.</p>","Low risk","<p>Only 2/250 in FVP group and 1/250 in the control group has undergone protocol deviation.ITT analysis was done</p>","Low risk","<p>97.4% completed the trial.</p>","Low risk","<p>The knowledge of intervention do not affect the measurement of outcome :- Duration of hospitalistaion</p>","Low risk","<p>ClinicalTrials.gov (NCT04818320):- reported the previously mentioned results according to the SAP.</p>","Low risk","<p>All domains had low ROB</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015219.pub2/full","10.1002/14651858.CD015219.pub2","6::overall","CD015219_pub2_data","direction_only",FALSE,FALSE,FALSE,0.00116625733592993,-0.000270526529861082,-0.417118280286226,0.419450794958086,-0.0258164383563576,0.0252753852966355,TRUE,TRUE
