"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Aniwan 2021",2021,0,0,0,0,2,250,0,0,2,250,0,0,1.140366,1,0.141974,7.043522,NA,"Low risk","<p>Quote: ""Participants were randomized in a 1:1:1:1 ratio into 4 groups (LCIþEAC, LCI alone, EAC alone, and standard HD colonoscopy) (Fig. 1) by computer-generated randomization."" and ""The sequence of allocation was concealed in a sealed envelope that was opened before the colonoscopy.""</p>","Low risk","<p>Participants and producers are not blind, but results are unlikely to be affected.</p><p>Intention-to-treat analysis</p>","Low risk","<p>No missing outcome data</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protocol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bais in bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Houwen 2022",2022,0,0.326531645018514,0,0,11,160,0,0,12,172,0,0.106622915198496,6.975299,0.985417,0.447537,2.169754,NA,"Low risk","<p>Quote: ""Randomisation was performed by an independent computer-generated random numbers program ( www.castoredc.nl, Castor Electronic Data Capture, Amsterdam, the Netherlands), with online access for all participating centres.""</p>","Low risk","<p>Boston Bowel Preparation Score &lt;6 and incomplete colonoscopy were excluded before randomization but may not influence the results.</p>","Low risk","<p>No missing outcome data</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protocol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Li 2023",2023,0,0.426780689145381,0,0,50,441,0,0,26,443,0,0.182141756627406,20.973564,1.931798,1.225396,3.045419,NA,"Low risk","<p>Quote: ""The recruited patients were randomly allocated to the WLI or LCI arm at a 1:1 ratio by using the sealed envelope method.""</p>","Some concerns","<p>Patients with a history of inflammatory bowel disease were excluded.</p>","Low risk","<p>In the LCI and WLI groups, 3 and 2 patients were excluded from obstruction by CRC, respectively, and 3 and 3 patients were excluded from not reaching the cecum, respectively. These deviations occurred randomly because colonoscopy could not be performed. Eight patients in the LCI group and seven in the WLI group were excluded because biopsy or resection specimens failed to yield histology. These deviations occurred randomly and by excluding no histrology by biopsy or resected specimens, the adenoma detection rate bwteen LCI and WLI can be evaluated more accurately.</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Low risk","<p>Study protocol is available, and all primary and secondary outcomes have been reported.</p>","Some concerns","<p>Risk of bias in bias due to deviations from intended interventions was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Miyaguchi 2021",2021,0,0,0,0,17,494,0,0,16,501,0,0,9.643753,1.077556,0.55069,2.108495,NA,"Low risk","<p>Quote: ""Anonymization was ensured by allocating codes specific to the study instead of using personal information, such as patient name and ID.""</p>","Low risk","<p>Participants with stenosis by colonic carcinoma and cecum intubation impossible were excluded before randomization but may influence the results.</p>","Low risk","<p>Modified intention-to-treat analysis</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protcol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Paggi 2020",2020,0,0,0,0,28,326,0,0,19,323,0,0,13.765031,1.460123,0.832475,2.560987,NA,"Low risk","<p>Quote: ""Randomization was based on computer-generated randomized block sequences and was stratified by gender, age (50-62 and 63-74 years), and screening history (first vs subsequent rounds).""</p>","Low risk","<p>Participants and producers are not blind, but results are unlikely to be affected.</p><p>Intention-to-treat analysis</p>","Low risk","<p>No missing outcome data</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protocol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Qi 2023",2023,0,0,0,0,0,97,0,0,11,2098,0,0,0.544842,0.931233,0.055276,15.688427,NA,"Low risk","<p>Quote: ""The investigators used a central customized system (https://uapkd.bioknow.net/#/) to generate random numbers for the group assignments for the eligible patients at each center.""</p>","Some concerns","<p>Patients with refusal were excluded after randomization. However, one person with refusal in each group is excluded, but the impact is small because the number of rejections is the same among each group and the number of rejections is small.</p>","Low risk","<p>One person in each group is excluded, but the impact is small because the number of rejections is the same among each group and the number of rejections is small.</p>","Some concerns","<p>Study protocol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bais in selection of the reported result was some concern.</p>","Some concerns","<p>Risks of bias due to deviations from intended interventions and in selection of the reported result were some concerns.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
2,2,"Sessile serrated lesion detection rate","",NA,"SUBGROUP_AND_OVERALL","Suzuki 2023",2023,0,0,0,0,111,1527,0,0,61,1523,0,0,46.957144,1.814905,1.338865,2.460205,NA,"Low risk","<p>Quote: ""Randomization was performed via dynamic balancing using the minimization 12 method, with stratification by age (&lt;60 versus ≥60 years), sex (male versus female), pretrial history of colonoscopy (yes versus no), and institution. A computer-generated randomization list, pre-ordered for each stratum, was used. The randomization sequence was concealed for all investigators. The patients and investigators were not blinded to observation group allocation.</p>","Low risk","<p>Participants and producers are not blind, but results are unlikely to be affected.</p><p>Intention-to-treat analysis</p>","Low risk","<p>No missing outcome data</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Low risk","<p>Study protocol is available, and all primary and secondary outcomes have been reported.</p>","Low risk","<p>All domains are low risk of bias.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","2::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.505784018742404,0.0133251803054642,0.284427705551701,0.727140331933108,-0.00302150830385679,0.0296718689147853,TRUE,FALSE
3,12,"Serrated adenoma detection rate excluding studies that included patients with Lynch syndrome","",NA,"SUBGROUP_AND_OVERALL","Aniwan 2021",2021,0,0,0,0,2,250,0,0,2,250,0,0,1.225875,1,0.141974,7.043522,NA,"Low risk","<p>Quote: ""Participants were randomized in a 1:1:1:1 ratio into 4 groups (LCIþEAC, LCI alone, EAC alone, and standard HD colonoscopy) (Fig. 1) by computer-generated randomization."" and ""The sequence of allocation was concealed in a sealed envelope that was opened before the colonoscopy.""</p>","Low risk","<p>Participants and producers are not blind, but results are unlikely to be affected.</p><p>Intention-to-treat analysis</p>","Low risk","<p>No missing outcome data</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protocol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bais in bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","12::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.543919650202995,0.014622700753988,0.314613602298574,0.773225698107416,-0.00310137111034352,0.0323467726183195,TRUE,FALSE
3,12,"Serrated adenoma detection rate excluding studies that included patients with Lynch syndrome","",NA,"SUBGROUP_AND_OVERALL","Li 2023",2023,0,0.426780689145381,0,0,50,441,0,0,26,443,0,0.182141756627406,22.546231,1.931798,1.225396,3.045419,NA,"Low risk","<p>Quote: ""The recruited patients were randomly allocated to the WLI or LCI arm at a 1:1 ratio by using the sealed envelope method.""</p>","Some concerns","<p>Patients with a history of inflammatory bowel disease were excluded.</p>","Low risk","<p>In the LCI and WLI groups, 3 and 2 patients were excluded from obstruction by CRC, respectively, and 3 and 3 patients were excluded from not reaching the cecum, respectively. These deviations occurred randomly because colonoscopy could not be performed. Eight patients in the LCI group and seven in the WLI group were excluded because biopsy or resection specimens failed to yield histology. These deviations occurred randomly and by excluding no histrology by biopsy or resected specimens, the adenoma detection rate bwteen LCI and WLI can be evaluated more accurately.</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Low risk","<p>Study protocol is available, and all primary and secondary outcomes have been reported.</p>","Some concerns","<p>Risk of bias in bias due to deviations from intended interventions was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","12::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.543919650202995,0.014622700753988,0.314613602298574,0.773225698107416,-0.00310137111034352,0.0323467726183195,TRUE,FALSE
3,12,"Serrated adenoma detection rate excluding studies that included patients with Lynch syndrome","",NA,"SUBGROUP_AND_OVERALL","Miyaguchi 2021",2021,0,0,0,0,17,494,0,0,16,501,0,0,10.366873,1.077556,0.55069,2.108495,NA,"Low risk","<p>Quote: ""Anonymization was ensured by allocating codes specific to the study instead of using personal information, such as patient name and ID.""</p>","Low risk","<p>Participants with stenosis by colonic carcinoma and cecum intubation impossible were excluded before randomization but may influence the results.</p>","Low risk","<p>Modified intention-to-treat analysis</p>","Low risk","<p>Probably outcome assessment is not blinded, but unlikely to be influenced by the results.</p>","Some concerns","<p>Study protcol did not mention serrated adenoma detection rate.</p>","Some concerns","<p>Risk of bias in selection of the reported result was some concern.</p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015476.pub2/full","10.1002/14651858.CD015476.pub2","12::overall","CD015476_pub2_data","significance_only",TRUE,TRUE,FALSE,0.543919650202995,0.014622700753988,0.314613602298574,0.773225698107416,-0.00310137111034352,0.0323467726183195,TRUE,FALSE
