"Analysis.group","Analysis.number","Analysis.name","Subgroup","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","Bias.arising.from.the.randomization.process.judgement","Bias.arising.from.the.randomization.process.support","Bias.due.to.deviations.from.intended.interventions.judgement","Bias.due.to.deviations.from.intended.interventions.support","Bias.due.to.missing.outcome.data.judgement","Bias.due.to.missing.outcome.data.support","Bias.in.measurement.of.the.outcome.judgement","Bias.in.measurement.of.the.outcome.support","Bias.in.selection.of.the.reported.result.judgement","Bias.in.selection.of.the.reported.result.support","Overall.bias.judgement","Overall.bias.support","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
2,9,"Ventilatory problems","","SUBGROUP_AND_OVERALL","Avilés-Jurado 2020",2020,0,0,0,0,5,32,0,0,1,18,0,0,100,2.8125,0.355637,22.242239,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","9::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.394085862349389,-0.064135594559835,-0.649101754118,-0.139069970580778,-0.1363167454489,0.00804555632923032,FALSE,FALSE
3,9,"Ventilator-associated pneumonia","","SUBGROUP_AND_OVERALL","Battaglini 2021",2021,0,0,0,0,24,76,0,0,33,77,0,0,14.454097,0.736842,0.484351,1.120957,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","9::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.394085862349389,-0.064135594559835,-0.649101754118,-0.139069970580778,-0.1363167454489,0.00804555632923032,FALSE,FALSE
3,9,"Ventilator-associated pneumonia","","SUBGROUP_AND_OVERALL","Hernandez 2022",2022,0,0,0,0,142,382,0,0,141,300,0,0,80.939782,0.79091,0.662409,0.94434,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","9::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.394085862349389,-0.064135594559835,-0.649101754118,-0.139069970580778,-0.1363167454489,0.00804555632923032,FALSE,FALSE
3,9,"Ventilator-associated pneumonia","","SUBGROUP_AND_OVERALL","Mahmood 2021",2021,0,0,0,0,4,9,0,0,71,109,0,0,4.606121,0.682316,0.324491,1.434724,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","9::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.394085862349389,-0.064135594559835,-0.649101754118,-0.139069970580778,-0.1363167454489,0.00804555632923032,FALSE,FALSE
3,10,"Need for renal replacement therapy","","SUBGROUP_AND_OVERALL","Arnold 2022",2022,0,0,0,0,0,14,0,0,23,58,0,0,100,0.083688,0.005386,1.300235,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","10::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.448142302876319,-0.124776338155894,-0.717488193058527,-0.178796412694111,-0.251009792403133,0.00145711609134513,TRUE,FALSE
3,14,"ICU length of stay","","SUBGROUP_AND_OVERALL","Arnold 2022",2022,0,0,35.5,17.5,0,14,42.2,13,0,58,0,0,100,-6.7,-16.458336,3.058336,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","14::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,1.94267577203542,0.0752290303390839,0.0238774772038859,3.86147406686696,-0.0373625042807949,0.187820564958963,TRUE,TRUE
3,15,"Hospital length of stay","","SUBGROUP_AND_OVERALL","Arnold 2022",2022,0,0,41.7,17.5,0,14,47.1,15.1,0,58,0,0,100,-5.4,-15.35658,4.55658,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","15::overall","CD015532_data","direction_only",FALSE,FALSE,FALSE,0.0771265700461175,-0.0751023800764311,-2.04741469133875,2.20166783143099,-0.291703581244571,0.141498821091709,TRUE,TRUE
4,9,"Adverse events","RCT: early ≤ 10 days vs late > 10 days","SUBGROUP_AND_OVERALL","Eeg‑Olofsson 2022",2022,0,0,0,0,53,72,0,0,61,78,0,0,100,0.941257,0.785221,1.1283,NA,"Some concerns","<p>No information regarding allocation concealment</p>","Low risk","<p>There were no deviations from intended interventions, patients were blinded and an appropriate analysis was used to estimate the effect of assignment to intervention. </p>","Low risk","<p>Outcome data was available for all patients</p>","Some concerns","<p>Outcome assessors were not blinded. Thus, assessment of the outcome could have been influenced by knowledge of intervention received. </p>","Low risk","<p>Selection of reported results was done appropriately, a research protocol was prepared</p>","Some concerns","<p>No information regarding allocation concealment was available and outcome assessors were not blinded. </p>","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","9::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.394085862349389,-0.064135594559835,-0.649101754118,-0.139069970580778,-0.1363167454489,0.00804555632923032,FALSE,FALSE
4,10,"Ventilator-associated pneumonia","Early ≤ 14 (± 1) days vs late > 14 (± 1) days","SUBGROUP_AND_OVERALL","Battaglini 2021",2021,0,0,0,0,24,76,0,0,33,77,0,0,14.454097,0.736842,0.484351,1.120957,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","10::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.448142302876319,-0.124776338155894,-0.717488193058527,-0.178796412694111,-0.251009792403133,0.00145711609134513,TRUE,FALSE
4,10,"Ventilator-associated pneumonia","Early ≤ 14 (± 1) days vs late > 14 (± 1) days","SUBGROUP_AND_OVERALL","Hernandez 2022",2022,0,0,0,0,142,382,0,0,141,300,0,0,80.939782,0.79091,0.662409,0.94434,NA,"","","","","","","","","","","","","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015532/full","10.1002/14651858.CD015532","10::overall","CD015532_data","significance_only",TRUE,TRUE,FALSE,-0.448142302876319,-0.124776338155894,-0.717488193058527,-0.178796412694111,-0.251009792403133,0.00145711609134513,TRUE,FALSE
