"Analysis.group","Analysis.number","Analysis.name","Subgroup","Subgroup.number","Applicability","Study","Study.year","GIV.Mean","GIV.SE","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","O.E","Variance","Weight","Mean","CI.start","CI.end","Footnotes","review.url","review.doi","analysis_key","dataset_name","mismatch_type","direction_match","or_sig","rd_sig","log_or","rd","log_or_ci_lb","log_or_ci_ub","rd_ci_lb","rd_ci_ub","sparse_events","double_zero"
2,3,"Improvement in muscle strength (assessed with change in MMT8) (GIV analysis)","Abatacept immediate vs placebo (at 3 or 6 months)",1,"SUBGROUP_AND_OVERALL","ARTEMIS",2011,7.4,3.377886,0,0,0,9,0,0,0,10,0,0.242414430736,32.079993,7.4,0.779465,14.020535,"3-month data before initiation of delayed start abatacept.","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","3::1","CD015854_data","significance_only",TRUE,FALSE,TRUE,1.21698976025534,0.324796328446429,-0.136228411363478,2.57020793187415,0.0174577374901055,0.632134919402753,TRUE,TRUE
2,3,"Improvement in muscle strength (assessed with change in MMT8) (GIV analysis)","Abatacept immediate vs placebo (at 3 or 6 months)",1,"SUBGROUP_AND_OVERALL","NCT02971683",2017,1.8,2.321471,0,0,0,0,0,0,0,0,0,5.389227603841,67.920007,1.8,-2.75,6.35,"Adjusted mean difference. 6-month data. Number of participants in analysis unclear.","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","3::1","CD015854_data","significance_only",TRUE,FALSE,TRUE,1.21698976025534,0.324796328446429,-0.136228411363478,2.57020793187415,0.0174577374901055,0.632134919402753,TRUE,TRUE
3,5,"Serious adverse event","Zilucoplan",1,"SUBGROUP_AND_OVERALL","NCT04025632",2019,0,1.4650225966828,0,0,0,12,0,0,3,15,0,2.14629120879121,100,0.175824,0.009955,3.105332,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","5::1","CD015854_data","direction_only",FALSE,FALSE,FALSE,0.0802872515985147,-0.0474240060021518,-1.89214971610831,2.05272421930534,-0.313855588492137,0.219007576487834,TRUE,TRUE
4,3,"Withdrawals for either lack of benefit or adverse events","Low dose (0.6 mg/kg)",1,"SUBGROUP_AND_OVERALL","NCT02612857",2015,0,0.79455215770466,0,0,4,9,0,0,2,11,0,0.631313131313131,0,2.444444,0.572892,10.430082,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","3::1","CD015854_data","significance_only",TRUE,FALSE,TRUE,1.21698976025534,0.324796328446429,-0.136228411363478,2.57020793187415,0.0174577374901055,0.632134919402753,TRUE,TRUE
6,5,"Serious adverse event","Lenabasam 20 mg ",1,"SUBGROUP_AND_OVERALL","DETERMINE",2022,0,0.655557833198484,0,0,8,69,0,0,3,71,0,0.429756072667891,100,2.743961,0.759217,9.917217,"20 mg twice daily","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","5::1","CD015854_data","direction_only",FALSE,FALSE,FALSE,0.0802872515985147,-0.0474240060021518,-1.89214971610831,2.05272421930534,-0.313855588492137,0.219007576487834,TRUE,TRUE
6,5,"Serious adverse event","Lenabasam 20 mg ",1,"SUBGROUP_AND_OVERALL","NCT02466243",2015,0,0,0,0,0,11,0,0,0,11,0,0,NA,NA,NA,NA,"Once daily on days 1-28, then twice daily on days 29-84.","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","5::1","CD015854_data","direction_only",FALSE,FALSE,FALSE,0.0802872515985147,-0.0474240060021518,-1.89214971610831,2.05272421930534,-0.313855588492137,0.219007576487834,TRUE,TRUE
8,3,"Improvement of muscle strength (assessed with change in MMT24, measured at 12 weeks)","Siponimod 0.5 mg ",1,"SUBGROUP_AND_OVERALL","NCT02029274",2013,0,0,26.09,7.06,0,4,32.32,7.1,0,4,0,0,100,-6.23,-16.042238,3.582238,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","3::1","CD015854_data","significance_only",TRUE,FALSE,TRUE,1.21698976025534,0.324796328446429,-0.136228411363478,2.57020793187415,0.0174577374901055,0.632134919402753,TRUE,TRUE
8,6,"Serious adverse event","Siponimod dosage 10 mg ",3,"SUBGROUP_AND_OVERALL","NCT01148810",2010,0,1.05277411315692,0,0,0,8,0,0,3,10,0,1.10833333333333,63.923337,0.174603,0.010312,2.956393,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","6::3","CD015854_data","significance_only",TRUE,FALSE,TRUE,-0.897830719247982,-0.272815533980582,-2.78906222724623,0.993400788750269,-0.529818869145548,-0.0158121988156172,TRUE,TRUE
8,6,"Serious adverse event","Siponimod dosage 10 mg ",3,"SUBGROUP_AND_OVERALL","NCT01801917",2013,0,1.48604620834392,0,0,0,2,0,0,0,5,0,2.20833333333333,NA,NA,NA,NA,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","6::3","CD015854_data","significance_only",TRUE,FALSE,TRUE,-0.897830719247982,-0.272815533980582,-2.78906222724623,0.993400788750269,-0.529818869145548,-0.0158121988156172,TRUE,TRUE
8,6,"Serious adverse event","Siponimod dosage 10 mg ",3,"SUBGROUP_AND_OVERALL","NCT02029274",2013,0,0,0,0,1,4,0,0,2,5,0,0,36.076663,0.625,0.08388,4.656955,"","https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015854/full","10.1002/14651858.CD015854","6::3","CD015854_data","significance_only",TRUE,FALSE,TRUE,-0.897830719247982,-0.272815533980582,-2.78906222724623,0.993400788750269,-0.529818869145548,-0.0158121988156172,TRUE,TRUE
