"dataset_name","n_rows","issue_rows","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"CD002122_pub3_data",367,72,0,0,0,0,0,0,0,0,0,0,4,0,72,0,0,0,0,0,0
"CD003598_pub3_data",650,650,0,0,0,0,0,0,0,0,0,0,386,0,518,372,372,0,0,0,552
"CD004736_pub6_data",1366,1366,0,0,0,0,0,0,0,0,0,0,419,0,549,1142,1142,0,0,0,1171
"CD011689_pub4_data",3665,3665,0,0,0,0,0,0,0,0,0,0,928,0,1465,3085,3085,0,0,0,3302
"CD014769_pub2_data",345,345,0,0,0,0,0,0,0,0,0,0,0,0,66,345,345,0,0,0,345
"CD015014_pub2_data",299,299,0,0,0,0,6,6,0,0,0,0,102,6,130,269,269,0,0,0,240
"CD002042_pub6_data",912,286,0,0,0,0,0,0,0,0,0,0,89,8,278,0,0,0,0,0,0
"CD011535_pub7_data",984,115,0,0,0,0,0,0,0,0,0,0,15,2,78,35,35,0,0,0,34
"CD006023_pub4_data",891,891,0,0,0,0,0,0,0,0,0,0,453,0,655,545,545,0,0,0,777
"CD015849_pub2_data",317,317,0,0,0,0,34,34,0,0,0,0,170,34,233,276,276,0,0,0,245
"CD006404_pub5_data",383,235,0,0,0,0,0,0,0,0,0,0,81,0,235,0,0,0,0,0,0
"CD008176_pub3_data",891,891,0,0,0,0,0,0,0,0,0,0,436,0,623,485,485,0,0,0,861
"CD004661_pub4_data",492,492,0,0,0,0,22,22,0,0,0,0,99,22,138,446,446,0,0,0,437
"CD011762_pub2_data",2017,2017,0,0,0,0,0,0,0,0,0,0,214,0,838,1889,1889,0,0,0,1850
"CD014965_pub2_data",177,177,0,0,0,0,0,0,0,0,0,0,85,0,126,95,95,0,0,0,143
"CD002112_pub2_data",233,233,0,0,0,0,0,0,0,0,0,0,79,0,102,156,155,0,0,0,223
"CD003414_pub4_data",135,135,0,0,0,0,0,0,0,0,0,0,19,0,34,116,116,0,0,0,135
"CD003594_pub7_data",171,171,0,0,0,0,0,0,0,0,0,0,25,1,67,150,150,0,0,0,167
"CD003962_pub3_data",239,239,0,0,0,0,0,0,0,0,0,0,162,0,188,84,84,0,0,0,230
"CD006475_pub3_data",222,222,0,0,0,0,0,0,0,0,0,0,0,0,18,222,222,0,0,0,222
"CD010966_pub4_data",1244,1244,0,0,0,0,3,3,0,0,0,0,361,8,877,1028,1028,0,0,0,1104
"CD013781_pub2_data",449,449,0,0,0,0,0,0,0,0,0,0,193,2,258,298,298,0,0,0,407
"CD014937_pub2_data",652,652,0,0,0,0,0,0,0,0,0,0,133,0,238,633,633,0,0,0,536
"CD015215_pub2_data",213,213,0,0,0,0,63,63,0,0,0,0,146,66,160,131,131,0,0,0,183
"CD016031_data",252,169,0,0,0,0,0,0,0,0,0,0,78,0,140,106,106,0,0,0,118
"CD004953_pub5_data",163,163,0,0,0,0,0,0,0,0,0,0,39,1,75,150,152,0,0,0,135
"CD006257_pub2_data",544,544,0,0,0,0,0,0,0,0,0,0,183,0,283,530,530,0,0,0,375
"CD006689_pub3_data",295,295,0,0,0,0,8,8,0,0,0,0,65,8,115,269,269,0,0,0,260
"CD011575_pub3_data",68,68,0,0,0,0,0,0,0,0,0,0,8,0,8,60,60,0,0,0,68
"CD012067_pub3_data",416,416,0,0,0,0,0,0,0,0,0,0,206,0,264,213,213,0,0,0,385
"CD012503_pub3_data",316,316,0,0,0,0,0,0,0,0,0,0,70,0,133,259,259,0,0,0,251
"CD012905_pub2_data",101,101,0,0,0,0,0,0,0,0,0,0,33,0,52,74,74,0,0,0,95
"CD013614_pub2_data",541,541,0,0,0,0,0,0,0,0,0,0,214,0,242,331,331,0,0,0,533
"CD013800_pub2_data",140,140,0,0,0,0,0,0,0,0,0,0,11,0,18,129,129,0,0,0,139
"CD014820_pub2_data",687,687,0,0,0,0,0,0,0,0,0,0,213,0,388,557,557,0,0,0,558
"CD014844_pub2_data",40,40,0,0,0,0,0,0,0,0,0,0,2,0,11,40,40,0,0,0,38
"CD015331_pub2_data",984,984,0,0,0,0,0,0,0,0,0,0,804,0,855,187,187,0,0,0,977
"CD015588_pub2_data",441,441,0,0,0,0,58,58,0,0,0,0,252,58,288,426,426,0,0,0,378
"CD015746_pub2_data",89,89,0,0,0,0,0,0,0,0,0,0,28,0,40,89,89,0,0,0,89
"CD016168_data",45,45,0,0,0,0,0,0,0,0,0,0,10,0,26,40,40,0,0,0,40
"CD005133_pub4_data",174,174,0,0,0,0,0,0,0,0,0,0,7,0,71,174,174,0,0,0,167
"CD006606_pub5_data",30,30,0,0,0,0,0,0,0,0,0,0,0,0,4,30,30,0,0,0,30
"CD007026_pub7_data",56,56,0,0,0,0,0,0,0,0,0,0,4,0,20,56,56,0,0,0,52
"CD007572_pub4_data",71,71,0,0,0,0,0,0,0,0,0,0,8,0,11,63,63,0,0,0,67
"CD008564_pub3_data",281,281,0,0,0,0,0,0,0,0,0,0,16,0,19,265,265,0,0,0,265
"CD008709_pub4_data",353,353,0,0,0,0,0,0,0,0,0,0,44,0,157,340,340,0,0,0,322
"CD009235_pub4_data",831,831,0,0,0,0,0,0,0,0,0,0,660,0,718,223,223,0,0,0,623
"CD009531_pub3_data",136,136,0,0,0,0,1,1,0,0,0,0,109,1,113,28,28,0,0,0,135
"CD009749_pub3_data",124,124,0,0,0,0,0,0,0,0,0,0,8,0,59,124,124,0,0,0,115
"CD010861_pub3_data",196,101,0,0,0,0,0,0,0,0,0,0,70,4,97,0,0,0,0,0,14
"CD011858_pub2_data",74,74,0,0,0,0,0,0,0,0,0,0,24,0,57,51,51,0,0,0,73
"CD012429_pub2_data",105,105,0,0,0,0,0,0,0,0,0,0,21,0,50,84,84,0,0,0,102
"CD012712_pub2_data",515,515,0,0,0,0,0,0,0,0,0,0,105,0,199,464,464,0,0,0,461
"CD012850_pub2_data",104,104,0,0,0,0,0,0,0,0,0,0,65,0,72,39,39,0,0,0,104
"CD013071_pub2_data",201,201,0,0,0,0,0,0,0,0,0,0,138,0,177,91,91,0,0,0,173
"CD013232_pub2_data",1540,1540,0,0,0,0,0,0,0,0,0,0,251,0,875,1298,1298,0,0,0,1530
"CD013278_pub3_data",223,223,0,0,0,0,0,0,0,0,0,0,47,0,84,192,192,0,0,0,207
"CD013366_pub2_data",140,140,0,0,0,0,0,0,0,0,0,0,19,0,65,131,131,0,0,0,130
"CD013539_pub2_data",321,321,0,0,0,0,0,0,0,0,0,0,39,1,88,321,321,0,0,0,301
"CD013715_pub2_data",91,91,0,0,0,0,0,0,0,0,0,0,30,0,45,73,73,0,0,0,73
"CD013816_pub2_data",90,90,0,0,0,0,0,0,0,0,0,0,36,0,68,85,85,0,0,0,59
"CD013830_pub2_data",150,150,0,0,0,0,0,0,0,0,0,0,18,0,50,140,140,0,0,0,142
"CD014741_pub2_data",212,212,0,0,0,0,0,0,0,0,0,0,106,1,163,211,211,0,0,0,210
"CD014959_pub2_data",62,62,0,0,0,0,0,0,0,0,0,0,0,0,10,62,62,0,0,0,62
"CD015255_pub2_data",104,104,0,0,0,0,2,2,0,0,0,0,15,2,17,91,91,0,0,0,103
"CD015532_data",139,139,0,0,0,0,0,0,0,0,0,0,36,0,45,111,111,0,0,0,139
"CD015824_pub2_data",90,90,0,0,0,0,0,0,0,0,0,0,32,0,44,59,59,0,0,0,57
"CD016131_data",70,70,0,0,0,0,0,0,0,0,0,0,15,0,25,70,70,0,0,0,54
"CD001797_pub4_data",44,44,0,0,0,0,1,1,0,0,0,0,22,1,28,25,25,0,0,0,38
"CD003376_pub4_data",276,276,0,0,0,0,0,0,0,0,0,0,90,0,166,276,276,0,0,0,186
"CD003429_pub5_data",33,33,0,0,0,0,0,0,0,0,0,0,23,0,26,10,10,0,0,0,19
"CD006182_pub3_data",79,79,0,0,0,0,0,0,0,0,0,0,11,0,21,69,69,0,0,0,78
"CD006536_pub5_data",956,956,0,0,0,0,0,0,0,0,0,0,440,0,848,532,532,0,0,0,940
"CD006913_pub3_data",885,885,0,0,0,0,0,0,0,0,0,0,750,10,750,136,136,0,0,0,549
"CD007784_pub3_data",934,934,0,0,0,0,0,0,0,0,0,0,654,0,724,302,302,0,0,0,907
"CD008309_pub3_data",160,160,0,0,0,0,0,0,0,0,0,0,67,0,94,139,139,0,0,0,114
"CD009298_pub3_data",333,156,0,0,0,0,0,0,0,0,0,0,109,2,156,0,0,0,0,0,0
