"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Barbosa-Cesnik 2011",2011,"Symptomatic UTI: culture-verified UTI",1,31,155,23,164,0,0,0,0,0,0,1.426087,0.871323,2.334065,0,4.839321,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Kontiokari 2001",2001,"Symptomatic UTI: culture-verified UTI",1,8,46,18,45,0,0,0,0,0,0,0.434783,0.210707,0.897149,0,3.450622,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Maki 2016",2016,"Symptomatic UTI: culture-verified UTI",1,30,185,34,188,0,0,0,0,0,0,0.896661,0.573438,1.402073,0,5.154905,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Sengupta 2011",2011,"Symptomatic UTI: culture-verified UTI",1,4,44,4,13,0,0,0,0,0,0,0.295455,0.085489,1.021111,0,1.69892,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stapleton 2012",2012,"Symptomatic UTI: culture-verified UTI",1,33,120,17,56,0,0,0,0,0,0,0.905882,0.554026,1.481199,0,4.845991,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Stothers 2002",2002,"Symptomatic UTI: culture-verified UTI",1,19,100,16,50,0,0,0,0,0,0,0.59375,0.335155,1.051868,0,4.319632,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Takahashi 2013",2013,"Symptomatic UTI: culture-verified UTI",1,32,107,38,106,0,0,0,0,0,0,0.834235,0.567089,1.227229,0,5.586694,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Vostalova 2015",2015,"Symptomatic UTI: culture-verified UTI",1,9,83,24,93,0,0,0,0,0,0,0.420181,0.20728,0.851754,0,3.542254,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Caljouw 2014",2014,"Symptomatic UTI: culture-verified UTI",1,62,458,62,470,0,0,0,0,0,0,1.026201,0.739493,1.424068,0,5.998178,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Juthani-Mehta 2016",2016,"Symptomatic UTI: culture-verified UTI",1,9,92,9,93,0,0,0,0,0,0,1.01087,0.4202,2.431838,0,2.760034,"1::overall","CD001321_pub7_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
