"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Aladjem 1982",1982,"Mean number of wet nights at the end of treatment",1,1,0,15,0,17,1.52,2.15,4.4,1.94,0,0,-2.88,-4.306276,-1.453724,0,3.635212,"1::1","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Kjoller 1984",1984,"Mean number of wet nights at the end of treatment",1,1,0,13,0,6,2.49,2.52,3.84,2.13,0,0,-1.35,-3.536605,0.836605,0,2.34349,"1::1","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Ferrara 2008",2008,"Mean number of wet nights at the end of treatment",1,2,0,50,0,51,2.4,2.8,6.4,0.7,0,0,-4,-4.79953,-3.20047,0,5.048325,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Folwell 1997#",NA,"Mean number of wet nights at the end of treatment",1,2,0,31,0,31,3.24,2.5,4.86,1.95,0,0.569309197795295,-1.62,-2.736103,-0.503897,0.324112962694322,4.318546,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Janknegt 1990#",1990,"Mean number of wet nights at the end of treatment",1,2,0,22,0,11,3.4,2.5,5.3,1.8,0,0.760681512616393,-1.9,-3.390908,-0.409092,0.578636363636364,3.502697,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kjoller 1984",1984,"Mean number of wet nights at the end of treatment",1,2,0,12,0,6,2.45,1.84,3.84,2.13,0,0,-1.39,-3.387129,0.607129,0,2.611254,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Rushton 1995",1995,"Mean number of wet nights at the end of treatment",1,2,0,49,0,24,3.96,2.37,4.9,1.64,0,0.476127376771767,-0.94,-1.873193,-0.006807,0.226697278911565,4.742275,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Schulman 2001",2001,"Mean number of wet nights at the end of treatment",1,2,0,44,0,16,4,1.33,4.5,1.37,0,0.283083583558751,-0.5,-1.277858,0.277858,0.0801363152804642,5.096879,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Segni 1982",1982,"Mean number of wet nights at the end of treatment",1,2,0,20,0,20,2.2,1.34,4.2,1.79,0,0,-2,-2.979953,-1.020047,0,4.633766,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Sener 1998",1998,"Mean number of wet nights at the end of treatment",1,2,0,31,0,25,1.1,1.39,5.1,2,0,0,-4,-4.924151,-3.075849,0,4.763213,"1::2","CD002112_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
