"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Falsetti 2008",2008,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,22,0,31,43.71,29.34,67.32,26.43,0,0,-0.840803,-1.411948,-0.269657,0,5.238546,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,23,0,5,11.7,7.32,26.93,8.47,0,0,-1.969316,-3.085073,-0.85356,0,3.97795,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,19,0,5,12.89,8.96,26.93,8.47,0,0,-1.527779,-2.620465,-0.435093,0,4.031755,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 1999",1999,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,22,0,5,13.55,9.35,26.93,8.47,0,0,-1.408004,-2.460634,-0.355374,0,4.12588,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2005",2005,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,74,0,13,16.8,13.2,26.8,9.6,0,0,-0.777158,-1.378303,-0.176014,0,5.17576,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2005",2005,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,79,0,13,17.9,14.5,26.8,9.6,0,0,-0.632821,-1.226839,-0.038802,0,5.190828,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Foa 2006",2006,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,22,0,20,16.64,11.42,16.05,11.33,0,0,0.050879,-0.554774,0.656532,0,5.166182,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Littleton 2016",2016,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,23,0,28,11.2,5.8,10.4,8.5,0,0,0.106295,-0.44568,0.658269,0,5.277743,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2002",2002,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,62,0,23,44.89,33.52,69.26,18.55,0,0,-0.797483,-1.291496,-0.303471,0,5.391334,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"Resick 2002",2002,"Psychosocial interventions versus inactive control; outcome 1: PTSD symptoms, post-treatment",1,0,62,0,24,39.08,31.12,69.26,18.55,0,0,-1.059124,-1.557397,-0.560851,0,5.383256,"1::overall","CD013456_pub2_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
