"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Agarwal 2010",2010,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-6.44,3.33,-6.44,-12.96668,0.08668,0,6.489614,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Andrigueti 2017",2017,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,0.7,4.7,0.7,-8.511831,9.911831,0,3.964156,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Caglayan 2012",2012,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-3.5,1.39,-3.5,-6.22435,-0.77565,0,13.815625,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Herrick 2011",2011,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-0.6,0.51,-0.6,-1.599582,0.399582,0,17.402881,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Laumann 2010",2010,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-8.4,2.53,-8.4,-13.358709,-3.441291,0,8.907966,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pfizer 2018",492,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-1.35,1.89,-1.35,-5.054332,2.354332,0,11.492096,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pfizer 2018",492,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-1.91,2.1,-1.91,-6.025924,2.205924,0,10.582759,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Schiopu 2009",2006,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-0.14,1.24,-0.14,-2.570355,2.290355,0,14.521902,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Shenoy 2010",2010,"Frequency of attacks (average per week)",1,0,0,0,0,0,0,0,0,-7.56,1.6,-7.56,-10.695942,-4.424058,0,12.823,"1::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Agarwal 2010",2010,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-48,17.8,-48,-82.887359,-13.112641,0,1.016091,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Andrigueti 2017",2017,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-10.1,5.3,-10.1,-20.487809,0.287809,0,7.966742,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Caglayan 2012",2012,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-11.53,4.78,-11.53,-20.898628,-2.161372,0,9.096273,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Herrick 2011",2011,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-0.6,0.51,-0.6,-1.599582,0.399582,0,23.383398,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Laumann 2010",2010,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-2.8,1.91,-2.8,-6.543531,0.943531,0,18.925015,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pfizer 2018",492,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-1.09,1.87,-1.09,-4.755133,2.575133,0,19.087429,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Pfizer 2018",492,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-6.17,4.32,-6.17,-14.637044,2.297044,0,10.257733,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Schiopu 2009",2006,"Duration of attacks (average attack duration, minutes)",2,0,0,0,0,0,0,0,0,-6.39,7.46,-6.39,-21.011331,8.231331,0,4.819732,"2::overall","CD014089_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
