"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"RIM",2012,"Achievement of definitions of improvement (assessed with IMACS DOI, measured at 8 weeks) ",1,NA,14,96,21,104,0,0,0,0,0,0,0.722222,0.389785,1.338185,0,0,"1::overall","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"RIM",2012,"Withdrawals for either lack of benefit or adverse events",2,NA,3,96,2,94,0,0,0,0,0,0,1.46875,0.251067,8.592231,0,0,"2::overall","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"ARTEMIS",2011,"Improvement in function or disability (assessed with change in Health Assessment Questionnaire) ",1,1,0,10,0,9,-0.2,0.4,-6e-04,0.2,0,0,-0.1994,-0.479644,0.080844,0,31.150643,"1::1","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"NCT02971683",2017,"Improvement in function or disability (assessed with change in Health Assessment Questionnaire) ",1,1,0,66,0,62,-0.31,0.544311,-0.2,0.543307,0,0,-0.11,-0.298503,0.078503,0,68.849357,"1::1","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ARTEMIS",2011,"Improvement in function or disability (assessed with change in Health Assessment Questionnaire) ",1,2,0,10,0,9,-0.2,0.5,-0.2,0.4,0,0,0,-0.405375,0.405375,0,100,"1::2","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ARTEMIS",2011,"Improvement of muscle strength (assessed with change in MMT8)",2,1,0,10,0,9,2.5,4.7,-4.9,9.1,0,0,7.4,0.779466,14.020534,0,0,"2::1","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"ARTEMIS",2011,"Improvement of muscle strength (assessed with change in MMT8)",2,2,0,10,0,9,3.8,5.5,-2.6,10.9,0,4.0281647323702,6.4,-1.495058,14.295058,16.2261111111111,0,"2::2","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ARTEMIS",2011,"Improvement in muscle strength (assessed with change in MMT8) (GIV analysis)",3,1,0,9,0,10,0,0,0,0,7.4,3.377886,7.4,0.779465,14.020535,0.242414430736,32.079993,"3::1","CD015854_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"NCT02971683",2017,"Improvement in muscle strength (assessed with change in MMT8) (GIV analysis)",3,1,0,0,0,0,0,0,0,0,1.8,2.321471,1.8,-2.75,6.35,5.389227603841,67.920007,"3::1","CD015854_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"ARTEMIS",2011,"Improvement in muscle strength (assessed with change in MMT8) (GIV analysis)",3,2,0,0,0,0,0,0,0,0,0.72,0.479601,0.72,-0.220001,1.660001,0.230017119201,100,"3::2","CD015854_data",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
