"Study","Study.year","Analysis.name","Analysis.number","Subgroup.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Cooke 2010",2010,"Death",1,1,0,36,0,38,NA,NA,NA,NA,NA,NA,0,-0.05129,0.05129,NA,7.605412,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Fotiadou 2019",2019,"Death",1,1,0,6,0,6,NA,NA,NA,NA,NA,NA,0,-0.26981,0.26981,NA,0.274836,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Furnari 2014",2014,"Death",1,1,0,20,0,20,NA,NA,NA,NA,NA,NA,0,-0.092214,0.092214,NA,2.352868,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Galvin 2011",2011,"Death",1,1,0,20,0,20,NA,NA,NA,NA,NA,NA,0,-0.092214,0.092214,NA,2.352868,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"James 2002",2002,"Death",1,1,0,10,0,10,NA,NA,NA,NA,NA,NA,0,-0.174082,0.174082,NA,0.66021,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Jarbandhan 2022",2022,"Death",1,1,0,20,0,10,NA,NA,NA,NA,NA,NA,0,-0.139298,0.139298,NA,1.031097,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Kang 2022",2022,"Death",1,1,0,30,0,15,NA,NA,NA,NA,NA,NA,0,-0.096098,0.096098,NA,2.166512,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Kim 2016a",2016,"Death",1,1,0,10,0,10,NA,NA,NA,NA,NA,NA,0,-0.174082,0.174082,NA,0.66021,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Kim 2017a",2017,"Death",1,1,0,15,0,15,NA,NA,NA,NA,NA,NA,0,-0.120569,0.120569,NA,1.376328,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Klassen 2020",2020,"Death",1,1,0,50,0,24,NA,NA,NA,NA,NA,NA,0,-0.061179,0.061179,NA,5.345385,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Letombe 2010",2010,"Death",1,1,0,9,0,9,NA,NA,NA,NA,NA,NA,0,-0.191034,0.191034,NA,0.548239,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Shin 2011",2011,"Death",1,1,0,11,0,10,NA,NA,NA,NA,NA,NA,0,-0.167137,0.167137,NA,0.716214,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Teixeira 1999",1999,"Death",1,1,0,6,0,7,NA,NA,NA,NA,NA,NA,0,-0.254036,0.254036,NA,0.310027,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Toledano-Zarhi 2011",2011,"Death",1,1,0,14,0,14,NA,NA,NA,NA,NA,NA,0,-0.128468,0.128468,NA,1.21227,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Yang 2006",2006,"Death",1,1,0,24,0,24,NA,NA,NA,NA,NA,NA,0,-0.077611,0.077611,NA,3.321601,"1::1","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Aravind 2022",2022,"Death",1,2,0,16,0,17,NA,NA,NA,NA,NA,NA,0,-0.110518,0.110518,NA,1.638047,"1::2","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Dean 2018",2018,"Death",1,2,0,23,0,22,NA,NA,NA,NA,NA,NA,0,-0.082566,0.082566,NA,2.934893,"1::2","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Duncan 1998",1998,"Death",1,2,0,10,0,10,NA,NA,NA,NA,NA,NA,0,-0.174082,0.174082,NA,0.66021,"1::2","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
"Duncan 2003",2003,"Death",1,2,0,50,0,50,NA,NA,NA,NA,NA,NA,0,-0.038242,0.038242,NA,13.680839,"1::2","CD016002_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,NA,NA,NA,FALSE,FALSE
