"Study","Study.year","Analysis.name","Analysis.number","Experimental.cases","Experimental.N","Control.cases","Control.N","Experimental.mean","Experimental.SD","Control.mean","Control.SD","GIV.Mean","GIV.SE","Mean","CI.start","CI.end","Variance","Weight","analysis_key","dataset_name","exp_cases_gt_n","ctrl_cases_gt_n","exp_cases_lt0","ctrl_cases_lt0","exp_n_le0","ctrl_n_le0","exp_cases_nonint","ctrl_cases_nonint","exp_n_nonint","ctrl_n_nonint","double_zero","all_events","sparse_events","exp_sd_le0","ctrl_sd_le0","variance_negative","giv_se_negative","ci_inverted","ci_mismatch"
"Califano 2022",2022,"2nd degree tears",1,6,35,14,35,0,0,0,0,0,0,0.428571,0.186181,0.986533,0,37.660502,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McCandlish 1998",1998,"2nd degree tears",1,1011,2740,1002,2731,0,0,0,0,0,0,1.005668,0.938184,1.078006,0,62.339498,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Califano 2022",2022,"3rd or 4th degree tears",2,2,35,2,35,0,0,0,0,0,0,1,0.1491,6.70693,0,5.656177,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McCandlish 1998",1998,"3rd or 4th degree tears",2,40,2740,31,2731,0,0,0,0,0,0,1.286084,0.807036,2.049491,0,94.343823,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Califano 2022",2022,"3rd degree tears",3,1,35,2,35,0,0,0,0,0,0,0.5,0.047481,5.265319,0,100,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Califano 2022",2022,"4th degree tears",4,1,35,0,35,0,0,0,0,0,0,3,0.126378,71.215104,0,100,"4::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McCandlish 1998",1998,"PPH ? 500mL",5,143,2740,123,2731,0,0,0,0,0,0,1.158783,0.915981,1.465945,0,100,"5::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McCandlish 1998",1998,"Perineal pain",6,1871,2685,1915,2686,0,0,0,0,0,0,0.977387,0.944133,1.011813,0,100,"6::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"McCandlish 1998",1998,"Breastfeeding",7,1886,2740,1837,2731,0,0,0,0,0,0,1.023302,0.986799,1.061155,0,100,"7::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Califano 2022",2022,"Maternal death",8,0,35,0,35,0,0,0,0,0,0,NA,NA,NA,0,NA,"8::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Neta 2022",2022,"2nd degree tears",1,5,19,8,17,0,0,0,0,0,0,0.559211,0.226062,1.383322,0,100,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Neta 2022",2022,"3rd degree tears",2,0,19,3,17,0,0,0,0,0,0,0.128571,0.007117,2.322599,0,100,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Neta 2022",2022,"4th degree tears",3,0,19,0,17,0,0,0,0,0,0,NA,NA,NA,0,NA,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE
"Neta 2022",2022,"Maternal satisfaction (dichotomous)",4,19,20,16,20,0,0,0,0,0,0,1.1875,0.933097,1.511264,0,100,"4::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Neta 2022",2022,"Perineal pain",5,13,20,9,20,0,0,0,0,0,0,1.444444,0.807504,2.583789,0,100,"5::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Albers 2005",2005,"2nd degree tears",1,70,404,74,404,0,0,0,0,0,0,0.945946,0.703397,1.272132,0,76.469887,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Terre-Rull 2014",2014,"2nd degree tears",1,29,132,16,66,0,0,0,0,0,0,0.90625,0.531247,1.545964,0,23.530113,"1::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Albers 2005",2005,"3rd or 4th degree tears",2,3,404,6,404,0,0,0,0,0,0,0.5,0.125912,1.985516,0,15.357186,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Dahlen 2007",2007,"3rd or 4th degree tears",2,15,360,31,357,0,0,0,0,0,0,0.479839,0.263652,0.873291,0,81.445174,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Terre-Rull 2014",2014,"3rd or 4th degree tears",2,0,132,2,66,0,0,0,0,0,0,0.100752,0.004906,2.068943,0,3.19764,"2::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Albers 2005",2005,"3rd degree tears",3,3,404,2,404,0,0,0,0,0,0,1.5,0.25198,8.92929,0,60.391624,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"Terre-Rull 2014",2014,"3rd degree tears",3,0,132,2,66,0,0,0,0,0,1.544363786749,0.100752,0.004906,2.068943,2.38505950582171,39.608376,"3::overall","CD016148_data",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
