"dataset_id","review_doi","analysis_group","analysis_number","analysis_name","data_type","measure","effect_is_log","rob_type","k_all","k_post","k_pre","frac_pre","i2_all","i2_post","i2_pre","delta_i2","delta_i2_post_pre","tau2_all","tau2_post","tau2_pre","delta_tau2","delta_tau2_post_pre","effect_all","effect_post","effect_pre","delta_effect","sig_all","sig_post","sign_all","sign_post"
"CD000478_pub5_data","10.1002/14651858.CD000478.pub5",7,1,"Any adverse event","binary","RR",TRUE,"non_high",6,2,4,0.666666666666667,0,0,46.9798542823961,0,-46.9798542823961,0,0,1.80233197839737,0,-1.80233197839737,0.88891187012557,0.887876360543094,1.34317299329338,-0.00103550958247545,FALSE,FALSE,-1,-1
"CD000478_pub5_data","10.1002/14651858.CD000478.pub5",7,2,"Withdrawal due to adverse event","binary","RR",TRUE,"non_high",6,2,4,0.666666666666667,0,0,0,0,0,0,0,0,0,0,1.36206878168888,1.31305912996046,1.79933659549624,-0.0490096517284244,FALSE,FALSE,1,1
"CD000478_pub5_data","10.1002/14651858.CD000478.pub5",8,1,"Failure to maintain remission - all trials","binary","RR",TRUE,"low_only",4,2,2,0.5,0.00872541346747875,40.5942019638379,0,40.5854765503704,40.5942019638379,3.30111109684612e-06,0.0243990586905887,0,0.0243957575794918,0.0243990586905887,0.715353815674748,0.639092000237752,0.80881662810297,-0.076261815436996,TRUE,TRUE,-1,-1
"CD000478_pub5_data","10.1002/14651858.CD000478.pub5",8,1,"Failure to maintain remission - all trials","binary","RR",TRUE,"non_high",13,6,7,0.538461538461538,0,6.50960346832734,0,6.50960346832734,6.50960346832734,0,0.00970348793281228,0,0.00970348793281228,0.00970348793281228,0.684243330585219,0.656967884274452,0.704034084106711,-0.0272754463107672,TRUE,TRUE,-1,-1
"CD000478_pub5_data","10.1002/14651858.CD000478.pub5",8,1,"Failure to maintain remission - all trials","binary","RR",TRUE,"low_only_with_support",4,2,2,0.5,0.00872541346747875,40.5942019638379,0,40.5854765503704,40.5942019638379,3.30111109684612e-06,0.0243990586905887,0,0.0243957575794918,0.0243990586905887,0.715353815674748,0.639092000237752,0.80881662810297,-0.076261815436996,TRUE,TRUE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,1,"Independence in ADL scales","binary","RR",TRUE,"low_only",11,8,3,0.272727272727273,0,0,0,0,0,0,0,0,0,0,1.13878112022381,1.13397476560349,1.15182451683441,-0.00480635462031986,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,1,"Independence in ADL scales","binary","RR",TRUE,"non_high",48,33,15,0.3125,0,0,0,0,0,0,0,0,0,0,0.952526105460436,0.932599187221476,0.998197618220515,-0.0199269182389598,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,1,"Independence in ADL scales","binary","RR",TRUE,"low_only_with_support",11,8,3,0.272727272727273,0,0,0,0,0,0,0,0,0,0,1.13878112022381,1.13397476560349,1.15182451683441,-0.00480635462031986,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,2,"Motor function scales","binary","RR",TRUE,"low_only",7,4,3,0.428571428571429,0,0,0,0,0,0,0,0,0,0,1.0554996534998,0.988884688652771,1.15182451683441,-0.0666149648470312,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,2,"Motor function scales","binary","RR",TRUE,"non_high",47,32,15,0.319148936170213,0,0,0,0,0,0,0,0,0,0,0.894207630556241,0.901078705158898,0.879655747400548,0.00687107460265701,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,2,"Motor function scales","binary","RR",TRUE,"low_only_with_support",7,4,3,0.428571428571429,0,0,0,0,0,0,0,0,0,0,1.0554996534998,0.988884688652771,1.15182451683441,-0.0666149648470312,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,4,"Gait velocity","binary","RR",TRUE,"low_only",15,14,1,0.0666666666666667,0,0,NA,0,NA,0,0,NA,0,NA,0.934621649825168,0.931041556217972,NA,-0.00358009360719636,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,4,"Gait velocity","binary","RR",TRUE,"non_high",19,16,3,0.157894736842105,0,0,0,0,0,0,0,0,0,0,0.951607324292339,0.942129519711427,1.00359989336496,-0.00947780458091185,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",1,4,"Gait velocity","binary","RR",TRUE,"low_only_with_support",15,14,1,0.0666666666666667,0,0,NA,0,NA,0,0,NA,0,NA,0.934621649825168,0.931041556217972,NA,-0.00358009360719636,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,1,"Independence in ADL scales","binary","RR",TRUE,"low_only",5,3,2,0.4,0,0,0,0,0,0,0,0,0,0,1.17020918839115,1.22656767081611,1.08972868754937,0.0563584824249588,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,1,"Independence in ADL scales","binary","RR",TRUE,"non_high",12,7,5,0.416666666666667,0,0,0,0,0,0,0,0,0,0,1.05211115703093,1.09205617990283,0.998275386298043,0.0399450228718969,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,1,"Independence in ADL scales","binary","RR",TRUE,"low_only_with_support",5,3,2,0.4,0,0,0,0,0,0,0,0,0,0,1.17020918839115,1.22656767081611,1.08972868754937,0.0563584824249588,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,2,"Motor function scales","binary","RR",TRUE,"low_only",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.01875070644074,0.964961583798548,1.07532065209585,-0.0537891226421943,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,2,"Motor function scales","binary","RR",TRUE,"non_high",12,8,4,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.972588152693941,0.9633753201554,0.991211283228274,-0.00921283253854055,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,2,"Motor function scales","binary","RR",TRUE,"low_only_with_support",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.01875070644074,0.964961583798548,1.07532065209585,-0.0537891226421943,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,4,"Gait velocity","binary","RR",TRUE,"low_only",7,6,1,0.142857142857143,0,0,NA,0,NA,0,0,NA,0,NA,0.906504093562667,0.885467236106408,NA,-0.0210368574562595,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,4,"Gait velocity","binary","RR",TRUE,"non_high",8,6,2,0.25,0,0,0,0,0,0,0,0,0,0,0.900665206048047,0.885467236106408,0.948541261336166,-0.0151979699416391,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",2,4,"Gait velocity","binary","RR",TRUE,"low_only_with_support",7,6,1,0.142857142857143,0,0,NA,0,NA,0,0,NA,0,NA,0.906504093562667,0.885467236106408,NA,-0.0210368574562595,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,2,"Motor function scales","binary","RR",TRUE,"low_only",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.875612163556724,0.935677780890093,NA,0.060065617333369,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,2,"Motor function scales","binary","RR",TRUE,"non_high",5,4,1,0.2,0,0,NA,0,NA,0,0,NA,0,NA,0.89967073630144,0.936586246234897,NA,0.0369155099334568,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,2,"Motor function scales","binary","RR",TRUE,"low_only_with_support",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.875612163556724,0.935677780890093,NA,0.060065617333369,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,1.0215740167878,1,NA,-0.0215740167877969,FALSE,FALSE,1,0
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"non_high",4,3,1,0.25,0,0,NA,0,NA,0,0,NA,0,NA,1.00838137020556,0.989842994872467,NA,-0.0185383753330925,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only_with_support",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,1.0215740167878,1,NA,-0.0215740167877969,FALSE,FALSE,1,0
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,4,"Gait velocity","binary","RR",TRUE,"low_only",7,6,1,0.142857142857143,0,0,NA,0,NA,0,0,NA,0,NA,0.984171994393038,0.97119413479551,NA,-0.0129778595975277,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,4,"Gait velocity","binary","RR",TRUE,"non_high",9,6,3,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.966640680165717,0.97119413479551,0.957824322941216,0.00455345462979329,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",3,4,"Gait velocity","binary","RR",TRUE,"low_only_with_support",7,6,1,0.142857142857143,0,0,NA,0,NA,0,0,NA,0,NA,0.984171994393038,0.97119413479551,NA,-0.0129778595975277,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",4,2,"Motor function scales","binary","RR",TRUE,"low_only",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.853188747858075,0.889819758658144,NA,0.0366310108000681,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",4,2,"Motor function scales","binary","RR",TRUE,"non_high",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.853188747858075,0.889819758658144,NA,0.0366310108000681,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",4,2,"Motor function scales","binary","RR",TRUE,"low_only_with_support",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.853188747858075,0.889819758658144,NA,0.0366310108000681,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",4,4,"Gait velocity","binary","RR",TRUE,"non_high",5,3,2,0.4,0,0,0,0,0,0,0,0,0,0,0.938028954997481,0.897257350918642,1,-0.0407716040788398,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,1,"Independence in ADL scales","binary","RR",TRUE,"low_only",5,4,1,0.2,0,0,NA,0,NA,0,0,NA,0,NA,1.00654514772665,1.00824258807434,NA,0.00169744034769326,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,1,"Independence in ADL scales","binary","RR",TRUE,"non_high",20,19,1,0.05,0,0,NA,0,NA,0,0,NA,0,NA,0.988106780598735,0.987466063265413,NA,-0.000640717333322272,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,1,"Independence in ADL scales","binary","RR",TRUE,"low_only_with_support",5,4,1,0.2,0,0,NA,0,NA,0,0,NA,0,NA,1.00654514772665,1.00824258807434,NA,0.00169744034769326,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,2,"Motor function scales","binary","RR",TRUE,"low_only",6,4,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.933691127181002,0.882778475118099,1.04270334630187,-0.0509126520629031,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,2,"Motor function scales","binary","RR",TRUE,"non_high",22,19,3,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0.999149496495183,0.994578076699303,1.02835932783365,-0.00457141979588049,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,2,"Motor function scales","binary","RR",TRUE,"low_only_with_support",6,4,2,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.933691127181002,0.882778475118099,1.04270334630187,-0.0509126520629031,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.01370634859407,0.985196622042398,1.04270334630187,-0.0285097265516703,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"non_high",15,13,2,0.133333333333333,0,0,0,0,0,0,0,0,0,0,1.00744548777896,1.00212441146388,1.04270334630187,-0.00532107631507706,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,3,"Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only_with_support",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.01370634859407,0.985196622042398,1.04270334630187,-0.0285097265516703,FALSE,FALSE,1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,4,"Gait velocity","binary","RR",TRUE,"low_only",11,9,2,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0.895888831537696,0.866139204359858,1.04270334630187,-0.0297496271778389,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,4,"Gait velocity","binary","RR",TRUE,"non_high",20,18,2,0.1,0,0,0,0,0,0,0,0,0,0,0.980653061432833,0.9740797797343,1.04270334630187,-0.00657328169853222,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,4,"Gait velocity","binary","RR",TRUE,"low_only_with_support",11,9,2,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0.895888831537696,0.866139204359858,1.04270334630187,-0.0297496271778389,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,5,"Adverse events","binary","RR",TRUE,"low_only",4,3,1,0.25,0.00303048340767201,0.0165590278926227,NA,0.0135285444849507,NA,1.86874793193224e-06,7.21996052777881e-06,NA,5.35121259584657e-06,NA,0.812571757158814,0.805100778716402,NA,-0.00747097844241262,TRUE,TRUE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,5,"Adverse events","binary","RR",TRUE,"non_high",4,3,1,0.25,0.00303048340767201,0.0165590278926227,NA,0.0135285444849507,NA,1.86874793193224e-06,7.21996052777881e-06,NA,5.35121259584657e-06,NA,0.812571757158814,0.805100778716402,NA,-0.00747097844241262,TRUE,TRUE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",5,5,"Adverse events","binary","RR",TRUE,"low_only_with_support",4,3,1,0.25,0.00303048340767201,0.0165590278926227,NA,0.0135285444849507,NA,1.86874793193224e-06,7.21996052777881e-06,NA,5.35121259584657e-06,NA,0.812571757158814,0.805100778716402,NA,-0.00747097844241262,TRUE,TRUE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,1,"Functional task training compared to other: Independence in ADL scales","binary","RR",TRUE,"low_only",7,5,2,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.950311162088857,0.983128271177372,0.873898652429325,0.0328171090885152,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,1,"Functional task training compared to other: Independence in ADL scales","binary","RR",TRUE,"non_high",21,17,4,0.19047619047619,0,0,0,0,0,0,0,0,0,0,0.967314185825558,0.985864512312248,0.89277937200504,0.0185503264866894,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,1,"Functional task training compared to other: Independence in ADL scales","binary","RR",TRUE,"low_only_with_support",7,5,2,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.950311162088857,0.983128271177372,0.873898652429325,0.0328171090885152,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,2,"Functional task training compared to other: Motor function scales","binary","RR",TRUE,"low_only",7,5,2,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.950114760131089,0.982827622571026,0.873898652429325,0.0327128624399373,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,2,"Functional task training compared to other: Motor function scales","binary","RR",TRUE,"non_high",19,15,4,0.210526315789474,0,0,0,0,0,0,0,0,0,0,0.96093159333508,0.980109093588004,0.89277937200504,0.0191775002529244,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,2,"Functional task training compared to other: Motor function scales","binary","RR",TRUE,"low_only_with_support",7,5,2,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.950114760131089,0.982827622571026,0.873898652429325,0.0327128624399373,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,3,"Functional task training compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only",11,10,1,0.0909090909090909,0,0,NA,0,NA,0,0,NA,0,NA,0.963396071447893,0.99584034377981,NA,0.0324442723319172,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,3,"Functional task training compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"non_high",24,23,1,0.0416666666666667,0,0,NA,0,NA,0,0,NA,0,NA,0.981232360228833,0.996273131265685,NA,0.0150407710368511,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,3,"Functional task training compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only_with_support",11,10,1,0.0909090909090909,0,0,NA,0,NA,0,0,NA,0,NA,0.963396071447893,0.99584034377981,NA,0.0324442723319172,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,4,"Functional task training compared to other: Gait velocity","binary","RR",TRUE,"low_only",16,14,2,0.125,0,0,0,0,0,0,0,0,0,0,0.955645726881167,0.968006300140015,0.873898652429325,0.0123605732588483,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,4,"Functional task training compared to other: Gait velocity","binary","RR",TRUE,"non_high",26,24,2,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0.970737834198997,0.979352351681329,0.873898652429325,0.00861451748233188,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,4,"Functional task training compared to other: Gait velocity","binary","RR",TRUE,"low_only_with_support",16,14,2,0.125,0,0,0,0,0,0,0,0,0,0,0.955645726881167,0.968006300140015,0.873898652429325,0.0123605732588483,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,7,"Neurophysiological approaches compared to other: Independence in ADL scales","binary","RR",TRUE,"low_only",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.090309769897,1.03868933453555,1.14429745053403,-0.0516204353614478,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,7,"Neurophysiological approaches compared to other: Independence in ADL scales","binary","RR",TRUE,"non_high",15,11,4,0.266666666666667,0,0,0,0,0,0,0,0,0,0,1.12691272452094,1.15146817461269,1.06247105429764,0.0245554500917495,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,7,"Neurophysiological approaches compared to other: Independence in ADL scales","binary","RR",TRUE,"low_only_with_support",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.090309769897,1.03868933453555,1.14429745053403,-0.0516204353614478,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,8,"Neurophysiological approaches compared to other: Motor function scales","binary","RR",TRUE,"low_only",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.090309769897,1.03868933453555,1.14429745053403,-0.0516204353614478,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,8,"Neurophysiological approaches compared to other: Motor function scales","binary","RR",TRUE,"non_high",14,11,3,0.214285714285714,0,0,0,0,0,0,0,0,0,0,1.14499961582536,1.14031013880945,1.16234942663035,-0.00468947701590916,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,8,"Neurophysiological approaches compared to other: Motor function scales","binary","RR",TRUE,"low_only_with_support",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,1.090309769897,1.03868933453555,1.14429745053403,-0.0516204353614478,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,9,"Neurophysiological approaches compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only",4,3,1,0.25,0,0,NA,0,NA,0,0,NA,0,NA,1.13505850495188,1.04897295010885,NA,-0.0860855548430326,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,9,"Neurophysiological approaches compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"non_high",9,8,1,0.111111111111111,0,0,NA,0,NA,0,0,NA,0,NA,1.06854143470073,1.02935532982974,NA,-0.0391861048709965,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,9,"Neurophysiological approaches compared to other: Balance (Berg Balance Scale)","binary","RR",TRUE,"low_only_with_support",4,3,1,0.25,0,0,NA,0,NA,0,0,NA,0,NA,1.13505850495188,1.04897295010885,NA,-0.0860855548430326,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,10,"Neurophysiological approaches compared to other approaches: Gait velocity","binary","RR",TRUE,"low_only",8,6,2,0.25,0,0,0,0,0,0,0,0,0,0,1.10781963374089,1.09595133979906,1.14429745053403,-0.0118682939418207,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,10,"Neurophysiological approaches compared to other approaches: Gait velocity","binary","RR",TRUE,"non_high",16,13,3,0.1875,0,0,0,0,0,0,0,0,0,0,1.0392720880355,1.02712889654639,1.09278744450637,-0.0121431914891099,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",7,10,"Neurophysiological approaches compared to other approaches: Gait velocity","binary","RR",TRUE,"low_only_with_support",8,6,2,0.25,0,0,0,0,0,0,0,0,0,0,1.10781963374089,1.09595133979906,1.14429745053403,-0.0118682939418207,FALSE,FALSE,1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",8,1,"Functional task training compared to other approaches: Independence in ADL scales","binary","RR",TRUE,"non_high",7,5,2,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0.978144293705924,1.01765148411782,0.885836366362614,0.0395071904118948,FALSE,FALSE,-1,1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",8,2,"Functional task training compared to other approaches: Motor function scales","binary","RR",TRUE,"non_high",8,6,2,0.25,0,0,0,0,0,0,0,0,0,0,0.962218754812639,0.989209270253885,0.885836366362614,0.0269905154412465,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",8,6,"Neurophysiological approaches compared to other approaches: Independence in ADL scales","binary","RR",TRUE,"non_high",4,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0.994759134600482,0.974751377784792,1.01519526643074,-0.0200077568156907,FALSE,FALSE,-1,-1
"CD001920_pub4_data","10.1002/14651858.CD001920.pub4",8,9,"Neurophysiological approaches compared to other approaches: Gait velocity","binary","RR",TRUE,"non_high",3,2,1,0.333333333333333,0,0,NA,0,NA,0,0,NA,0,NA,0.917391929919251,1,NA,0.0826080700807487,FALSE,FALSE,-1,0
