"rob_type","outcome_category","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
"low_only","adverse_events",64,0.65625,0.5,0.65625,1.00984115969552,-2.09853145471176,0.1875,0.0625
"low_only","biomarker",12,0.166666666666667,0.666666666666667,0.833333333333333,0,-4.26592312835586,0,0.333333333333333
"low_only","function_score",50,0,1,1,0,-0.000139548559985217,0,0.12
"low_only","length_of_stay",4,0,1,1,0,0,0,0
"low_only","mortality",38,0.368421052631579,0.578947368421053,0.578947368421053,0,-2.56265830798082,0.0526315789473684,0.0526315789473684
"low_only","other",258,0.255813953488372,0.75968992248062,0.875968992248062,0,0.807202230658279,0.0465116279069767,0.0930232558139535
"low_only","pain",4,0,1,1,0,0,0,0
"low_only","quality_of_life",6,0,1,1,0,0,0,0.666666666666667
"low_only","relapse",18,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"low_only","response",10,0.4,0.6,0.6,0,17.3414755339242,0,0
"low_only_with_support","adverse_events",32,0.65625,0.5,0.65625,1.00984115969552,-2.09853145471176,0.1875,0.0625
"low_only_with_support","biomarker",6,0.166666666666667,0.666666666666667,0.833333333333333,0,-4.26592312835586,0,0.333333333333333
"low_only_with_support","function_score",25,0,1,1,0,-0.000139548559985217,0,0.12
"low_only_with_support","length_of_stay",2,0,1,1,0,0,0,0
"low_only_with_support","mortality",19,0.368421052631579,0.578947368421053,0.578947368421053,0,-2.56265830798082,0.0526315789473684,0.0526315789473684
"low_only_with_support","other",129,0.255813953488372,0.75968992248062,0.875968992248062,0,0.807202230658279,0.0465116279069767,0.0930232558139535
"low_only_with_support","pain",2,0,1,1,0,0,0,0
"low_only_with_support","quality_of_life",3,0,1,1,0,0,0,0.666666666666667
"low_only_with_support","relapse",9,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"low_only_with_support","response",5,0.4,0.6,0.6,0,17.3414755339242,0,0
"non_high","adverse_events",98,0.428571428571429,0.612244897959184,0.714285714285714,0,-3.09491295704726,0.204081632653061,0.0204081632653061
"non_high","biomarker",18,0.222222222222222,0.777777777777778,0.888888888888889,0,-2.96104226336352,0,0.222222222222222
"non_high","function_score",56,0,1,1,0,-8.36048638247907e-06,0.0357142857142857,0.0714285714285714
"non_high","length_of_stay",4,0,1,1,0,0,0,0
"non_high","mortality",52,0.269230769230769,0.692307692307692,0.692307692307692,0,-1.87271184044752,0,0.153846153846154
"non_high","other",496,0.258064516129032,0.701612903225806,0.814516129032258,0,-1.57578975724339,0.0604838709677419,0.0564516129032258
"non_high","pain",18,0.222222222222222,0.666666666666667,0.888888888888889,-2.26511421156621,-8.37107733379471,0.444444444444444,0
"non_high","quality_of_life",76,0,0.973684210526316,0.973684210526316,0,-1.53394060856969,0,0.157894736842105
"non_high","relapse",18,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"non_high","response",20,0.5,0.5,0.6,1.17907055488831,-0.738281890867935,0,0
