"rob_type","outcome_category","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
"low_only","adverse_events",64,0.65625,0.5,0.65625,1.00984115969552,-2.09853145471176,0.1875,0.0625
"low_only","biomarker",12,0.166666666666667,0.666666666666667,0.833333333333333,0,-4.26592312835586,0,0.333333333333333
"low_only","function_score",50,0,1,1,0,-0.000139548559985217,0,0.12
"low_only","length_of_stay",4,0,1,1,0,0,0,0
"low_only","mortality",38,0.368421052631579,0.578947368421053,0.578947368421053,0,-2.56265830798082,0.0526315789473684,0.0526315789473684
"low_only","other",242,0.239669421487603,0.768595041322314,0.884297520661157,0,0.932349595287483,0.0330578512396694,0.0991735537190083
"low_only","quality_of_life",6,0,1,1,0,0,0,0.666666666666667
"low_only","relapse",18,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"low_only","response",10,0.4,0.6,0.6,0,17.3414755339242,0,0
"low_only_with_support","adverse_events",32,0.65625,0.5,0.65625,1.00984115969552,-2.09853145471176,0.1875,0.0625
"low_only_with_support","biomarker",6,0.166666666666667,0.666666666666667,0.833333333333333,0,-4.26592312835586,0,0.333333333333333
"low_only_with_support","function_score",25,0,1,1,0,-0.000139548559985217,0,0.12
"low_only_with_support","length_of_stay",2,0,1,1,0,0,0,0
"low_only_with_support","mortality",19,0.368421052631579,0.578947368421053,0.578947368421053,0,-2.56265830798082,0.0526315789473684,0.0526315789473684
"low_only_with_support","other",121,0.239669421487603,0.768595041322314,0.884297520661157,0,0.932349595287483,0.0330578512396694,0.0991735537190083
"low_only_with_support","quality_of_life",3,0,1,1,0,0,0,0.666666666666667
"low_only_with_support","relapse",9,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"low_only_with_support","response",5,0.4,0.6,0.6,0,17.3414755339242,0,0
"non_high","adverse_events",98,0.428571428571429,0.612244897959184,0.714285714285714,0,-3.09491295704726,0.204081632653061,0.0204081632653061
"non_high","biomarker",18,0.222222222222222,0.777777777777778,0.888888888888889,0,-2.96104226336352,0,0.222222222222222
"non_high","function_score",56,0,1,1,0,-8.36048638247907e-06,0.0357142857142857,0.0714285714285714
"non_high","length_of_stay",4,0,1,1,0,0,0,0
"non_high","mortality",48,0.291666666666667,0.666666666666667,0.666666666666667,0,-2.02877116048482,0,0.166666666666667
"non_high","other",458,0.22707423580786,0.707423580786026,0.820960698689956,0,-1.64167551735637,0.0524017467248908,0.0567685589519651
"non_high","pain",4,0,1,1,0,0,0,0
"non_high","quality_of_life",74,0,1,1,0,0,0,0.162162162162162
"non_high","relapse",18,0,0.666666666666667,0.666666666666667,0,-6.11244449216474,0.111111111111111,0
"non_high","response",20,0.5,0.5,0.6,1.17907055488831,-0.738281890867935,0,0
