"Statistic","Overall","GIV","logRR","MD"
"Mean","0.6739","0.5617","0.7178","0.6481"
"SD","0.2243","0.1399","0.2338","0.2494"
"Median","0.6726","0.5000","0.7402","0.6823"
"IQR","0.5000 - 0.8797","0.5000 - 0.6086","0.5000 - 0.9553","0.4532 - 0.7985"
"Range","0.0218 - 1.0000","0.0852 - 1.0000","0.0483 - 1.0000","0.0218 - 1.0000"
"R >= 0.9","1206 (23.7%)","61 (4.5%)","1109 (31.2%)","36 (19.8%)"
"R >= 0.8","1596 (31.4%)","103 (7.6%)","1448 (40.7%)","45 (24.7%)"
"R >= 0.7","2326 (45.7%)","228 (16.9%)","2021 (56.8%)","77 (42.3%)"
"R >= 0.5","4078 (80.1%)","1270 (94.1%)","2677 (75.3%)","131 (72.0%)"
"R < 0.5","1010 (19.9%)","80 (5.9%)","879 (24.7%)","51 (28.0%)"
"R < 0.3","140 (2.8%)","17 (1.3%)","110 (3.1%)","13 (7.1%)"
