scenario,iter,method,est,se,ci_lb,ci_ub,true
S1_Standard_k10,1,REML,0.398038670586346,0.0797650444135432,0.241702056310564,0.554375284862129,0.3
S1_Standard_k10,1,HKSJ,0.398038670586346,0.0783305357197552,0.220842688142081,0.575234653030611,0.3
S1_Standard_k10,1,MWM_v2,0.4098,0.0801,0.225,0.5945,0.3
S1_Standard_k10,1,SIT_v2,0.4407,0.0837,0.2476,0.6338,0.3
S1_Standard_k10,1,ARP_v2,0.398,0.0796,0.2146,0.5815,0.3
S1_Standard_k10,2,REML,0.199342228879037,0.0864132539985571,0.0299753632549535,0.368709094503121,0.3
S1_Standard_k10,2,HKSJ,0.199342228879037,0.0856130504379096,0.00567205360191597,0.393012404156159,0.3
S1_Standard_k10,2,MWM_v2,0.2032,0.0869,0.0029,0.4035,0.3
S1_Standard_k10,2,SIT_v2,0.2521,0.0903,0.0438,0.4604,0.3
S1_Standard_k10,2,ARP_v2,0.1993,0.0859,0.0011,0.3975,0.3
S1_Standard_k10,3,REML,0.325712933985828,0.0903039206033312,0.148720501940534,0.502705366031121,0.3
S1_Standard_k10,3,HKSJ,0.325712933985828,0.0892215830346268,0.123879690847852,0.527546177123804,0.3
S1_Standard_k10,3,MWM_v2,0.3382,0.0906,0.1292,0.5472,0.3
S1_Standard_k10,3,SIT_v2,0.397,0.0944,0.1793,0.6148,0.3
S1_Standard_k10,3,ARP_v2,0.3257,0.0898,0.1187,0.5326,0.3
S1_Standard_k10,4,REML,0.211421009071074,0.0739830812908729,0.0664168342756645,0.356425183866484,0.3
S1_Standard_k10,4,HKSJ,0.211421009071074,0.0752433648880409,0.0412086922365537,0.381633325905595,0.3
S1_Standard_k10,4,MWM_v2,0.2101,0.0743,0.0388,0.3815,0.3
S1_Standard_k10,4,SIT_v2,0.2349,0.0776,0.0559,0.4139,0.3
S1_Standard_k10,4,ARP_v2,0.2113,0.0747,0.0391,0.3836,0.3
S1_Standard_k10,5,REML,0.171387617394071,0.070864400546322,0.0324959445372591,0.310279290250882,0.3
S1_Standard_k10,5,HKSJ,0.171387617394071,0.0665145778278719,0.0209211887302517,0.32185404605789,0.3
S1_Standard_k10,5,MWM_v2,0.1619,0.0712,-0.0024,0.3262,0.3
S1_Standard_k10,5,SIT_v2,0.1131,0.0716,-0.0521,0.2783,0.3
S1_Standard_k10,5,ARP_v2,0.1716,0.0688,0.013,0.3303,0.3
S1_Standard_k10,6,REML,0.304102139337184,0.0650982770034066,0.176511860954895,0.431692417719473,0.3
S1_Standard_k10,6,HKSJ,0.304102139337184,0.0693237679891569,0.147280881028351,0.460923397646016,0.3
S1_Standard_k10,6,MWM_v2,0.3028,0.0656,0.1514,0.4541,0.3
S1_Standard_k10,6,SIT_v2,0.3438,0.0744,0.1722,0.5153,0.3
S1_Standard_k10,6,ARP_v2,0.3035,0.0681,0.1463,0.4607,0.3
S1_Standard_k10,7,REML,0.342896294502396,0.0878216256920523,0.170769071082216,0.515023517922576,0.3
S1_Standard_k10,7,HKSJ,0.342896294502396,0.08843306127679,0.142846811506933,0.542945777497859,0.3
S1_Standard_k10,7,MWM_v2,0.346,0.0881,0.143,0.5491,0.3
S1_Standard_k10,7,SIT_v2,0.3863,0.0926,0.1728,0.5998,0.3
S1_Standard_k10,7,ARP_v2,0.3429,0.0878,0.1405,0.5453,0.3
S1_Standard_k10,8,REML,0.287931882934499,0.0919673503915764,0.107679188413434,0.468184577455564,0.3
S1_Standard_k10,8,HKSJ,0.287931882934499,0.0951185290617149,0.0727588211027113,0.503104944766287,0.3
S1_Standard_k10,8,MWM_v2,0.286,0.0923,0.073,0.4989,0.3
S1_Standard_k10,8,SIT_v2,0.2453,0.1,0.0147,0.4758,0.3
S1_Standard_k10,8,ARP_v2,0.2876,0.0923,0.0747,0.5005,0.3
S1_Standard_k10,9,REML,0.175743624240155,0.0869567924487748,0.00531144282943183,0.346175805650878,0.3
S1_Standard_k10,9,HKSJ,0.175743624240155,0.0881441897485676,-0.0236523859586113,0.375139634438921,0.3
S1_Standard_k10,9,MWM_v2,0.1734,0.0872,-0.0278,0.3745,0.3
S1_Standard_k10,9,SIT_v2,0.1347,0.0932,-0.0802,0.3496,0.3
S1_Standard_k10,9,ARP_v2,0.1757,0.0872,-0.0254,0.3769,0.3
S1_Standard_k10,10,REML,0.230703063785752,0.0880883567381814,0.0580530571216006,0.403353070449904,0.3
S1_Standard_k10,10,HKSJ,0.230703063785752,0.0887848869508511,0.0298576958216555,0.431548431749849,0.3
S1_Standard_k10,10,MWM_v2,0.2282,0.0886,0.0239,0.4325,0.3
S1_Standard_k10,10,SIT_v2,0.2772,0.094,0.0605,0.4939,0.3
S1_Standard_k10,10,ARP_v2,0.2308,0.0879,0.0281,0.4335,0.3
S1_Standard_k10,11,REML,0.230295402452423,0.104848943875769,0.0247952486388544,0.435795556265991,0.3
S1_Standard_k10,11,HKSJ,0.230295402452423,0.108225548443594,-0.0145277971570168,0.475118602061863,0.3
S1_Standard_k10,11,MWM_v2,0.224,0.1052,-0.0185,0.4665,0.3
S1_Standard_k10,11,SIT_v2,0.1575,0.113,-0.103,0.4181,0.3
S1_Standard_k10,11,ARP_v2,0.2302,0.1051,-0.0122,0.4726,0.3
S1_Standard_k10,12,REML,0.329143464666648,0.0871034348593496,0.158423869412592,0.499863059920704,0.3
S1_Standard_k10,12,HKSJ,0.329143464666648,0.0848969294011829,0.137093267722188,0.521193661611107,0.3
S1_Standard_k10,12,MWM_v2,0.332,0.0876,0.1299,0.5341,0.3
S1_Standard_k10,12,SIT_v2,0.3788,0.0903,0.1707,0.5869,0.3
S1_Standard_k10,12,ARP_v2,0.3291,0.0868,0.129,0.5292,0.3
S1_Standard_k10,13,REML,0.256580290628728,0.0778842014078749,0.10393006090463,0.409230520352827,0.3
S1_Standard_k10,13,HKSJ,0.256580290628728,0.0755894663462468,0.0855850379014722,0.427575543355984,0.3
S1_Standard_k10,13,MWM_v2,0.2429,0.0784,0.0621,0.4236,0.3
S1_Standard_k10,13,SIT_v2,0.1804,0.0825,-0.0098,0.3706,0.3
S1_Standard_k10,13,ARP_v2,0.2569,0.0769,0.0795,0.4342,0.3
S1_Standard_k10,14,REML,0.19065406525636,0.0693083025965781,0.054812288337463,0.326495842175257,0.3
S1_Standard_k10,14,HKSJ,0.19065406525636,0.0670804963909962,0.0389074398614088,0.342400690651311,0.3
S1_Standard_k10,14,MWM_v2,0.2024,0.0697,0.0416,0.3632,0.3
S1_Standard_k10,14,SIT_v2,0.2457,0.0728,0.0777,0.4137,0.3
S1_Standard_k10,14,ARP_v2,0.1905,0.068,0.0336,0.3474,0.3
