scenario,method,N,Bias,Bias_MCSE,RMSE,Mean_SE,Coverage,Coverage_MCSE,CI_Width,Convergence
k3_standard,REML,1000,-0.0027,0.0065,0.2045,0.2135,92.6,0.8,0.837,100
k3_standard,HKSJ,1000,-0.0027,0.0065,0.2045,0.187,95.3,0.7,1.609,100
k3_standard,MWM_v3,1000,-0.0021,0.0065,0.2058,0.2154,100,0,5.473,100
k3_standard,SIT_v3,1000,-0.0027,0.0065,0.2045,0.187,95.3,0.7,1.609,100
k3_standard,ARP_v3,1000,-0.0027,0.0065,0.2046,0.2133,100,0,5.421,100
k3_standard,RVE,1000,-0.0027,0.0065,0.2045,0.1865,95.5,0.7,1.659,100
k4_standard,REML,1000,-0.0033,0.0056,0.1768,0.1815,92.8,0.8,0.711,100
k4_standard,HKSJ,1000,-0.0033,0.0056,0.1768,0.166,96.4,0.6,1.057,100
k4_standard,MWM_v3,1000,-0.0039,0.0056,0.1785,0.1832,100,0,1.576,100
k4_standard,SIT_v3,1000,-0.0033,0.0056,0.1768,0.1815,100,0,1.562,100
k4_standard,ARP_v3,1000,-0.0034,0.0056,0.1768,0.1816,100,0,1.562,100
k4_standard,RVE,1000,-0.0033,0.0056,0.1768,0.1654,96.8,0.6,1.079,100
k5_standard,REML,1000,1e-04,0.0053,0.1662,0.1632,92.8,0.8,0.64,100
k5_standard,HKSJ,1000,1e-04,0.0053,0.1662,0.1519,94.1,0.7,0.843,100
k5_standard,MWM_v3,1000,0.001,0.0053,0.1687,0.1649,99.4,0.2,1.049,100
k5_standard,SIT_v3,1000,1e-04,0.0053,0.1662,0.1632,99.4,0.2,1.039,100
k5_standard,ARP_v3,1000,1e-04,0.0053,0.1662,0.1633,99.5,0.2,1.039,100
k5_standard,RVE,1000,1e-04,0.0053,0.1662,0.1518,94.5,0.7,0.858,100
k10_standard,REML,1000,-0.0014,0.0035,0.1093,0.113,95.7,0.6,0.443,100
k10_standard,HKSJ,1000,-0.0014,0.0035,0.1093,0.1105,96.6,0.6,0.5,100
k10_standard,MWM_v3,1000,-0.0012,0.0035,0.1104,0.1142,98,0.4,0.526,100
k10_standard,SIT_v3,1000,-0.0013,0.0035,0.1097,0.1127,97.8,0.5,0.52,100
k10_standard,ARP_v3,1000,-0.0014,0.0035,0.1093,0.1131,97.9,0.5,0.522,100
k10_standard,RVE,1000,-0.0014,0.0035,0.1093,0.1102,96.6,0.6,0.502,100
k15_standard,REML,1000,-0.0056,0.0029,0.0921,0.0922,95.6,0.6,0.362,100
k15_standard,HKSJ,1000,-0.0056,0.0029,0.0921,0.0912,96.7,0.6,0.391,100
k15_standard,MWM_v3,1000,-0.0055,0.0029,0.0931,0.0932,97.4,0.5,0.403,100
k15_standard,SIT_v3,1000,-0.0058,0.003,0.0935,0.0913,96.5,0.6,0.395,100
k15_standard,ARP_v3,1000,-0.0056,0.0029,0.0921,0.0922,97.3,0.5,0.399,100
k15_standard,RVE,1000,-0.0056,0.0029,0.0921,0.0912,96.7,0.6,0.393,100
k20_standard,REML,1000,-0.0027,0.0026,0.0817,0.0787,94.5,0.7,0.309,100
k20_standard,HKSJ,1000,-0.0027,0.0026,0.0817,0.0782,95.4,0.7,0.327,100
k20_standard,MWM_v3,1000,-0.0026,0.0026,0.082,0.0796,95.9,0.6,0.334,100
k20_standard,SIT_v3,1000,-0.003,0.0026,0.0827,0.0773,94.5,0.7,0.325,100
k20_standard,ARP_v3,1000,-0.0026,0.0026,0.0817,0.0788,95.7,0.6,0.331,100
k20_standard,RVE,1000,-0.0027,0.0026,0.0817,0.0782,95.2,0.7,0.328,100
k50_standard,REML,1000,-8e-04,0.0016,0.051,0.0503,94,0.8,0.197,100
k50_standard,HKSJ,1000,-8e-04,0.0016,0.051,0.0503,94.6,0.7,0.202,100
