"token","count"
"analysis",997
"adverse",898
"term",819
"months",792
"sensitivity",479
"quality",416
"subgroup",408
"life",407
"weeks",401
"pain",390
"short",369
"days",365
"intervention",335
"follow",332
"from",326
"number",311
"time",306
"mean",304
"score",304
"baseline",271
"years",257
"improvement",255
"participants",251
"function",237
"proportion",226
"health",221
"long",219
"after",218
"hospital",209
"serious",204
"related",199
"cause",193
"high",190
"death",186
"post",185
"care",180
"medium",180
"symptoms",172
"bias",163
"hours",161
"maternal",156
"total",156
"response",153
"blood",152
"status",146
"duration",138
"during",138
"failure",138
"clinical",137
"mental",131
"birth",129
"length",126
"endpoint",124
"measured",123
"pressure",121
"pregnancy",117
"severe",117
"than",117
"state",115
"continuous",113
"scale",112
"other",107
"data",104
"severity",104
"anxiety",102
"ratio",101
"within",100
"reported",99
"infection",98
"kidney",98
"postoperative",98
"complications",97
"specific",97
"stay",97
"disability",95
"weight",95
"phase",94
"usual",94
"month",92
"side",91
"discharge",90
"incidence",90
"intensity",88
"relapse",86
"year",86
"depression",85
"remission",85
"cardiovascular",84
"surgery",84
"satisfaction",83
"bleeding",80
"activity",79
"frequency",79
"least",78
"postintervention",78
"type",78
"less",77
"first",76
"functional",76
"model",76
"physical",76
"self",76
"excluding",75
"free",75
"serum",75
"fixed",73
"stroke",73
"child",72
"participant",72
"levels",71
"absolute",70
"final",70
"global",70
"mmol",70
"poor",69
"immediately",68
"major",68
"points",68
"reduction",67
"cholesterol",66
"defined",66
"more",66
"grade",65
"primary",65
"creatinine",64
"hearing",64
"loss",63
"secondary",63
"admission",62
"functioning",62
"morbidity",62
"respiratory",62
"anaemia",60
"muscle",60
"people",60
"strength",60
"assessed",59
"measures",59
"neonatal",59
"persistence",59
"urinary",59
"relaxation",58
"behaviour",57
"delivery",56
"hospitalisation",56
"oral",56
"positive",55
"symptom",54
"active",53
"additional",53
"procedure",53
"progression",53
"gestation",52
"ventilation",52
"early",51
"assessment",50
"dichotomous",50
"posterior",50
"requiring",50
"based",49
"clinically",49
"depressive",49
"heart",49
"index",49
"resolution",49
"test",49
"case",48
"educational",48
"interventions",48
"hazard",47
"over",47
"breastfeeding",46
"live",46
"lower",46
"withdrawal",46
"normal",45
"visual",44
"infarction",43
"intermediate",43
"iron",43
"recurrence",43
"cancer",42
"corrected",42
"egfr",42
"myocardial",42
"best",41
"fatal",41
"haemorrhage",41
"nausea",41
"stone",41
"threshold",41
"body",40
"fatigue",40
"mechanical",40
"minutes",40
"need",40
"oxygen",40
"scar",40
"techniques",40
"anterior",39
"general",39
"injury",39
"scenario",39
"start",39
"according",38
"criteria",38
"difference",38
"moderate",38
"period",38
"proteinuria",38
"pulmonary",38
"vomiting",38
"complete",37
"episodes",37
"predicted",37
"range",37
"surgical",37
"walking",37
"antibiotics",36
"delayed",36
"dropouts",36
"good",36
"impairment",36
"incontinence",36
"lateral",36
"negative",36
"peak",36
"support",36
"systolic",36
"trauma",36
"woman",36
"worst",36
"adherence",35
"average",35
"cognitive",35
"including",35
"infections",35
"musculoskeletal",35
"psychotherapy",35
"random",35
"scores",35
"success",35
"supplementation",35
"volume",35
"week",35
"adjusted",34
"circumference",34
"immediate",34
"knee",34
"school",34
"separated",34
"values",34
"admissions",33
"better",33
"level",33
"medication",33
"multiple",33
"nutritional",33
"only",33
"vitamin",33
"being",32
"domain",32
"knowledge",32
"point",32
"transfusion",32
"withdrawals",32
"acceptability",31
"categorical",31
"composite",31
"definition",31
"diastolic",31
"hrqol",31
"neurological",31
"stratified",31
"well",31
"abdominal",30
"back",30
"between",30
"different",30
"exacerbations",30
"fever",30
"literacy",30
"progestin",30
"scales",30
"seizure",30
"stage",30
"syndrome",30
"children",29
"infants",29
"objective",29
"postpartum",29
"second",29
"zbmi",29
"discomfort",28
"focused",28
"haemoglobin",28
"system",28
"unplanned",28
"induce",27
"ongoing",27
"residents",27
"social",27
"third",27
"component",26
"diagnosis",26
"experiencing",26
"graft",26
"important",26
"intensive",26
"last",26
"measure",26
"miscarriage",26
"questionnaire",26
"rescue",26
"service",26
"setting",26
"unit",26
"very",26
"zero",26
"analyses",25
"lesions",25
"return",25
"spine",25
"that",25
"work",25
"acuity",24
"birthweight",24
"bone",24
"combined",24
"falls",24
"greater",24
"imaging",24
"motor",24
"percentile",24
"ptsd",24
"renal",24
"tens",24
"cessation",23
"fewer",23
"fracture",23
"gestational",23
"increase",23
"independence",23
"lung",23
"mass",23
"opioid",23
"panss",23
"preterm",23
"psychological",23
"symptomatic",23
"tract",23
"ultrasound",23
"anti",22
"cardiac",22
"concentration",22
"development",22
"family",22
"freedom",22
"headache",22
"laboratory",22
"liver",22
"metabolic",22
"mmhg",22
"myringotomy",22
"nonfatal",22
"presence",22
"rest",22
"upper",22
"wound",22
"cure",21
"diabetes",21
"disorders",21
"infant",21
