"review_id","trial_count","start_year_mean","completion_year_mean","enrollment_median","enrollment_mean","sex_all_pct","sex_female_pct","sex_male_pct","min_age_missing","max_age_missing","start_year_mean_unweighted","completion_year_mean_unweighted","sex_all_pct_unweighted","sex_female_pct_unweighted","sex_male_pct_unweighted"
"CD000028",300,2024.80657057936,2028.90565991504,222,80129.21,0.995109107735702,0.0048603998466976,3.04924176006894e-05,0.0533333333333333,0.59,2017.97,2022.39261744966,0.913333333333333,0.07,0.0166666666666667
"CD000143",44,2015.85931576303,2021.90608870415,119.5,497.568181818182,0.43580139770703,0.56419860229297,0,0.272727272727273,0.204545454545455,2016.06818181818,2020.31818181818,0.681818181818182,0.318181818181818,0
"CD000478",128,2017.70386690647,2024.76871427275,100,260.625,0.994814148681055,0.00518585131894484,0,0.0078125,0.53125,2018.6796875,2023.51587301587,0.984375,0.015625,0
"CD000547",300,2019.80335797536,2022.74183587309,104.5,3845.07333333333,0.983671746182561,0.0160517094602444,0.000276544357194748,0.0133333333333333,0.49,2017.97993311037,2020.85666666667,0.886666666666667,0.0833333333333333,0.03
"CD001072",242,2024.12885802336,2025.79004633239,230,7183.02892561983,0.136977782380081,0.86300495898197,1.72586379482931e-05,0.0537190082644628,0.590909090909091,2018.85123966942,2022.94190871369,0.979253112033195,0.016597510373444,0.004149377593361
"CD001155",3,2018.16138917263,2022.79979570991,90,326.333333333333,0.120531154239019,0,0.879468845760981,0,0.333333333333333,2017.66666666667,2020.66666666667,0.666666666666667,0,0.333333333333333
"CD001321",6,2016.10869565217,2018.05797101449,98,138,0.884057971014493,0.115942028985507,0,0.166666666666667,0.833333333333333,2017,2019.16666666667,0.833333333333333,0.166666666666667,0
"CD001396",29,2018.50284495021,2021.00035561878,65,96.9655172413793,0.0142247510668563,0.985775248933144,0,0.0689655172413793,0.103448275862069,2019.13793103448,2021.06896551724,0.0689655172413793,0.931034482758621,0
"CD001431",138,2018.35076464006,2024.81542707945,108,485.688405797101,0.952793733681462,0.0432972771353972,0.00390898918314062,0.072463768115942,0.442028985507246,2020.26811594203,2022.92028985507,0.91304347826087,0.072463768115942,0.0144927536231884
"CD001533",300,2017.22187943262,2023.20572104019,99.5,282,0.955449172576832,0.030177304964539,0.0143735224586288,0.0366666666666667,0.5,2017.44333333333,2021.92666666667,0.926666666666667,0.05,0.0233333333333333
"CD001552",300,2017.60867532468,2022.11764142316,105,386.28762541806,0.840060606060606,0.107835497835498,0.0521038961038961,0.07,0.47,2018.12666666667,2022.16722408027,0.89,0.08,0.03
"CD001703",300,2017.47870808476,2022.26358425491,91,277.305369127517,0.927478006219974,0.0437818410639302,0.0287401527160957,0.01,0.466666666666667,2018.74666666667,2021.95286195286,0.89,0.0666666666666667,0.0433333333333333
"CD001797",300,2016.76772175089,2020.7541644353,85.5,236.526666666667,0.971588827193551,0.0200400236759773,0.00837114913047155,0.0166666666666667,0.436666666666667,2018.78,2021.56666666667,0.95,0.04,0.01
"CD001837",1,2025,2028,108,108,1,0,0,0,0,2025,2028,1,0,0
"CD001909",163,2017.23663370088,2020.05079383123,81,323.815950920245,0.992516388162631,0.00587321435337805,0.00161039748399075,0.0613496932515337,0.404907975460123,2015.95705521472,2019.43827160494,0.957055214723926,0.0306748466257669,0.0122699386503067
"CD001920",300,2020.03732075537,2025.52434972715,60,193.636666666667,0.938923413265394,0.0495946015733935,0.0114819851612126,0.0266666666666667,0.37,2020.98333333333,2023.29,0.906666666666667,0.07,0.0233333333333333
"CD002042",98,2016.00070419941,2019.22373606944,241.5,4709.35714285714,0.988275621483066,0.0114730334960576,0.000251345020876804,0.0816326530612245,0.510204081632653,2017.87755102041,2022.60824742268,0.897959183673469,0.0816326530612245,0.0204081632653061
"CD002052",145,2020.58341177122,2023.53925585516,114,498.234482758621,0.9933973755606,0.00597973534134323,0.000622889098056586,0.0551724137931034,0.63448275862069,2019.98620689655,2022.36551724138,0.958620689655172,0.0344827586206897,0.00689655172413793
"CD002112",197,2019.69061453128,2022.857189941,91,462.157360406091,0.93503212697018,0.0635400076885057,0.00142786534131473,0.0406091370558376,0.177664974619289,2018.1421319797,2021.02551020408,0.913705583756345,0.0761421319796954,0.0101522842639594
"CD002115",300,2018.0071329002,2021.4592201336,97.5,408.903333333333,0.857716982823976,0.109756992280164,0.0325260248958597,0.0366666666666667,0.483333333333333,2018.25666666667,2021.88628762542,0.88,0.0633333333333333,0.0566666666666667
"CD002122",300,2018.91076521701,2022.99247437969,66.5,150.763333333333,0.854717106281368,0.133387870613987,0.0118950231046453,0.0366666666666667,0.48,2018.81,2021.57525083612,0.826666666666667,0.163333333333333,0.01
"CD002203",94,2019.26759146276,2023.14360028258,132,496.946808510638,0.914905914841693,0.0196947316592811,0.065399353499026,0.0851063829787234,0.5,2019.20212765957,2021.95744680851,0.904255319148936,0.0638297872340425,0.0319148936170213
"CD002243",300,2020.66210921873,2024.14480756266,120,4790.93666666667,0.992594350026195,0.0060934500630009,0.0013121999108038,0.06,0.62,2019.61666666667,2023.09698996656,0.89,0.08,0.03
"CD002290",300,2016.88240100129,2020.51790372509,71.5,383.506666666667,0.977983868163961,0.0119945763654695,0.0100215554705698,0.0266666666666667,0.573333333333333,2018.20666666667,2023.07046979866,0.95,0.03,0.02
"CD002971",38,2018.66089686821,2023.87883423235,220,326.868421052632,0.553498108042831,0.411963610015297,0.0345382819418726,0.315789473684211,0.157894736842105,2017.10526315789,2022.21052631579,0.789473684210526,0.157894736842105,0.0526315789473684
