"dataset","file","n_rows","n_studies","n_comparisons","n_outcomes","n_subgroups","has_outcome_col","has_comparison_col","has_subgroup_col","has_review_doi_col","has_review_url_col","outcome_type","study_year_min","study_year_max","ctrl_risk_mean","ctrl_risk_median","ctrl_mean_mean","missing_study_year","missing_outcome","missing_comparison","missing_review_doi"
"CD000028_pub4_data","CD000028_pub4_data.rda",163,16,NA,NA,5,FALSE,FALSE,TRUE,TRUE,TRUE,"binary",1970,1999,0.110633273701174,0.0700126528890763,NA,0.0613496932515337,NA,NA,0
"CD000143_pub2_data","CD000143_pub2_data.rda",80,9,NA,NA,14,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1982,2005,0.410183683731204,0.402380952380952,0,0,NA,NA,0
"CD000219_pub5_data","CD000219_pub5_data.rda",71,17,NA,NA,10,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1968,2021,0.256781613027038,0.233766233766234,0,0,NA,NA,0
"CD000478_pub5_data","CD000478_pub5_data.rda",42,10,NA,NA,20,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1974,2023,0.40436861911026,0.3,0,0,NA,NA,0
"CD000547_pub3_data","CD000547_pub3_data.rda",282,39,NA,NA,76,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1989,2021,0.0953620861654909,0.0204081632653061,48.0163120567376,0,NA,NA,0
"CD001072_pub2_data","CD001072_pub2_data.rda",3,1,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1982,1982,0.259259259259259,0.222222222222222,0,0,NA,NA,0
"CD001155_pub3_data","CD001155_pub3_data.rda",977,104,NA,NA,173,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1995,2018,0.0468754554999693,0.0120481927710843,-0.00122824974411464,0.0665301944728762,NA,NA,0
"CD001321_pub7_data","CD001321_pub7_data.rda",155,38,NA,NA,16,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1994,2021,0.27262235154083,0.2875,0,0,NA,NA,0
"CD001396_pub4_data","CD001396_pub4_data.rda",387,28,NA,NA,9,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1991,2020,0.10335354061775,0.037037037037037,12.0209612403101,0,NA,NA,0
"CD001431_pub6_data","CD001431_pub6_data.rda",1479,188,NA,NA,40,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1996,2022,0.143918661568064,0,25.7594726166329,0,NA,NA,0
"CD001533_pub7_data","CD001533_pub7_data.rda",217,49,NA,NA,52,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1979,2023,0.344846138590774,0.342857142857143,1.72285714285714,0,NA,NA,0
"CD001552_pub3_data","CD001552_pub3_data.rda",78,14,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1964,2020,0.145638979695307,0,2.91769230769231,0,NA,NA,0
"CD001703_pub4_data","CD001703_pub4_data.rda",119,20,NA,NA,6,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1976,2020,0.0794550916433772,0,8.25680672268908,0,NA,NA,0
"CD001797_pub4_data","CD001797_pub4_data.rda",44,8,NA,NA,4,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1993,2012,0.105191709900494,0,0.929318181818182,0,NA,NA,0
"CD001837_pub4_data","CD001837_pub4_data.rda",144,72,NA,NA,24,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1990,2022,0.235811740710498,0.22,0,0,NA,NA,0
"CD001909_pub4_data","CD001909_pub4_data.rda",133,14,NA,NA,10,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1989,2010,0.119998940052523,0.0833333333333333,0,0,NA,NA,0
"CD001920_pub4_data","CD001920_pub4_data.rda",1427,196,NA,NA,41,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1992,2022,0.00171893031680049,0,36.4836981779958,0.00770847932725999,NA,NA,0
"CD002042_pub6_data","CD002042_pub6_data.rda",912,66,NA,NA,25,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1956,2023,0.268061082373005,0.0802469135802469,5.23,0.24780701754386,NA,NA,0
"CD002052_pub4_data","CD002052_pub4_data.rda",37,6,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1994,2020,0.111448461448461,0,4.93486486486487,0,NA,NA,0
"CD002112_pub2_data","CD002112_pub2_data.rda",233,81,NA,NA,60,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1978,2022,0.220060513885161,0.0869565217391304,1.14639484978541,0.0429184549356223,NA,NA,0
"CD002115_pub6_data","CD002115_pub6_data.rda",59,21,NA,NA,18,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1997,2023,0.068995972434599,0,5.50322033898305,0.0338983050847458,NA,NA,0
"CD002122_pub3_data","CD002122_pub3_data.rda",367,32,NA,NA,115,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1987,2023,0.25111275460272,0.133333333333333,13.1052239583333,0.0245231607629428,NA,NA,0
"CD002203_pub5_data","CD002203_pub5_data.rda",175,12,NA,NA,57,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",2002,2021,0.145508615519666,0.0434782608695652,1.33314285714286,0,NA,NA,0
"CD002243_pub5_data","CD002243_pub5_data.rda",1084,78,NA,NA,35,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1972,2023,0.286779009105013,0.267326732673267,1.56128228782288,0,NA,NA,0
"CD002290_pub6_data","CD002290_pub6_data.rda",229,57,NA,NA,85,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1970,2024,0.382026324226753,0.333333333333333,1.21170305676856,0,NA,NA,0
"CD002303_pub4_data","CD002303_pub4_data.rda",15,8,NA,NA,1,FALSE,FALSE,TRUE,TRUE,TRUE,"mixed",1995,2019,0.322945666854054,0.289772727272727,0,0,NA,NA,0
