"review_id","dataset","analysis_key","analysis_name","analysis_group","analysis_number","subgroup","effect_class","outcome_type","k","yi","se","tau2","mean_year","mean_ctrl_risk","mean_total_n"
"CD000028","CD000028_pub4_data","1|1|All-cause mortality|","All-cause mortality",1,1,"","reported","reported",13,0.901515775418985,0.0403145269952051,0.0049372462066312,1987,0.183356112839507,1994.76923076923
"CD000028","CD000028_pub4_data","1|2|Cause of cardiovascular mortality|Fatal CHD","Cause of cardiovascular mortality",1,2,"Fatal CHD","reported","reported",10,0.754642608057417,0.0607089970512606,0,1988.22222222222,0.039572652985439,2447.8
"CD000028","CD000028_pub4_data","1|2|Cause of cardiovascular mortality|Fatal stroke","Cause of cardiovascular mortality",1,2,"Fatal stroke","reported","reported",11,0.575551870031422,0.0813950602486427,0.0107187558260704,1989.3,0.0228279710391807,2342.09090909091
"CD000028","CD000028_pub4_data","1|3|Cardiovascular mortality and morbidity|","Cardiovascular mortality and morbidity",1,3,"","reported","reported",15,0.730033359822391,0.0426713944928334,0.0140109704284919,1985.64285714286,0.232819731983583,1783.13333333333
"CD000028","CD000028_pub4_data","1|4|Cerebrovascular mortality and morbidity|","Cerebrovascular mortality and morbidity",1,4,"","reported","reported",13,0.64103379177343,0.0398527475651115,0,1986.41666666667,0.0841784049785072,2003.23076923077
"CD000028","CD000028_pub4_data","1|5|Coronary heart disease mortality and morbidity|","Coronary heart disease mortality and morbidity",1,5,"","reported","reported",11,0.763971045728561,0.0484319324477763,0,1986.4,0.0643816146185654,2232.63636363636
"CD000028","CD000028_pub4_data","1|6|Withdrawal due to adverse effects|","Withdrawal due to adverse effects",1,6,"","reported","reported",4,2.50039622129715,1.18304915690672,5.23280567919386,1990,0.0458134140556612,2827.5
"CD000028","CD000028_pub4_data","2|1|All-cause mortality|60 to 79 years old","All-cause mortality",2,1,"60 to 79 years old","reported","reported",9,0.804666901713259,0.0728862883907606,0.0263110352979882,1987,0.137488996212279,2113
"CD000028","CD000028_pub4_data","2|1|All-cause mortality|80 years or older","All-cause mortality",2,1,"80 years or older","reported","reported",7,1.03566460548668,0.0944410746125355,0.0233151491453199,1991.5,0.199036960216479,956.285714285714
"CD000028","CD000028_pub4_data","2|2|Cardiovascular mortality and morbidity|60 to 79 years old","Cardiovascular mortality and morbidity",2,2,"60 to 79 years old","reported","reported",8,0.694146040178173,0.0454141016767067,0.00720024752582898,1987.25,0.167315311033409,2310.5
"CD000028","CD000028_pub4_data","2|2|Cardiovascular mortality and morbidity|80 years or older","Cardiovascular mortality and morbidity",2,2,"80 years or older","reported","reported",7,0.733002584839975,0.0572887737494813,0,1991,0.163972164679996,935.142857142857
"CD000028","CD000028_pub4_data","2|3|Cerebrovascular mortality and morbidity|60 to 79 years old","Cerebrovascular mortality and morbidity",2,3,"60 to 79 years old","reported","reported",8,0.628815229601354,0.0583144868945578,0.00645666491935925,1987.25,0.0732277621198817,2310.5
"CD000028","CD000028_pub4_data","2|3|Cerebrovascular mortality and morbidity|80 years or older","Cerebrovascular mortality and morbidity",2,3,"80 years or older","reported","reported",7,0.584542143144652,0.0775914019641016,0.000752806578409737,1991,0.116214028529132,935.142857142857
"CD000028","CD000028_pub4_data","2|4|Coronary heart disease mortality and morbidity|60 to 79 years old","Coronary heart disease mortality and morbidity",2,4,"60 to 79 years old","reported","reported",7,0.780760381699057,0.0543392606026424,0,1989.14285714286,0.0535127505384513,2612
"CD000028","CD000028_pub4_data","2|4|Coronary heart disease mortality and morbidity|80 years or older","Coronary heart disease mortality and morbidity",2,4,"80 years or older","reported","reported",5,0.776354169395207,0.169519300154989,0,1990.25,0.0326594154021526,1051.2
"CD000028","CD000028_pub4_data","3|1|All-cause mortality|60 to 79 years old","All-cause mortality",3,1,"60 to 79 years old","reported","reported",3,0.73342856946689,0.116717491016452,0.0204289356312587,1990,0.0682330884099371,2935.33333333333
"CD000028","CD000028_pub4_data","3|1|All-cause mortality|80 years or older","All-cause mortality",3,1,"80 years or older","reported","reported",3,1.0639558789763,0.150736914882558,0.014855894774895,1990,0.14577797681246,392
"CD000028","CD000028_pub4_data","3|2|Cardiovascular morbidity and mortality|60 to 79 years old","Cardiovascular morbidity and mortality",3,2,"60 to 79 years old","reported","reported",3,0.63688125420462,0.042783525660361,0,1990,0.112594567008584,2935.33333333333
"CD000028","CD000028_pub4_data","3|2|Cardiovascular morbidity and mortality|80 years or older","Cardiovascular morbidity and mortality",3,2,"80 years or older","reported","reported",3,0.753548561165725,0.117307946997682,0.00700550704211434,1990,0.198079315320695,392
"CD000028","CD000028_pub4_data","3|3|Cerebrovascular morbidity and mortality|60 to 79 years old","Cerebrovascular morbidity and mortality",3,3,"60 to 79 years old","reported","reported",3,0.609537784008502,0.0837471298216939,0.00313991349983993,1990,0.0395122857053357,2935.33333333333
"CD000028","CD000028_pub4_data","3|3|Cerebrovascular morbidity and mortality|80 years or older","Cerebrovascular morbidity and mortality",3,3,"80 years or older","reported","reported",3,0.503770734864126,0.112322933356879,0.000621919328014219,1990,0.138120117430462,392
"CD000028","CD000028_pub4_data","3|4|Coronary heart disease morbidity and mortality|60 to 79 years old","Coronary heart disease morbidity and mortality",3,4,"60 to 79 years old","reported","reported",3,0.723077046431773,0.0832853491405425,0,1990,0.0422815751213662,2935.33333333333
"CD000028","CD000028_pub4_data","3|4|Coronary heart disease morbidity and mortality|80 years or older","Coronary heart disease morbidity and mortality",3,4,"80 years or older","reported","reported",3,0.790440773895894,0.191926376946278,0,1990,0.049390456287008,392
"CD000028","CD000028_pub4_data","3|5|Withdrawal due to adverse effects 60 years or older|","Withdrawal due to adverse effects 60 years or older",3,5,"","reported","reported",2,1.82486493501389,0.168701965212266,0,1988.5,0.0442655857037974,2643.5
"CD000143","CD000143_pub2_data","1|1|Extubation failure|CPAP level < 7 cm H2O","Extubation failure",1,1,"CPAP level < 7 cm H2O","reported","reported",8,0,0.118099834696305,0,1994.375,0.456399835796388,79.25
"CD000143","CD000143_pub2_data","1|2|Endotracheal reintubation|CPAP level < 7 cm H2O","Endotracheal reintubation",1,2,"CPAP level < 7 cm H2O","reported","reported",8,0,0.118099834696305,0,1994.375,0.374177613574165,79.25
"CD000143","CD000143_pub2_data","1|4|Oxygen dependency at 28 days|","Oxygen dependency at 28 days",1,4,"","or","binary",5,-0.163337185690353,0.392316758813164,0.52432685751128,1995.6,0.442793650793651,86.6
"CD000143","CD000143_pub2_data","2|1|Extubation failure|≤ 1500 g","Extubation failure",2,1,"≤ 1500 g","or","binary",5,-0.807238821743403,0.598072119619822,1.44342261922397,1994.6,0.476906403940887,68.2
"CD000143","CD000143_pub2_data","2|1|Extubation failure|1001 to 1500 g","Extubation failure",2,1,"1001 to 1500 g","or","binary",2,-0.232615885843022,0.526804971242391,0,1994.5,0.204805491990847,43.5
"CD000143","CD000143_pub2_data","2|1|Extubation failure|Birthweight ≤ 1000g","Extubation failure",2,1,"Birthweight ≤ 1000g","or","binary",4,0.138844886858723,1.07598441179896,3.62177825856952,1994.5,0.529854809437387,33.25
"CD000143","CD000143_pub2_data","2|2|Endotracheal reintubation|≤ 1500 g","Endotracheal reintubation",2,2,"≤ 1500 g","or","binary",2,-0.314780275196055,0.506748722880446,0.260859528793695,1996.5,0.355555555555556,75.5
"CD000143","CD000143_pub2_data","3|2|Endotracheal reintubation|Extubation within 14 days after birth ","Endotracheal reintubation",3,2,"Extubation within 14 days after birth ","or","binary",3,0.0533142420412604,0.353750671316049,0.151193405219815,1997,0.288148148148148,100.666666666667
"CD000143","CD000143_pub2_data","4|1|Extubation failure|Methylxanthines given","Extubation failure",4,1,"Methylxanthines given","reported","reported",8,0,0.105981793454686,0,1996.375,0.448066502463054,88.5
"CD000143","CD000143_pub2_data","5|1|Extubation failure|No Rescue CPAP used","Extubation failure",5,1,"No Rescue CPAP used","reported","reported",5,0,0.141188322307369,0,1996.4,0.371619047619048,81.6
"CD000143","CD000143_pub2_data","5|1|Extubation failure|Rescue CPAP used","Extubation failure",5,1,"Rescue CPAP used","reported","reported",3,0,0.160405944011117,0,1996.33333333333,0.575478927203065,100
"CD000143","CD000143_pub2_data","5|2|Endotracheal reintubation|No Rescue CPAP used","Endotracheal reintubation",5,2,"No Rescue CPAP used","or","binary",4,-0.343617264818794,0.246598616180362,0,1993.75,0.374773242630385,73.5
"CD000143","CD000143_pub2_data","5|2|Endotracheal reintubation|Rescue CPAP used","Endotracheal reintubation",5,2,"Rescue CPAP used","reported","reported",3,0,0.20522207400018,0,1996.33333333333,0.270140485312899,100
"CD000219","CD000219_pub5_data","1|1|Pain|Pain at 2 to 3 days","Pain",1,1,"Pain at 2 to 3 days","or","binary",7,-0.41676164690069,0.125893032768757,0,1990.28571428571,0.213854085142622,331.428571428571
"CD000219","CD000219_pub5_data","1|1|Pain|Pain at 4 to 7 days","Pain",1,1,"Pain at 4 to 7 days","or","binary",7,-0.44950524692391,0.212771792184257,0.0679601080959826,1994.71428571429,0.228462794968922,180.571428571429
"CD000219","CD000219_pub5_data","1|2|Vomiting, diarrhoea or rash|","Vomiting, diarrhoea or rash",1,2,"","or","binary",8,0.521215015125913,0.163319631946894,0.0730377562087402,1999.75,0.17154218810941,263.375
"CD000219","CD000219_pub5_data","1|3|Abnormal tympanometry|2 to 4 weeks","Abnormal tympanometry",1,3,"2 to 4 weeks","or","binary",7,-0.332849455774826,0.143993489938346,0.0701085453241841,1994,0.462280861007244,305.428571428571
"CD000219","CD000219_pub5_data","1|3|Abnormal tympanometry|3 months","Abnormal tympanometry",1,3,"3 months","or","binary",3,-0.0757003349647501,0.232618940623511,0.0723234252477108,1992.33333333333,0.245618345618346,269.666666666667
"CD000219","CD000219_pub5_data","1|3|Abnormal tympanometry|6 to 8 weeks","Abnormal tympanometry",1,3,"6 to 8 weeks","or","binary",3,-0.243617034618439,0.134926057517551,3.25283719474977e-06,2001.66666666667,0.473335269066976,317.666666666667
"CD000219","CD000219_pub5_data","1|4|Tympanic membrane perforation|","Tympanic membrane perforation",1,4,"","or","binary",5,-0.883344066638029,0.373956297833314,0,2001.6,0.0504115851251659,215
"CD000219","CD000219_pub5_data","1|5|Contralateral otitis (in unilateral cases)|","Contralateral otitis (in unilateral cases)",1,5,"","or","binary",4,-0.771960839497422,0.320925966225891,0.203621397705462,1992,0.183270260392375,226.5
"CD000219","CD000219_pub5_data","1|6|Late AOM recurrences|","Late AOM recurrences",1,6,"","or","binary",6,-0.106401851568843,0.116983051716596,0.00408908821615109,1992.33333333333,0.179519613315768,366.666666666667
"CD000219","CD000219_pub5_data","2|1|Pain|Pain at 3 to 7 days","Pain",2,1,"Pain at 3 to 7 days","or","binary",4,-0.388050533049638,0.234877368956904,0.0999176876088378,2004.75,0.336491047600323,239.75
"CD000219","CD000219_pub5_data","2|2|Vomiting, diarrhoea or rash|","Vomiting, diarrhoea or rash",2,2,"","or","binary",3,0.782995851738636,0.184647536779443,0,2009.33333333333,0.126443278943279,315.333333333333
"CD000219","CD000219_pub5_data","2|4|Tympanic membrane perforation|","Tympanic membrane perforation",2,4,"","or","binary",2,0.475378413844603,0.921647634128117,0,2014,0.00240384615384615,287.5
"CD000219","CD000219_pub5_data","2|5|AOM recurrences|","AOM recurrences",2,5,"","or","binary",2,0.0605069592309015,0.19651364324975,0.0051374667974161,2013,0.242664974619289,292
"CD000478","CD000478_pub5_data","1|1|Failure to maintain remission|Azathioprine versus placebo","Failure to maintain remission",1,1,"Azathioprine versus placebo","or","binary",4,-0.715061153552537,0.268022209147583,0,1992,0.611732711732712,58
"CD000478","CD000478_pub5_data","7|1|Any adverse event|AZA versus placebo","Any adverse event",7,1,"AZA versus placebo","or","binary",3,1.46878467109697,0.965383119036398,0,1998,0,54
"CD000478","CD000478_pub5_data","7|2|Withdrawal due to adverse event|AZA versus placebo","Withdrawal due to adverse event",7,2,"AZA versus placebo","or","binary",3,0.980070769085628,1.04706277093475,0,1998,0,54
"CD000478","CD000478_pub5_data","7|3|Pancreatitis|","Pancreatitis",7,3,"","or","binary",2,1.47630916597649,1.15804024504185,0,2000,0,33
"CD000478","CD000478_pub5_data","7|4|Bone marrow suppression|","Bone marrow suppression",7,4,"","or","binary",2,0.680450745989273,0.939512351027133,0,2007,0.0106382978723404,83
"CD000478","CD000478_pub5_data","8|1|Failure to maintain remission - all trials|Azathioprine versus placebo","Failure to maintain remission - all trials",8,1,"Azathioprine versus placebo","or","binary",4,-0.632744654055663,0.265712584997255,0,1992,0.596581196581197,58
"CD000547","CD000547_pub3_data","1|1|Uterine volume (mL) (preoperative)|GnRHa vs no pretreatment","Uterine volume (mL) (preoperative)",1,1,"GnRHa vs no pretreatment","or","binary",11,0.0911717671311511,0.609617880363658,0,1995.81818181818,0,73.6363636363636
"CD000547","CD000547_pub3_data","1|1|Uterine volume (mL) (preoperative)|GnRHa vs placebo","Uterine volume (mL) (preoperative)",1,1,"GnRHa vs placebo","or","binary",2,0,1.44384575136887,0,1991.5,0,24
"CD000547","CD000547_pub3_data","1|3|Fibroid volume (mL) (preoperative)|GnRHa vs no pretreatment","Fibroid volume (mL) (preoperative)",1,3,"GnRHa vs no pretreatment","or","binary",5,0.0294946229721454,0.904656474149391,0,1995,0,85.4
"CD000547","CD000547_pub3_data","1|5|Haemoglobin (preoperative)|GnRHa vs no pretreatment","Haemoglobin (preoperative)",1,5,"GnRHa vs no pretreatment","or","binary",6,0.0331633490941834,0.824855017707274,0,1995.66666666667,0,51.3333333333333
"CD000547","CD000547_pub3_data","1|5|Haemoglobin (preoperative)|GnRHa vs placebo","Haemoglobin (preoperative)",1,5,"GnRHa vs placebo","or","binary",5,-0.371560269679964,0.902379505210349,0,1993.8,0,105.2
"CD000547","CD000547_pub3_data","1|7|Total frequency of adverse events|GnRHa vs placebo","Total frequency of adverse events",1,7,"GnRHa vs placebo","or","binary",5,1.03117697185506,0.193955460528525,0.0121999618529266,1999.2,0.594488524381715,151
"CD000547","CD000547_pub3_data","1|8|Individual adverse events|Abdominal/pelvic pain","Individual adverse events",1,8,"Abdominal/pelvic pain","or","binary",3,0.792430788591853,0.43901708602171,0,1999.33333333333,0.0204081632653061,205
